55-Cs_n-g
> 55-Cs-133:1.000000
8.134810e+01 2.35525000e+00
8.151290e+01 2.99058000e+00
8.167770e+01 3.94105000e+00
8.184250e+01 5.45576000e+00
8.200730e+01 8.08817000e+00
8.217220e+01 1.32782000e+01
8.225460e+01 1.80033000e+01
8.233700e+01 2.57869000e+01
8.241940e+01 3.99073000e+01
8.246060e+01 5.16778000e+01
8.250180e+01 6.93509000e+01
8.254300e+01 9.74124000e+01
8.258420e+01 1.45042000e+02
8.260480e+01 1.81720000e+02
8.262540e+01 2.32137000e+02
8.264600e+01 3.02181000e+02
8.266660e+01 3.98778000e+02
8.270330e+01 6.37747000e+02
8.274000e+01 7.96901000e+02
8.277670e+01 6.37444000e+02
8.281340e+01 3.98410000e+02
8.283730e+01 2.89004000e+02
8.286120e+01 2.13872000e+02
8.290900e+01 1.26521000e+02
8.295680e+01 8.20194000e+01
8.300460e+01 5.70198000e+01
8.305240e+01 4.17777000e+01
8.310010e+01 3.18652000e+01
8.319570e+01 2.02469000e+01
8.329130e+01 1.39865000e+01
8.338690e+01 1.02437000e+01
8.357800e+01 6.19211000e+00
8.376920e+01 4.16683000e+00
8.396040e+01 3.01389000e+00
8.415150e+01 2.29703000e+00
8.434270e+01 1.82207000e+00
8.472500e+01 1.25402000e+00
8.510730e+01 9.43227000e-01
8.587200e+01 6.42082000e-01
8.663660e+01 5.20821000e-01
8.740120e+01 4.80670000e-01
8.816590e+01 4.96902000e-01
8.854820e+01 5.47320000e-01
8.873940e+01 6.62164000e-01
8.878710e+01 7.52779000e-01
8.883490e+01 9.53654000e-01
8.885880e+01 1.16259000e+00
8.888270e+01 1.55817000e+00
8.890660e+01 2.42006000e+00
8.891860e+01 3.24630000e+00
8.893050e+01 4.56560000e+00
8.894530e+01 6.98239000e+00
8.896000e+01 8.59393000e+00
8.897480e+01 6.98653000e+00
8.898950e+01 4.57307000e+00
8.899960e+01 3.41885000e+00
8.900980e+01 2.64276000e+00
8.903000e+01 1.76449000e+00
8.905030e+01 1.32927000e+00
8.907050e+01 1.08992000e+00
8.911100e+01 8.54787000e-01
8.915150e+01 7.50221000e-01
8.931360e+01 6.40521000e-01
8.963770e+01 6.52354000e-01
9.028580e+01 7.96800000e-01
9.093400e+01 1.06205000e+00
9.158210e+01 1.55644000e+00
9.190620e+01 1.97397000e+00
9.223030e+01 2.60956000e+00
9.255430e+01 3.64395000e+00
9.287840e+01 5.49338000e+00
9.304040e+01 7.01977000e+00
9.320250e+01 9.30284000e+00
9.336450e+01 1.29381000e+01
9.352660e+01 1.92441000e+01
9.360760e+01 2.42956000e+01
9.368860e+01 3.16356000e+01
9.376960e+01 4.28733000e+01
9.385060e+01 6.13048000e+01
9.393170e+01 9.45211000e+01
9.397220e+01 1.22016000e+02
9.401270e+01 1.63025000e+02
9.405320e+01 2.27511000e+02
9.409370e+01 3.35532000e+02
9.413420e+01 5.29280000e+02
9.417470e+01 8.90457000e+02
9.421240e+01 1.42485000e+03
9.425000e+01 1.78099000e+03
9.428770e+01 1.42412000e+03
9.432530e+01 8.89620000e+02
9.436960e+01 5.04636000e+02
9.441400e+01 3.09688000e+02
9.445830e+01 2.05470000e+02
9.450260e+01 1.45048000e+02
9.454700e+01 1.07389000e+02
9.459130e+01 8.25183000e+01
9.468000e+01 5.29150000e+01
9.476860e+01 3.67231000e+01
9.485730e+01 2.69469000e+01
9.503460e+01 1.62660000e+01
9.521200e+01 1.08775000e+01
9.538930e+01 7.78940000e+00
9.556670e+01 5.85795000e+00
9.574400e+01 4.57076000e+00
9.609870e+01 3.01612000e+00
9.645330e+01 2.14928000e+00
9.680800e+01 1.61739000e+00
9.716270e+01 1.26793000e+00
9.787200e+01 8.52235000e-01
9.858130e+01 6.24390000e-01
9.929070e+01 4.86720000e-01
1.000000e+02 3.97755000e-01
1.013090e+02 3.00853000e-01
1.026180e+02 2.49095000e-01
1.052350e+02 2.05990000e-01
1.078530e+02 2.02783000e-01
1.091620e+02 2.11592000e-01
1.098160e+02 2.19263000e-01
1.101430e+02 2.26516000e-01
1.103070e+02 2.39099000e-01
1.103890e+02 2.68024000e-01
1.104300e+02 3.22915000e-01
1.104500e+02 3.94320000e-01
1.104710e+02 5.50967000e-01
1.105000e+02 8.75785000e-01
1.105300e+02 5.51919000e-01
1.105470e+02 4.11711000e-01
1.105640e+02 3.41153000e-01
1.105990e+02 2.81571000e-01
1.106680e+02 2.48956000e-01
1.108070e+02 2.37734000e-01
1.110850e+02 2.38110000e-01
1.116400e+02 2.47418000e-01
1.127500e+02 2.73666000e-01
1.138600e+02 3.09920000e-01
1.144150e+02 3.35041000e-01
1.146930e+02 3.57996000e-01
1.148320e+02 3.97612000e-01
1.149010e+02 4.84060000e-01
1.149360e+02 6.34194000e-01
1.149530e+02 8.10051000e-01
1.149710e+02 1.15533000e+00
1.150000e+02 1.95535000e+00
1.150300e+02 1.15853000e+00
1.150490e+02 7.90941000e-01
1.150680e+02 6.16739000e-01
1.151060e+02 4.79027000e-01
1.151820e+02 4.08654000e-01
1.153350e+02 3.88438000e-01
1.156400e+02 3.97343000e-01
1.162500e+02 4.36024000e-01
1.168600e+02 4.87215000e-01
1.171650e+02 5.24253000e-01
1.173180e+02 5.66970000e-01
1.173940e+02 6.46172000e-01
1.174320e+02 7.84029000e-01
1.174520e+02 9.53985000e-01
1.174710e+02 1.30673000e+00
1.175000e+02 2.07248000e+00
1.175300e+02 1.31348000e+00
1.175480e+02 9.73655000e-01
1.175660e+02 8.08363000e-01
1.176030e+02 6.75458000e-01
1.176760e+02 6.09475000e-01
1.178220e+02 5.98271000e-01
1.181150e+02 6.28080000e-01
1.187000e+02 7.20870000e-01
1.192850e+02 8.66912000e-01
1.195780e+02 1.05758000e+00
1.196510e+02 1.18944000e+00
1.197240e+02 1.48622000e+00
1.197610e+02 1.81619000e+00
1.197970e+02 2.51152000e+00
1.198160e+02 3.18886000e+00
1.198340e+02 4.37270000e+00
1.198520e+02 6.63806000e+00
1.198710e+02 1.12215000e+01
1.198850e+02 1.73877000e+01
1.199000e+02 2.14571000e+01
1.199150e+02 1.73537000e+01
1.199300e+02 1.12407000e+01
1.199420e+02 7.81051000e+00
1.199540e+02 5.70849000e+00
1.199660e+02 4.39482000e+00
1.199780e+02 3.54302000e+00
1.200030e+02 2.56265000e+00
1.200270e+02 2.05660000e+00
1.200760e+02 1.58440000e+00
1.201250e+02 1.38622000e+00
1.203210e+02 1.20436000e+00
1.207120e+02 1.28124000e+00
1.214940e+02 1.67917000e+00
1.222770e+02 2.35915000e+00
1.230590e+02 3.59208000e+00
1.234500e+02 4.62118000e+00
1.238410e+02 6.17683000e+00
1.242320e+02 8.69208000e+00
1.246230e+02 1.31519000e+01
1.248190e+02 1.68061000e+01
1.250150e+02 2.22338000e+01
1.252100e+02 3.07955000e+01
1.254060e+02 4.54397000e+01
1.255040e+02 5.70181000e+01
1.256010e+02 7.36254000e+01
1.256990e+02 9.86154000e+01
1.257970e+02 1.38622000e+02
1.258950e+02 2.08169000e+02
1.259440e+02 2.63662000e+02
1.259930e+02 3.43506000e+02
1.260410e+02 4.63139000e+02
1.260900e+02 6.50657000e+02
1.261390e+02 9.57447000e+02
1.261880e+02 1.46521000e+03
1.262440e+02 2.34369000e+03
1.263000e+02 2.92846000e+03
1.263560e+02 2.34188000e+03
1.264120e+02 1.46331000e+03
1.264740e+02 8.60667000e+02
1.265350e+02 5.41889000e+02
1.265960e+02 3.65466000e+02
1.266580e+02 2.60988000e+02
1.267190e+02 1.94738000e+02
1.267810e+02 1.50544000e+02
1.269040e+02 9.73192000e+01
1.270260e+02 6.78598000e+01
1.271490e+02 4.99562000e+01
1.273950e+02 3.02521000e+01
1.276410e+02 2.02501000e+01
1.278860e+02 1.44955000e+01
1.281320e+02 1.08871000e+01
1.283780e+02 8.47774000e+00
1.288690e+02 5.56299000e+00
1.293610e+02 3.93556000e+00
1.298520e+02 2.93655000e+00
1.303430e+02 2.28037000e+00
1.313260e+02 1.50135000e+00
1.323090e+02 1.07705000e+00
1.332920e+02 8.24250000e-01
1.342750e+02 6.65723000e-01
1.362400e+02 5.05030000e-01
1.382060e+02 4.89731000e-01
1.391890e+02 5.60751000e-01
1.396800e+02 6.40971000e-01
1.401710e+02 7.86572000e-01
1.406630e+02 1.08354000e+00
1.409090e+02 1.36502000e+00
1.411540e+02 1.85544000e+00
1.414000e+02 2.84068000e+00
1.415230e+02 3.76570000e+00
1.416460e+02 5.34933000e+00
1.417690e+02 8.41946000e+00
1.418300e+02 1.11665000e+01
1.418910e+02 1.56159000e+01
1.419530e+02 2.35112000e+01
1.420140e+02 3.93302000e+01
1.420450e+02 5.37822000e+01
1.420760e+02 7.72285000e+01
1.421060e+02 1.17429000e+02
1.421220e+02 1.48033000e+02
1.421370e+02 1.88134000e+02
1.421530e+02 2.40747000e+02
1.421690e+02 3.00450000e+02
1.422000e+02 3.75239000e+02
1.422320e+02 3.00394000e+02
1.422630e+02 1.88077000e+02
1.422920e+02 1.20890000e+02
1.423200e+02 8.12780000e+01
1.423490e+02 5.74972000e+01
1.423780e+02 4.25709000e+01
1.424350e+02 2.58625000e+01
1.424920e+02 1.73843000e+01
1.425500e+02 1.25516000e+01
1.426070e+02 9.55632000e+00
1.427220e+02 6.21515000e+00
1.428360e+02 4.51133000e+00
1.429510e+02 3.54576000e+00
1.431800e+02 2.59588000e+00
1.434090e+02 2.23223000e+00
1.436390e+02 2.15058000e+00
1.440970e+02 2.53603000e+00
1.443260e+02 3.02914000e+00
1.445560e+02 3.84165000e+00
1.447850e+02 5.20885000e+00
1.450140e+02 7.67655000e+00
1.451290e+02 9.71146000e+00
1.452430e+02 1.27355000e+01
1.453580e+02 1.75030000e+01
1.454730e+02 2.56428000e+01
1.455300e+02 3.20691000e+01
1.455870e+02 4.12430000e+01
1.456450e+02 5.49849000e+01
1.457020e+02 7.68417000e+01
1.457590e+02 1.14470000e+02
1.457880e+02 1.44261000e+02
1.458160e+02 1.86569000e+02
1.458450e+02 2.49392000e+02
1.458740e+02 3.45874000e+02
1.459020e+02 5.00759000e+02
1.459310e+02 7.49864000e+02
1.459660e+02 1.19581000e+03
1.460000e+02 1.49142000e+03
1.460350e+02 1.19544000e+03
1.460690e+02 7.49438000e+02
1.461050e+02 4.53006000e+02
1.461410e+02 2.90897000e+02
1.461770e+02 1.98756000e+02
1.462130e+02 1.43286000e+02
1.462490e+02 1.07630000e+02
1.462850e+02 8.36550000e+01
1.463570e+02 5.44802000e+01
1.464290e+02 3.82046000e+01
1.465000e+02 2.82466000e+01
1.466440e+02 1.72366000e+01
1.467880e+02 1.16117000e+01
1.469320e+02 8.36292000e+00
1.470760e+02 6.31938000e+00
1.472190e+02 4.95191000e+00
1.475070e+02 3.29003000e+00
1.477940e+02 2.35741000e+00
1.480820e+02 1.78131000e+00
1.483690e+02 1.40051000e+00
1.489450e+02 9.43033000e-01
1.495200e+02 6.88314000e-01
1.506700e+02 4.27712000e-01
1.518200e+02 3.02865000e-01
1.529700e+02 2.34275000e-01
1.541200e+02 2.01968000e-01
1.544080e+02 2.05561000e-01
1.546950e+02 2.31079000e-01
1.548390e+02 2.71737000e-01
1.549110e+02 3.12524000e-01
1.549830e+02 3.85015000e-01
1.550550e+02 5.30940000e-01
1.550910e+02 6.65823000e-01
1.551270e+02 8.89847000e-01
1.551630e+02 1.30338000e+00
1.551810e+02 1.65316000e+00
1.551990e+02 2.18236000e+00
1.552170e+02 3.04237000e+00
1.552350e+02 4.53130000e+00
1.552530e+02 7.37378000e+00
1.552620e+02 9.74461000e+00
1.552700e+02 1.30652000e+01
1.552850e+02 2.08261000e+01
1.553000e+02 2.60069000e+01
1.553150e+02 2.08274000e+01
1.553300e+02 1.30664000e+01
1.553410e+02 8.99932000e+00
1.553520e+02 6.39763000e+00
1.553640e+02 4.72490000e+00
1.553750e+02 3.62343000e+00
1.553980e+02 2.31453000e+00
1.554210e+02 1.61892000e+00
1.554430e+02 1.20688000e+00
1.554660e+02 9.46178000e-01
1.555120e+02 6.46762000e-01
1.555570e+02 4.87977000e-01
1.556030e+02 3.93994000e-01
1.556930e+02 2.92767000e-01
1.558750e+02 2.12234000e-01
1.560570e+02 1.80245000e-01
1.567850e+02 1.39686000e-01
1.582400e+02 1.14587000e-01
1.611500e+02 9.08249000e-02
1.640600e+02 7.84897000e-02
1.655150e+02 7.59491000e-02
1.662430e+02 8.03250000e-02
1.664250e+02 8.58962000e-02
1.666070e+02 1.01485000e-01
1.666980e+02 1.21918000e-01
1.667890e+02 1.73669000e-01
1.668340e+02 2.35632000e-01
1.668800e+02 3.74729000e-01
1.669020e+02 5.19916000e-01
1.669250e+02 7.91141000e-01
1.669370e+02 1.02286000e+00
1.669480e+02 1.36890000e+00
1.669590e+02 1.91144000e+00
1.669710e+02 2.75068000e+00
1.669850e+02 4.36179000e+00
1.670000e+02 5.42520000e+00
1.670150e+02 4.35052000e+00
1.670300e+02 2.75105000e+00
1.670440e+02 1.75486000e+00
1.670580e+02 1.18233000e+00
1.670720e+02 8.45571000e-01
1.670860e+02 6.36736000e-01
1.671140e+02 4.06866000e-01
1.671420e+02 2.92016000e-01
1.671990e+02 1.86458000e-01
1.672550e+02 1.41378000e-01
1.673680e+02 1.04564000e-01
1.674800e+02 9.02111000e-02
1.679310e+02 7.47632000e-02
1.688320e+02 6.97482000e-02
1.706340e+02 6.77373000e-02
1.742390e+02 7.12884000e-02
1.760410e+02 7.95219000e-02
1.778430e+02 1.03627000e-01
1.787440e+02 1.36619000e-01
1.791950e+02 1.69153000e-01
1.796460e+02 2.27893000e-01
1.800960e+02 3.51403000e-01
1.803210e+02 4.72199000e-01
1.805470e+02 6.87750000e-01
1.806590e+02 8.65706000e-01
1.807720e+02 1.13161000e+00
1.808850e+02 1.55540000e+00
1.809970e+02 2.29005000e+00
1.811100e+02 3.73549000e+00
1.811660e+02 5.04575000e+00
1.812230e+02 7.19509000e+00
1.812790e+02 1.10692000e+01
1.813070e+02 1.42834000e+01
1.813350e+02 1.90610000e+01
1.813630e+02 2.66026000e+01
1.813910e+02 3.91932000e+01
1.814200e+02 6.18673000e+01
1.814340e+02 7.98005000e+01
1.814480e+02 1.04014000e+02
1.814610e+02 1.33200000e+02
1.814740e+02 1.66564000e+02
1.815000e+02 2.08069000e+02
1.815260e+02 1.66284000e+02
1.815520e+02 1.03983000e+02
1.815700e+02 7.39591000e+01
1.815880e+02 5.39284000e+01
1.816060e+02 4.04863000e+01
