19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
3.306680e+03 8.66431817e-01
3.306750e+03 8.66292334e-01
3.320190e+03 8.56014585e-01
3.333620e+03 8.51810591e-01
3.357070e+03 8.48201995e-01
3.360500e+03 8.47679187e-01
3.387380e+03 8.45144339e-01
3.407460e+03 8.43661572e-01
3.441130e+03 8.41208247e-01
3.494890e+03 8.37704945e-01
3.508240e+03 8.36884850e-01
3.609020e+03 8.30794729e-01
3.709900e+03 8.24867257e-01
3.810590e+03 8.19149064e-01
3.860980e+03 8.16383810e-01
3.911370e+03 8.13690174e-01
3.936570e+03 8.12400366e-01
3.961760e+03 8.11236026e-01
3.974360e+03 8.10811293e-01
3.986960e+03 8.10823266e-01
3.993260e+03 8.11419762e-01
3.996410e+03 8.12173900e-01
3.999560e+03 8.13675850e-01
4.002710e+03 8.17034072e-01
4.004280e+03 8.20413332e-01
4.005860e+03 8.26534321e-01
4.006640e+03 8.31640399e-01
4.007430e+03 8.39320068e-01
4.008220e+03 8.51642771e-01
4.009000e+03 8.73233240e-01
4.009790e+03 9.16354923e-01
4.010190e+03 9.56094545e-01
4.010580e+03 1.02218585e+00
4.010970e+03 1.14461216e+00
4.011170e+03 1.24866307e+00
4.011370e+03 1.40702968e+00
4.011560e+03 1.66633068e+00
4.011760e+03 2.12400007e+00
4.011960e+03 3.01069588e+00
4.012060e+03 3.75920320e+00
4.012150e+03 4.83506591e+00
4.012310e+03 7.25818583e+00
4.012460e+03 8.85912962e+00
4.012620e+03 7.23985402e+00
4.012780e+03 4.83256824e+00
4.012900e+03 3.55530974e+00
4.013020e+03 2.74165474e+00
4.013140e+03 2.22048133e+00
4.013260e+03 1.87819066e+00
4.013500e+03 1.47417705e+00
4.013740e+03 1.25900265e+00
4.013980e+03 1.13235891e+00
4.014220e+03 1.05200148e+00
4.014700e+03 9.60018070e-01
4.015190e+03 9.11543225e-01
4.015670e+03 8.82969087e-01
4.016150e+03 8.64741149e-01
4.016630e+03 8.52411576e-01
4.017600e+03 8.37282966e-01
4.018560e+03 8.28703341e-01
4.020490e+03 8.19815529e-01
4.022420e+03 8.15514751e-01
4.024350e+03 8.13090100e-01
4.028200e+03 8.10541858e-01
4.032060e+03 8.09240393e-01
4.035910e+03 8.08439583e-01
4.043630e+03 8.07442398e-01
4.059050e+03 8.06229570e-01
4.074480e+03 8.05305296e-01
4.105330e+03 8.03675912e-01
4.136180e+03 8.02150253e-01
4.139940e+03 8.01980387e-01
4.259580e+03 7.96553575e-01
4.506390e+03 7.88795347e-01
4.629790e+03 7.88214184e-01
4.753190e+03 7.92166274e-01
4.876600e+03 8.04818430e-01
5.000000e+03 8.35925478e-01
5.059450e+03 8.63589038e-01
5.118900e+03 9.07147153e-01
5.178350e+03 9.78137407e-01
5.237800e+03 1.10014518e+00
5.297250e+03 1.32689856e+00
5.326980e+03 1.51664238e+00
5.356700e+03 1.79953896e+00
5.386430e+03 2.24034389e+00
5.416150e+03 2.96329225e+00
5.445880e+03 4.21263014e+00
5.475600e+03 6.42834325e+00
5.507100e+03 1.01931979e+01
5.538600e+03 1.30792548e+01
5.570100e+03 1.10375558e+01
5.601600e+03 7.39981847e+00
5.627130e+03 5.32659580e+00
5.652660e+03 4.00151566e+00
5.678180e+03 3.15148904e+00
5.703710e+03 2.58752878e+00
5.754770e+03 1.92052609e+00
5.805820e+03 1.55948105e+00
5.856880e+03 1.34233045e+00
5.907930e+03 1.20100033e+00
5.958990e+03 1.10348899e+00
5.971750e+03 1.08398268e+00
5.984520e+03 1.06645601e+00
5.990900e+03 1.05886216e+00
5.997280e+03 1.05338116e+00
6.000470e+03 1.05308704e+00
6.002070e+03 1.05469006e+00
6.003660e+03 1.05901302e+00
6.005260e+03 1.06967327e+00
6.006060e+03 1.08041712e+00
6.006850e+03 1.09917618e+00
6.007650e+03 1.13541297e+00
6.008050e+03 1.16723600e+00
6.008450e+03 1.21724144e+00
6.008850e+03 1.30212349e+00
6.009250e+03 1.46044870e+00
6.009450e+03 1.59463881e+00
6.009650e+03 1.79468490e+00
6.009850e+03 2.10293834e+00
6.010040e+03 2.57948728e+00
6.010310e+03 3.50181787e+00
6.010570e+03 4.10880904e+00
6.010840e+03 3.48514622e+00
6.011100e+03 2.56120120e+00
6.011340e+03 2.00569148e+00
6.011580e+03 1.68123636e+00
6.011820e+03 1.48701239e+00
6.012060e+03 1.36498500e+00
6.012550e+03 1.22893703e+00
6.013030e+03 1.15988388e+00
6.013510e+03 1.12037370e+00
6.013990e+03 1.09569593e+00
6.014960e+03 1.06763863e+00
6.015920e+03 1.05266833e+00
6.016880e+03 1.04354928e+00
6.018810e+03 1.03294619e+00
6.020740e+03 1.02669671e+00
6.022670e+03 1.02227536e+00
6.026530e+03 1.01573534e+00
6.034240e+03 1.00582890e+00
6.041950e+03 9.97314431e-01
6.057380e+03 9.81915792e-01
6.072800e+03 9.67867331e-01
6.090330e+03 9.54530021e-01
6.134510e+03 9.20234315e-01
6.257920e+03 8.53017441e-01
6.381330e+03 8.07303379e-01
6.504750e+03 7.73340851e-01
6.635490e+03 7.47159250e-01
6.751570e+03 7.21449435e-01
6.998390e+03 6.79349608e-01
7.180650e+03 6.52883023e-01
7.245220e+03 6.40940491e-01
7.492040e+03 5.98804396e-01
7.725810e+03 5.60933626e-01
7.738860e+03 5.58128782e-01
7.862280e+03 5.32170384e-01
7.923980e+03 5.19338148e-01
7.954830e+03 5.13082564e-01
7.970260e+03 5.10476141e-01
7.977970e+03 5.11116785e-01
7.979900e+03 5.12913612e-01
7.981830e+03 5.18368732e-01
7.982790e+03 5.25674318e-01
7.983760e+03 5.44214032e-01
7.984240e+03 5.66220882e-01
7.984720e+03 6.15052736e-01
7.984960e+03 6.64905065e-01
7.985200e+03 7.56437689e-01
7.985450e+03 9.45002991e-01
7.985570e+03 1.11605957e+00
7.985690e+03 1.37306614e+00
7.985850e+03 1.89358324e+00
7.986020e+03 2.23761867e+00
7.986190e+03 1.89009898e+00
7.986360e+03 1.37242665e+00
7.986480e+03 1.11696276e+00
7.986590e+03 9.48650916e-01
