25-Mn_n-g
>  25-Mn-55:1.000000
1.474350e+04 8.86731000e-03
1.477380e+04 7.94031000e-03
1.483440e+04 7.78846000e-03
1.489500e+04 8.24455000e-03
1.492530e+04 1.02350000e-02
1.494040e+04 1.80296000e-02
1.494800e+04 4.75875000e-02
1.494990e+04 7.67599000e-02
1.495180e+04 1.54083000e-01
1.495270e+04 2.53578000e-01
1.495370e+04 4.97755000e-01
1.495420e+04 7.90632000e-01
1.495460e+04 1.42121000e+00
1.495490e+04 2.07268000e+00
1.495510e+04 3.19906000e+00
1.495530e+04 5.56854000e+00
1.495550e+04 7.68591000e+00
1.495560e+04 1.08345000e+01
1.495570e+04 1.73557000e+01
1.495590e+04 2.16711000e+01
1.495610e+04 1.73555000e+01
1.495630e+04 1.08344000e+01
1.495640e+04 7.07172000e+00
1.495660e+04 4.79440000e+00
1.495670e+04 3.40740000e+00
1.495690e+04 2.52495000e+00
1.495720e+04 1.52944000e+00
1.495750e+04 1.01925000e+00
1.495810e+04 5.43550000e-01
1.495860e+04 3.40084000e-01
1.495980e+04 1.70122000e-01
1.496100e+04 1.03518000e-01
1.496340e+04 5.23252000e-02
1.496580e+04 3.33568000e-02
1.497530e+04 1.42382000e-02
1.499440e+04 9.24347000e-03
1.503250e+04 7.96278000e-03
1.510870e+04 7.63193000e-03
1.526110e+04 7.54224000e-03
1.556590e+04 7.53031000e-03
1.587070e+04 7.59710000e-03
1.602310e+04 7.79146000e-03
1.609930e+04 8.47596000e-03
1.613740e+04 1.11111000e-02
1.615640e+04 2.12657000e-02
1.616120e+04 3.14204000e-02
1.616590e+04 5.91151000e-02
1.616830e+04 9.56335000e-02
1.617070e+04 1.90726000e-01
1.617190e+04 3.08893000e-01
1.617310e+04 5.90473000e-01
1.617370e+04 9.07417000e-01
1.617430e+04 1.54478000e+00
1.617460e+04 2.14902000e+00
1.617490e+04 3.15595000e+00
1.617520e+04 4.94638000e+00
1.617540e+04 8.09271000e+00
1.617570e+04 1.30197000e+01
1.617600e+04 1.61468000e+01
1.617630e+04 1.28365000e+01
1.617660e+04 8.09096000e+00
1.617680e+04 5.73370000e+00
1.617700e+04 4.22523000e+00
1.617740e+04 2.48791000e+00
1.617770e+04 1.60986000e+00
1.617810e+04 1.11880000e+00
1.617890e+04 6.26355000e-01
1.617960e+04 3.99480000e-01
1.618120e+04 2.03645000e-01
1.618270e+04 1.25060000e-01
1.618570e+04 6.31345000e-02
1.618880e+04 3.98791000e-02
1.619490e+04 2.24167000e-02
1.620100e+04 1.60756000e-02
1.622530e+04 9.78878000e-03
1.627400e+04 8.18640000e-03
1.637150e+04 7.81418000e-03
1.656640e+04 7.81485000e-03
1.695630e+04 8.20131000e-03
1.715120e+04 8.64848000e-03
1.734610e+04 9.60085000e-03
1.744360e+04 1.05806000e-02
1.754100e+04 1.25146000e-02
1.758970e+04 1.43429000e-02
1.763850e+04 1.75976000e-02
1.766280e+04 2.03467000e-02
1.768720e+04 2.46627000e-02
1.769940e+04 2.78892000e-02
1.771160e+04 3.24815000e-02
1.772370e+04 4.07800000e-02
1.772980e+04 5.42699000e-02
1.773290e+04 9.16114000e-02
1.773440e+04 2.07115000e-01
1.773520e+04 5.16065000e-01
1.773550e+04 1.12779000e+00
1.773570e+04 1.94083000e+00
1.773590e+04 3.89180000e+00
1.773610e+04 6.22665000e+00
1.773620e+04 7.73625000e+00
1.773630e+04 6.22707000e+00
1.773650e+04 3.89242000e+00
1.773660e+04 2.36835000e+00
1.773670e+04 1.52156000e+00
1.773700e+04 7.80508000e-01
1.773760e+04 3.24594000e-01
1.773860e+04 1.35889000e-01
1.774080e+04 7.51241000e-02
1.774520e+04 6.18388000e-02
1.775390e+04 6.99974000e-02
1.776270e+04 8.90093000e-02
1.777140e+04 1.21601000e-01
1.777580e+04 1.46750000e-01
1.778010e+04 1.81814000e-01
1.778450e+04 2.32947000e-01
1.778880e+04 3.11051000e-01
1.779320e+04 4.39000000e-01
1.779760e+04 6.65957000e-01
1.779980e+04 8.50397000e-01
1.780190e+04 1.11538000e+00
1.780410e+04 1.50752000e+00
1.780630e+04 2.09421000e+00
1.781270e+04 4.66578000e+00
1.781430e+04 4.64056000e+00
1.781590e+04 4.10582000e+00
1.781910e+04 2.63248000e+00
1.782130e+04 1.87882000e+00
1.782340e+04 1.36830000e+00
1.782560e+04 1.02589000e+00
1.782780e+04 7.92257000e-01
1.783210e+04 5.10577000e-01
1.783640e+04 3.57391000e-01
1.784070e+04 2.66244000e-01
1.784500e+04 2.08486000e-01
1.785370e+04 1.42991000e-01
1.786230e+04 1.09724000e-01
1.787100e+04 9.17069000e-02
1.788830e+04 7.75867000e-02
1.790550e+04 7.95119000e-02
1.792280e+04 9.43649000e-02
1.794010e+04 1.26467000e-01
1.795740e+04 1.86906000e-01
1.799340e+04 3.69946000e-01
1.800240e+04 3.55968000e-01
1.801140e+04 3.08613000e-01
1.802940e+04 1.98475000e-01
1.804180e+04 1.44042000e-01
1.805420e+04 1.07324000e-01
1.806660e+04 8.26984000e-02
1.807900e+04 6.58374000e-02
1.810380e+04 4.53070000e-02
1.812860e+04 3.39778000e-02
1.815340e+04 2.71346000e-02
1.817820e+04 2.27095000e-02
1.822780e+04 1.75409000e-02
1.827740e+04 1.47664000e-02
1.832690e+04 1.31191000e-02
1.842610e+04 1.13794000e-02
1.862450e+04 1.02374000e-02
1.872360e+04 1.03133000e-02
1.877320e+04 1.12414000e-02
1.879800e+04 1.49904000e-02
1.881040e+04 2.94860000e-02
1.881350e+04 4.39897000e-02
1.881660e+04 8.35523000e-02
1.881820e+04 1.35730000e-01
1.881970e+04 2.71636000e-01
1.882050e+04 4.42158000e-01
1.882130e+04 8.43395000e-01
1.882170e+04 1.29591000e+00
1.882200e+04 2.19304000e+00
1.882220e+04 3.07486000e+00
1.882240e+04 4.46782000e+00
1.882260e+04 6.90518000e+00
1.882280e+04 1.16018000e+01
1.882300e+04 1.83907000e+01
1.882320e+04 2.32245000e+01
1.882340e+04 1.83913000e+01
1.882360e+04 1.16024000e+01
1.882370e+04 7.63110000e+00
1.882390e+04 5.32450000e+00
1.882400e+04 3.86751000e+00
1.882420e+04 2.91340000e+00
1.882450e+04 1.77920000e+00
1.882480e+04 1.20570000e+00
1.882540e+04 6.50304000e-01
1.882600e+04 4.09501000e-01
1.882720e+04 2.06504000e-01
1.882840e+04 1.26359000e-01
1.883080e+04 6.43114000e-02
1.883330e+04 4.13660000e-02
1.883810e+04 2.42879000e-02
