Si-30(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
885166 1.10125E-05
888312 8.86444E-06
891457 8.00226E-06
904038 6.84354E-06
929200 6.20333E-06
954362 6.19228E-06
966943 7.23085E-06
970088 8.35022E-06
973233 1.14644E-05
974806 1.56346E-05
976379 2.67080E-05
977951 7.55895E-05
978344 0.000116016
978738 0.000203631
978934 0.000290905
979131 0.000446750
979327 0.000754550
979426 0.00102143
979524 0.00141296
979820 0.00287839
979968 0.00234204
980116 0.00147190
980272 0.000886158
980427 0.000567261
980582 0.000387695
980738 0.000279974
981048 0.000164982
981359 0.000109028
981670 7.79224E-05
981980 5.89372E-05
982602 3.79877E-05
983223 2.73172E-05
983845 2.11643E-05
985087 1.47146E-05
987573 9.82573E-06
990058 8.03221E-06
995029 6.70984E-06
1.00000E+06 6.23635E-06
1.01120E+06 5.88480E-06
1.02241E+06 5.80645E-06
1.04481E+06 5.90923E-06
1.08962E+06 7.09010E-06
1.11203E+06 8.90525E-06
1.12323E+06 1.07063E-05
1.13443E+06 1.39194E-05
1.14563E+06 2.04846E-05
1.15123E+06 2.66925E-05
1.15684E+06 3.73626E-05
1.16244E+06 5.80633E-05
1.16524E+06 7.65983E-05
1.16804E+06 0.000106590
1.17084E+06 0.000159634
1.17364E+06 0.000265654
1.17504E+06 0.000362177
1.17644E+06 0.000517828
1.17784E+06 0.000782181
1.17924E+06 0.00123913
1.17998E+06 0.00158204
1.18035E+06 0.00177289
1.18072E+06 0.00196464
1.18109E+06 0.00214147
1.18146E+06 0.00228317
1.18220E+06 0.00238533
1.18368E+06 0.00185635
1.18516E+06 0.00115365
1.18615E+06 0.000831878
1.18714E+06 0.000613958
1.18912E+06 0.000363803
1.19110E+06 0.000237646
1.19309E+06 0.000167301
1.19507E+06 0.000124767
1.19705E+06 9.74980E-05
1.20101E+06 6.69062E-05
1.20497E+06 5.36368E-05
1.20894E+06 5.43967E-05
1.21092E+06 6.46936E-05
1.21191E+06 7.57995E-05
1.21290E+06 9.51252E-05
1.21389E+06 0.000131166
1.21488E+06 0.000206514
1.21538E+06 0.000277715
1.21587E+06 0.000396315
1.21637E+06 0.000607123
1.21686E+06 0.000994444
1.21733E+06 0.00157292
1.21780E+06 0.00195411
1.21827E+06 0.00156837
1.21874E+06 0.000990487
1.21917E+06 0.000641786
1.21960E+06 0.000436546
1.22003E+06 0.000313156
1.22046E+06 0.000235351
1.22132E+06 0.000148203
1.22218E+06 0.000103699
1.22304E+06 7.80662E-05
1.22390E+06 6.19959E-05
1.22562E+06 4.36213E-05
1.22734E+06 3.37909E-05
1.22906E+06 2.78370E-05
1.23250E+06 2.11255E-05
1.23938E+06 1.52914E-05
1.24627E+06 1.28685E-05
1.25315E+06 1.19839E-05
1.26003E+06 1.27595E-05
1.26347E+06 1.46057E-05
1.26691E+06 1.97280E-05
1.26863E+06 2.59369E-05
1.27035E+06 3.97816E-05
1.27121E+06 5.39647E-05
1.27207E+06 8.01658E-05
1.27250E+06 0.000102171
1.27293E+06 0.000135080
1.27336E+06 0.000186081
1.27379E+06 0.000266759
1.27490E+06 0.000595916
1.27518E+06 0.000598142
1.27546E+06 0.000533803
1.27601E+06 0.000346060
1.27641E+06 0.000242630
1.27682E+06 0.000174301
1.27722E+06 0.000129849
1.27763E+06 0.000100336
1.27843E+06 6.55834E-05
1.27924E+06 4.71759E-05
1.28005E+06 3.63929E-05
1.28086E+06 2.96075E-05
1.28247E+06 2.19349E-05
1.28570E+06 1.58258E-05
1.28893E+06 1.39581E-05
1.29216E+06 1.40913E-05
1.29539E+06 1.69983E-05
1.29862E+06 3.39023E-05
1.30023E+06 9.43442E-05
1.30064E+06 0.000150256
1.30104E+06 0.000288097
1.30124E+06 0.000449015
1.30144E+06 0.000799331
1.30155E+06 0.00114966
1.30165E+06 0.00177760
1.30175E+06 0.00302228
1.30180E+06 0.00408908
1.30185E+06 0.00564397
1.30192E+06 0.00903467
1.30200E+06 0.0111702
1.30208E+06 0.00883378
1.30215E+06 0.00552434
1.30222E+06 0.00360695
1.30229E+06 0.00246810
1.30242E+06 0.00131871
1.30255E+06 0.000804998
1.30268E+06 0.000542048
1.30295E+06 0.000294334
1.30321E+06 0.000186711
1.30374E+06 9.81743E-05
1.30427E+06 6.38242E-05
1.30533E+06 3.84577E-05
1.30639E+06 3.10123E-05
1.30851E+06 4.19330E-05
1.30957E+06 9.93534E-05
1.30984E+06 0.000148859
1.31010E+06 0.000259420
1.31023E+06 0.000373811
1.31037E+06 0.000584841
1.31050E+06 0.00102965
1.31056E+06 0.00144421
1.31063E+06 0.00209949
1.31080E+06 0.00462590
1.31084E+06 0.00456603
1.31089E+06 0.00402227
1.31097E+06 0.00256844
1.31107E+06 0.00146958
1.31116E+06 0.000903114
1.31126E+06 0.000600718
1.31136E+06 0.000427618
1.31155E+06 0.000248131
1.31174E+06 0.000163622
1.31213E+06 8.98677E-05
1.31252E+06 5.96517E-05
1.31329E+06 3.57148E-05
1.31406E+06 2.66848E-05
1.31561E+06 2.00595E-05
1.31715E+06 1.79575E-05
1.32024E+06 1.74959E-05
1.32333E+06 1.92341E-05
1.32642E+06 2.31188E-05
1.32951E+06 3.11637E-05
1.33106E+06 3.86496E-05
1.33260E+06 5.13031E-05
1.33415E+06 7.50855E-05
1.33492E+06 9.53227E-05
1.33569E+06 0.000125397
1.33800E+06 0.000288554
1.33858E+06 0.000305710
1.33916E+06 0.000286893
1.34031E+06 0.000199128
1.34151E+06 0.000130208
1.34271E+06 9.45910E-05
1.34391E+06 7.74583E-05
1.34511E+06 7.01246E-05
1.34750E+06 7.12669E-05
1.34990E+06 8.66773E-05
1.35295E+06 0.000121524
1.35600E+06 0.000142700
1.35905E+06 0.000116406
1.36210E+06 8.18739E-05
1.36430E+06 6.60391E-05
1.36650E+06 5.68958E-05
1.37090E+06 5.12210E-05
1.38360E+06 6.34958E-05
1.38995E+06 5.75535E-05
1.39313E+06 6.14636E-05
1.39471E+06 7.14413E-05
1.39630E+06 9.69231E-05
1.39724E+06 0.000130247
1.39818E+06 0.000199249
1.39864E+06 0.000263442
1.39911E+06 0.000368762
1.39958E+06 0.000551376
1.40005E+06 0.000874800
1.40053E+06 0.00138041
1.40100E+06 0.00169790
1.40148E+06 0.00134573
1.40195E+06 0.000847187
1.40226E+06 0.000622766
1.40256E+06 0.000468329
1.40318E+06 0.000288172
1.40379E+06 0.000195629
1.40440E+06 0.000143554
1.40502E+06 0.000111822
1.40563E+06 9.14779E-05
1.40686E+06 6.90992E-05
1.40809E+06 6.12722E-05
1.40931E+06 6.88604E-05
1.40993E+06 8.59274E-05
1.41054E+06 0.000131307
1.41115E+06 0.000290144
1.41131E+06 0.000389237
1.41146E+06 0.000549658
1.41161E+06 0.000823028
1.41177E+06 0.00128860
1.41193E+06 0.00199012
1.41202E+06 0.00222431
1.41210E+06 0.00220329
1.41227E+06 0.00158137
1.41243E+06 0.000969004
1.41261E+06 0.000602060
1.41278E+06 0.000402400
1.41295E+06 0.000287072
1.41312E+06 0.000215985
