Pb-206(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
88427.8 11.2583
88432.3 12.8464
88434.6 14.1596
88436.8 16.1194
88439.1 19.2209
88441.3 24.4055
88443.6 33.7234
88445.8 51.1471
88447.9 76.8301
88450.0 94.0496
88452.1 77.0210
88454.2 51.3005
88455.8 37.8002
88457.4 29.1501
88459.0 23.5831
88460.6 19.8886
88463.8 15.5413
88467.0 13.2219
88470.2 11.8552
88473.4 10.9874
88479.8 9.99331
88486.2 9.46913
88492.6 9.16006
88505.4 8.82958
88518.2 8.66617
88531.0 8.57371
88556.6 8.47856
88582.2 8.43324
88607.8 8.40836
88658.9 8.38386
88761.3 8.36855
88863.7 8.36706
88966.1 8.37151
89068.5 8.38068
89273.3 8.41732
89478.1 8.50213
89580.5 8.58599
89682.8 8.73328
89785.2 9.02490
89836.4 9.29107
89887.6 9.73120
89938.8 10.5376
89964.4 11.2190
89990.0 12.2590
90015.6 13.9546
90041.2 16.9606
90066.8 22.8741
90079.6 28.0160
90092.4 35.6355
90130.0 66.1900
90139.4 64.4841
90148.8 56.9883
90167.6 38.7406
90186.6 26.4958
90205.7 19.7550
90224.7 15.9616
90243.7 13.6934
90262.8 12.2536
90281.8 11.2917
90319.8 10.1372
90357.9 9.50255
90396.0 9.11906
90472.1 8.70045
90548.2 8.48882
90624.3 8.36608
90776.5 8.23192
90928.8 8.15697
91081.0 8.10297
91385.4 8.00698
91537.7 7.95192
91689.9 7.88403
91842.1 7.79389
91994.4 7.66411
92070.5 7.57395
92146.6 7.45624
92222.7 7.29546
92298.8 7.06211
92336.9 6.90065
92374.9 6.69178
92413.0 6.41109
92451.1 6.01435
