49-In_n-g
> 49-In-113:0.042900
> 49-In-115:0.957100
3.965130e+01 7.47770761e+02
3.966600e+01 5.27044347e+02
3.968070e+01 3.80788928e+02
3.969540e+01 2.83718877e+02
3.971000e+01 2.17786161e+02
3.973940e+01 1.38231986e+02
3.976880e+01 9.47622042e+01
3.979810e+01 6.87314542e+01
3.982750e+01 5.20259209e+01
3.986940e+01 3.82213406e+01
3.988620e+01 3.26863612e+01
3.994500e+01 2.23901347e+01
4.000370e+01 1.62833262e+01
4.006240e+01 1.23733493e+01
4.012120e+01 9.72396898e+00
4.023860e+01 6.47763246e+00
4.035610e+01 4.66485956e+00
4.047350e+01 3.62573920e+00
4.059100e+01 3.30717169e+00
4.068000e+01 3.53700108e+00
4.076900e+01 2.56385148e+00
4.085610e+01 1.92567525e+00
4.094320e+01 1.58935879e+00
4.106990e+01 1.30549522e+00
4.111750e+01 1.19896590e+00
4.146590e+01 7.88297348e-01
4.167010e+01 6.60175449e-01
4.181440e+01 5.70139213e-01
4.216290e+01 4.39712521e-01
4.227040e+01 4.18284581e-01
4.285980e+01 3.05529912e-01
4.287060e+01 3.04661748e-01
4.317070e+01 2.84726264e-01
4.347080e+01 2.71276658e-01
4.355670e+01 2.71766783e-01
4.377100e+01 2.86077024e-01
4.392100e+01 3.09303752e-01
4.407110e+01 3.52895537e-01
4.422110e+01 4.43783287e-01
4.425360e+01 4.81025594e-01
4.429620e+01 5.32763041e-01
4.437120e+01 6.85228035e-01
4.444620e+01 9.74286629e-01
4.448370e+01 1.22983469e+00
4.452130e+01 1.64045681e+00
4.455880e+01 2.36280835e+00
4.459630e+01 3.80278251e+00
4.461500e+01 5.11358453e+00
4.463380e+01 7.23310217e+00
4.465260e+01 1.08584527e+01
4.467130e+01 1.72125401e+01
4.469070e+01 2.73593976e+01
4.471000e+01 3.41259033e+01
4.472940e+01 2.73647553e+01
4.474870e+01 1.72329510e+01
4.476540e+01 1.14439104e+01
4.478200e+01 7.93598815e+00
4.479870e+01 5.78430988e+00
4.481530e+01 4.41128463e+00
4.484860e+01 2.86469583e+00
4.488190e+01 2.08711956e+00
4.491520e+01 1.66186383e+00
4.494850e+01 1.42378938e+00
4.495060e+01 1.41860265e+00
4.501510e+01 1.26721075e+00
4.508160e+01 1.42097246e+00
4.511490e+01 1.64914588e+00
4.514820e+01 2.05661126e+00
4.518150e+01 2.80106043e+00
4.521480e+01 4.27867060e+00
4.523150e+01 5.59082702e+00
4.524810e+01 7.64418108e+00
4.526480e+01 1.09933882e+01
4.528140e+01 1.65161511e+01
4.529110e+01 2.10124781e+01
4.529900e+01 2.52389019e+01
4.530070e+01 2.61486688e+01
4.532000e+01 3.25615572e+01
4.533930e+01 2.61326309e+01
4.535860e+01 1.64898082e+01
4.537670e+01 1.05844313e+01
4.539490e+01 7.16179555e+00
4.541300e+01 5.13414965e+00
4.543110e+01 3.87051843e+00
4.546740e+01 2.47445409e+00
4.547330e+01 2.36069688e+00
4.550370e+01 1.78240190e+00
4.553990e+01 1.39715033e+00
4.557620e+01 1.16502841e+00
4.564750e+01 9.24858411e-01
4.564870e+01 9.21542926e-01
4.572120e+01 8.57245524e-01
4.579370e+01 8.54197739e-01
4.582170e+01 8.68754192e-01
4.590880e+01 1.00566073e+00
4.593880e+01 1.10080892e+00
4.599590e+01 1.30058862e+00
4.608310e+01 1.91785370e+00
4.608380e+01 1.92691773e+00
4.612660e+01 2.48717930e+00
4.617020e+01 3.41243395e+00
4.621370e+01 5.05187733e+00
4.622890e+01 6.19477903e+00
4.625730e+01 8.33280658e+00
4.627910e+01 1.13148322e+01
4.630090e+01 1.61229854e+01
4.632260e+01 2.42950687e+01
4.634440e+01 3.85002212e+01
4.636720e+01 6.14094215e+01
4.639000e+01 7.66555049e+01
4.641280e+01 6.13788079e+01
4.643560e+01 3.84617730e+01
4.646180e+01 2.21943060e+01
4.648810e+01 1.38245304e+01
4.651430e+01 9.30081435e+00
4.651900e+01 8.82866625e+00
4.654060e+01 6.65993578e+00
4.656680e+01 5.00610983e+00
4.659300e+01 3.91053159e+00
4.664550e+01 2.60455323e+00
4.669800e+01 1.89114419e+00
4.675050e+01 1.46321894e+00
4.680900e+01 1.20812041e+00
4.685540e+01 1.00683714e+00
4.696040e+01 7.94974868e-01
4.706530e+01 6.96066915e-01
4.709910e+01 6.93799048e-01
4.727520e+01 6.84556077e-01
4.748510e+01 8.96480176e-01
4.759010e+01 1.14685008e+00
4.767930e+01 1.53766940e+00
4.769500e+01 1.60658813e+00
4.780000e+01 2.53937953e+00
4.785240e+01 3.39877567e+00
4.790490e+01 4.82386494e+00
4.795740e+01 7.42844597e+00
4.798360e+01 9.61295339e+00
4.800990e+01 1.29112851e+01
4.803610e+01 1.81891876e+01
4.806230e+01 2.72466780e+01
4.808860e+01 4.40701726e+01
4.811480e+01 7.69250931e+01
4.813740e+01 1.22914231e+02
4.816000e+01 1.53521145e+02
4.818260e+01 1.22852602e+02
4.820520e+01 7.68460540e+01
4.821920e+01 5.65966691e+01
4.823330e+01 4.24344394e+01
4.825950e+01 2.66743917e+01
4.826130e+01 2.55916467e+01
4.828930e+01 1.68033261e+01
4.831740e+01 1.17911473e+01
4.834540e+01 8.70151499e+00
4.837350e+01 6.67743116e+00
4.842960e+01 4.28638691e+00
4.848560e+01 2.98748995e+00
4.854170e+01 2.20638362e+00
4.865390e+01 1.35523882e+00
4.876610e+01 9.25935843e-01
4.883970e+01 7.64140471e-01
4.887830e+01 6.79374464e-01
4.910260e+01 4.20920565e-01
4.932700e+01 2.94347144e-01
4.955130e+01 2.22459791e-01
5.000000e+01 1.46953826e-01
5.053130e+01 1.05330272e-01
5.054190e+01 1.04527836e-01
5.079690e+01 9.45983144e-02
5.086330e+01 9.24776092e-02
5.092970e+01 9.12014333e-02
5.096290e+01 9.14159829e-02
5.099610e+01 9.31508656e-02
5.101270e+01 9.52259419e-02
5.102930e+01 9.88888760e-02
5.104590e+01 1.05362189e-01
5.106250e+01 1.16645536e-01
5.108130e+01 1.36338262e-01
5.108390e+01 1.38129155e-01
5.110000e+01 1.49548962e-01
5.111880e+01 1.35519262e-01
5.113750e+01 1.14660044e-01
5.115400e+01 1.02390947e-01
5.117050e+01 9.48940885e-02
5.118700e+01 9.01893338e-02
5.120350e+01 8.70714073e-02
5.123650e+01 8.32509529e-02
