K-41(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
18675.5 0.0588371
18676.2 0.107351
18676.6 0.159930
18676.9 0.257358
18677.3 0.468630
18677.4 0.669947
18677.6 1.00475
18677.8 1.61308
18678.0 2.01088
18678.2 1.61720
18678.4 1.00799
18678.6 0.702634
18678.8 0.509338
18679.1 0.293273
18679.4 0.187342
18679.7 0.129244
18680.3 0.0719522
18680.9 0.0459409
18682.1 0.0238128
18683.3 0.0149299
18688.1 0.00538075
18697.7 0.00273137
18716.9 0.00202219
18755.4 0.00181987
18832.3 0.00173457
18986.1 0.00167125
19293.7 0.00169227
19447.5 0.00180693
19601.3 0.00208845
19678.2 0.00238505
19755.1 0.00301093
19793.5 0.00371149
19832.0 0.00543471
19851.2 0.00765804
19870.4 0.0136944
19880.0 0.0218643
19889.7 0.0443089
19894.5 0.0744152
19896.9 0.103497
19899.3 0.154742
19901.7 0.258611
19902.9 0.355193
19904.1 0.518482
19905.3 0.826673
19905.9 1.09438
19906.5 1.51377
19907.1 2.22025
19907.7 3.52946
19908.0 4.62933
19908.3 6.26836
19908.6 8.78015
19908.9 12.6408
19909.3 20.3511
19909.7 25.3434
19910.1 20.1654
19910.5 12.6526
19910.8 8.28932
19911.2 5.64945
19911.5 4.03013
19911.9 2.99416
19912.6 1.81894
19913.3 1.21344
19914.0 0.864561
19914.7 0.646405
19916.1 0.400128
19917.5 0.272034
19918.9 0.197172
19921.7 0.117952
19924.5 0.0788821
19927.3 0.0568859
19932.9 0.0343619
19944.1 0.0177539
19955.3 0.0118834
19977.6 0.00786846
20000.0 0.00676584
20037.1 0.00676428
20074.3 0.00786263
20111.4 0.0100462
20148.6 0.0140375
20185.7 0.0219264
20204.3 0.0290080
20222.8 0.0404455
20241.4 0.0605498
20260.0 0.100311
20269.3 0.136074
20278.5 0.193030
20287.8 0.288334
20297.1 0.450909
20307.2 0.719856
20317.2 0.900862
20327.3 0.722613
20337.4 0.452095
20345.9 0.300205
20354.3 0.206946
20362.8 0.148984
20371.3 0.111536
20388.2 0.0686418
20405.1 0.0463365
20422.0 0.0334076
20438.9 0.0252888
20472.8 0.0160844
20506.6 0.0112758
20540.5 0.00845604
20608.1 0.00545338
20675.8 0.00397226
20743.5 0.00313443
20878.9 0.00227086
21014.2 0.00185900
21149.6 0.00163342
21420.3 0.00141671
21961.8 0.00131950
22503.2 0.00141376
23044.7 0.00170067
23315.4 0.00196810
23586.1 0.00238834
23856.8 0.00308077
24127.6 0.00430124
24398.3 0.00663489
24533.6 0.00858256
24669.0 0.0113391
24893.5 0.0176907
25118.0 0.0216145
25342.5 0.0171935
25567.0 0.0110142
25748.3 0.00768731
25929.7 0.00560577
26111.0 0.00429367
26292.3 0.00344439
26655.0 0.00256390
26836.3 0.00259682
26881.7 0.00277177
26927.0 0.00317874
26972.3 0.00444463
26995.0 0.00742175
27006.3 0.0166509
27009.2 0.0253690
27012.0 0.0481529
27013.4 0.0770813
27014.8 0.147487
27015.5 0.229278
27016.2 0.405500
27016.6 0.582805
27017.0 0.887293
27017.3 1.47167
27017.5 1.97996
27017.7 2.68797
27017.9 4.29324
27018.2 5.25814
27018.5 4.15528
27018.8 2.57998
27019.0 1.84008
27019.2 1.35449
27019.6 0.787509
27020.0 0.506191
27020.3 0.353789
27021.1 0.197767
27021.9 0.127396
27023.4 0.0667539
27025.0 0.0424982
27028.1 0.0235283
27031.2 0.0166249
27037.4 0.0119462
27043.5 0.0108984
27055.9 0.0121369
27068.3 0.0163918
27080.7 0.0259269
27086.9 0.0351222
27093.0 0.0509918
27099.2 0.0818920
27102.3 0.109500
27105.4 0.154086
27108.5 0.232915
27111.6 0.389070
27113.1 0.530662
27114.7 0.756082
27116.2 1.13864
27117.8 1.79306
27119.4 2.86891
27121.1 3.58855
27122.7 2.87271
27124.4 1.79609
27125.6 1.25663
27126.8 0.904851
27128.0 0.671216
27129.2 0.514643
27131.5 0.325958
27133.9 0.223740
27136.3 0.162462
27138.7 0.123231
27143.5 0.0780026
27148.3 0.0539080
27153.0 0.0396552
27162.6 0.0243260
27172.1 0.0166927
27181.7 0.0123573
27200.7 0.00786014
27219.8 0.00569108
27238.9 0.00447872
27277.1 0.00323272
27315.3 0.00262952
27353.5 0.00228612
27429.9 0.00191739
27582.6 0.00160026
27735.3 0.00144884
28040.8 0.00130874
28193.6 0.00138131
28231.7 0.00150154
28269.9 0.00186217
28289.0 0.00236679
28298.6 0.00286723
28308.1 0.00376906
28317.7 0.00565244
28322.4 0.00747145
28327.2 0.0106708
28332.0 0.0171128
28334.4 0.0230997
28336.8 0.0331275
28339.1 0.0519884
28340.3 0.0681728
28341.5 0.0932864
28342.7 0.135480
28343.9 0.211675
28344.5 0.275067
28345.1 0.366214
28345.7 0.505016
28346.3 0.709304
28347.2 1.13931
28348.0 1.42531
28348.9 1.13927
28349.7 0.713445
28350.3 0.507845
28350.9 0.371884
28351.5 0.280207
28352.0 0.217040
28353.2 0.139251
28354.4 0.0965705
28355.5 0.0705742
28356.7 0.0539297
28359.0 0.0345079
28361.4 0.0240502
28363.7 0.0178452
28368.3 0.0111269
28373.0 0.00777345
28377.6 0.00586368
28386.9 0.00388327
28396.2 0.00293005
28405.5 0.00239888
28424.1 0.00185740
28461.3 0.00145595
28498.5 0.00130744
28647.3 0.00113951
28944.9 0.00105605
29540.1 0.000986994
30730.6 0.000954703
31921.0 0.00102395
32516.2 0.00115332
32665.0 0.00123607
32813.8 0.00141225
32888.2 0.00160465
32962.6 0.00202474
32999.8 0.00247291
33037.0 0.00341415
33055.6 0.00440387
33074.2 0.00657008
33083.5 0.00906278
33092.8 0.0152245
33097.4 0.0230476
33102.1 0.0435158
33106.7 0.136297
33107.9 0.217312
33109.1 0.401718
33109.7 0.597583
33110.2 0.975535
33110.5 1.30689
33110.8 1.82232
33111.1 2.65819
33111.4 4.05902
33111.7 6.49725
33112.1 8.24368
33112.2 7.81095
33112.4 6.66258
33112.7 4.18803
33113.0 2.77582
33113.3 1.91755
33113.6 1.36690
33113.9 1.02501
33114.5 0.626866
33115.0 0.421012
33116.2 0.227875
33117.3 0.143973
33119.6 0.0750514
33121.9 0.0483997
33126.4 0.0287478
33131.0 0.0225355
33140.1 0.0211986
33149.2 0.0268265
33158.3 0.0412136
33162.9 0.0550844
33167.5 0.0785437
33172.0 0.122294
33174.3 0.159672
33176.6 0.217148
33178.9 0.311353
33181.1 0.478738
33183.4 0.805948
