33-As_n-g
>  33-As-75:1.000000
8.752330e+02 1.70852000e+00
8.753930e+02 1.14977000e+00
8.755530e+02 8.38744000e-01
8.757140e+02 6.49024000e-01
8.760340e+02 4.40268000e-01
8.763540e+02 3.34743000e-01
8.766750e+02 2.74729000e-01
8.773150e+02 2.13878000e-01
8.785960e+02 1.74148000e-01
8.798780e+02 1.67816000e-01
8.824400e+02 1.88086000e-01
8.850030e+02 2.41981000e-01
8.875660e+02 3.59644000e-01
8.888470e+02 4.74541000e-01
8.901280e+02 6.79222000e-01
8.914090e+02 1.10117000e+00
8.920500e+02 1.50594000e+00
8.926910e+02 2.21373000e+00
8.933310e+02 3.62511000e+00
8.936520e+02 4.92628000e+00
8.939720e+02 7.09999000e+00
8.942920e+02 1.11309000e+01
8.944530e+02 1.45676000e+01
8.946130e+02 1.98449000e+01
8.947730e+02 2.84987000e+01
8.949330e+02 4.38764000e+01
8.950130e+02 5.62742000e+01
8.950930e+02 7.40334000e+01
8.951730e+02 9.99451000e+01
8.952530e+02 1.37566000e+02
8.953770e+02 2.20071000e+02
8.955000e+02 2.74999000e+02
8.956230e+02 2.19950000e+02
8.957470e+02 1.37514000e+02
8.958740e+02 8.33300000e+01
8.960020e+02 5.35813000e+01
8.961300e+02 3.66960000e+01
8.962570e+02 2.64892000e+01
8.963850e+02 1.99406000e+01
8.965120e+02 1.55217000e+01
8.967680e+02 1.01494000e+01
8.970230e+02 7.15043000e+00
8.972780e+02 5.31517000e+00
8.977880e+02 3.28560000e+00
8.982990e+02 2.25111000e+00
8.988090e+02 1.65523000e+00
8.998300e+02 1.03375000e+00
9.008510e+02 7.36286000e-01
9.018710e+02 5.74427000e-01
9.039130e+02 4.22048000e-01
9.059540e+02 3.68075000e-01
9.079960e+02 3.60338000e-01
9.120790e+02 4.36109000e-01
9.141210e+02 5.25512000e-01
9.161620e+02 6.70870000e-01
9.182040e+02 9.13961000e-01
9.202450e+02 1.35215000e+00
9.212660e+02 1.71326000e+00
9.222870e+02 2.25082000e+00
9.233070e+02 3.09994000e+00
9.243280e+02 4.55387000e+00
9.248380e+02 5.70302000e+00
9.253490e+02 7.35084000e+00
9.258590e+02 9.82909000e+00
9.263700e+02 1.37921000e+01
9.268800e+02 2.06727000e+01
9.271350e+02 2.61547000e+01
9.273900e+02 3.40308000e+01
9.276460e+02 4.58090000e+01
9.279010e+02 6.42225000e+01
9.281560e+02 9.42424000e+01
9.284110e+02 1.43819000e+02
9.287060e+02 2.29923000e+02
9.290000e+02 2.87193000e+02
