11-Na_n-g
>  11-Na-23:1.000000
2.991250e+05 5.31338000e-03
2.991830e+05 7.02662000e-03
2.992400e+05 1.05464000e-02
2.992650e+05 1.32577000e-02
2.992900e+05 1.73192000e-02
2.993150e+05 2.35838000e-02
2.993400e+05 3.33298000e-02
2.993440e+05 3.51506000e-02
2.993520e+05 3.96145000e-02
2.993600e+05 4.45691000e-02
2.993770e+05 5.53384000e-02
2.994100e+05 6.87250000e-02
2.994430e+05 5.51629000e-02
2.994760e+05 3.49567000e-02
2.995000e+05 2.50246000e-02
2.995230e+05 1.84477000e-02
2.995700e+05 1.10731000e-02
2.996070e+05 8.02636000e-03
2.996440e+05 6.14480000e-03
2.997180e+05 4.05382000e-03
2.997910e+05 2.97251000e-03
2.998650e+05 2.33517000e-03
3.000130e+05 1.63217000e-03
3.001600e+05 1.25662000e-03
3.004550e+05 8.60014000e-04
3.007500e+05 6.49152000e-04
3.012630e+05 4.47817000e-04
3.017750e+05 3.38432000e-04
3.022880e+05 2.73846000e-04
3.028000e+05 2.36977000e-04
3.033900e+05 2.24400000e-04
3.039810e+05 2.67885000e-04
3.042760e+05 3.52320000e-04
3.045710e+05 6.00750000e-04
3.048660e+05 1.80093000e-03
3.050140e+05 5.37437000e-03
3.050870e+05 1.35573000e-02
3.051240e+05 2.64537000e-02
3.051610e+05 6.31767000e-02
3.051810e+05 1.01223000e-01
3.052000e+05 1.26653000e-01
3.052200e+05 1.01196000e-01
3.052390e+05 6.31639000e-02
3.052620e+05 3.62296000e-02
3.052840e+05 2.24715000e-02
3.053290e+05 1.06718000e-02
3.054190e+05 3.98722000e-03
3.055980e+05 1.29663000e-03
3.059570e+05 4.26472000e-04
3.066750e+05 1.71378000e-04
3.073920e+05 1.15838000e-04
3.081100e+05 9.29112000e-05
3.093350e+05 7.43773000e-05
3.105600e+05 6.49306000e-05
3.130100e+05 5.54747000e-05
3.179100e+05 4.92126000e-05
3.297000e+05 5.26495000e-05
3.437700e+05 7.32440000e-05
3.545300e+05 1.08092000e-04
3.620450e+05 1.54628000e-04
3.695600e+05 2.43138000e-04
3.751600e+05 3.67823000e-04
3.805200e+05 5.81044000e-04
3.809400e+05 6.03198000e-04
3.825500e+05 6.96160000e-04
3.884000e+05 1.08732000e-03
3.898600e+05 1.15917000e-03
3.912500e+05 1.19704000e-03
3.923200e+05 1.20151000e-03
3.935200e+05 1.18031000e-03
3.953900e+05 1.10014000e-03
3.971000e+05 9.94359000e-04
3.990500e+05 8.61084000e-04
4.029500e+05 6.22088000e-04
4.037100e+05 5.83615000e-04
4.065250e+05 4.64797000e-04
4.093400e+05 3.78070000e-04
4.149700e+05 2.72714000e-04
4.190750e+05 2.37250000e-04
4.231800e+05 2.41739000e-04
4.250500e+05 2.73330000e-04
4.269200e+05 3.62399000e-04
4.277700e+05 4.49598000e-04
4.286200e+05 6.00008000e-04
4.289000e+05 6.70221000e-04
4.299000e+05 1.01373000e-03
4.309000e+05 1.25817000e-03
4.309800e+05 1.25564000e-03
4.312200e+05 1.22465000e-03
4.314600e+05 1.16400000e-03
4.319400e+05 9.94474000e-04
4.329000e+05 6.76385000e-04
4.330100e+05 6.48569000e-04
4.334580e+05 5.53535000e-04
4.339050e+05 4.83027000e-04
4.348000e+05 3.92836000e-04
4.360600e+05 3.32329000e-04
4.373200e+05 3.12675000e-04
4.394300e+05 3.33834000e-04
4.417500e+05 4.35980000e-04
4.435300e+05 6.13110000e-04
4.453100e+05 9.71379000e-04
4.461500e+05 1.24178000e-03
4.474850e+05 1.77729000e-03
4.488200e+05 2.07336000e-03
4.492600e+05 2.02686000e-03
4.505500e+05 1.58405000e-03
4.518400e+05 1.09321000e-03
4.523300e+05 9.47050000e-04
4.534850e+05 6.89857000e-04
4.546400e+05 5.23241000e-04
4.563200e+05 3.75986000e-04
