Sn-119(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
112500 0.0765435
125000 0.0724474
150000 0.0658703
175000 0.0623069
200000 0.0593763
250000 0.0558593
300000 0.0536925
400000 0.0520361
500000 0.0507866
700000 0.0520404
793676 0.0535198
800000 0.0520330
900000 0.0483465
928309 0.0482281
929216 0.0479260
1.00000E+06 0.0418520
1.07141E+06 0.0401207
1.07141E+06 0.0401206
1.09864E+06 0.0389859
1.09864E+06 0.0389858
1.19778E+06 0.0349755
1.25000E+06 0.0334669
1.26030E+06 0.0332939
1.26030E+06 0.0332939
1.36639E+06 0.0318213
1.36640E+06 0.0318213
1.50000E+06 0.0308108
1.56742E+06 0.0310012
1.56759E+06 0.0310017
1.58493E+06 0.0309063
1.58493E+06 0.0309063
1.63102E+06 0.0306692
1.63102E+06 0.0306692
1.64484E+06 0.0305787
1.73298E+06 0.0302666
1.75000E+06 0.0301817
1.78975E+06 0.0302045
1.78976E+06 0.0302045
1.80488E+06 0.0301571
1.80488E+06 0.0301571
1.92116E+06 0.0300978
1.92116E+06 0.0300978
1.94597E+06 0.0300991
1.95525E+06 0.0301050
1.99982E+06 0.0301648
1.99982E+06 0.0301648
2.00000E+06 0.0301650
2.11237E+06 0.0286320
2.22475E+06 0.0272506
2.33712E+06 0.0259990
2.44949E+06 0.0248598
2.58712E+06 0.0235965
2.72475E+06 0.0224580
2.86237E+06 0.0214266
3.00000E+06 0.0204877
3.06250E+06 0.0196165
