32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
5.521100e+02 2.29265526e+01
5.523290e+02 1.87395337e+01
5.525480e+02 1.60634979e+01
5.529170e+02 1.34290304e+01
5.529860e+02 1.29382573e+01
5.534240e+02 1.12380461e+01
5.535380e+02 1.09676922e+01
5.538630e+02 1.02105358e+01
5.541600e+02 9.75469459e+00
5.543010e+02 9.55051569e+00
5.547390e+02 9.12179852e+00
5.547810e+02 9.09720595e+00
5.554020e+02 8.85421282e+00
5.556160e+02 8.83473980e+00
5.557130e+02 8.85320935e+00
5.560240e+02 9.03229772e+00
5.563350e+02 9.42507684e+00
5.564920e+02 9.83225253e+00
5.566450e+02 1.02517677e+01
5.568010e+02 1.09556955e+01
5.569560e+02 1.19755574e+01
5.571110e+02 1.34957439e+01
5.572670e+02 1.58402536e+01
5.573690e+02 1.83326343e+01
5.574220e+02 1.96322512e+01
5.575770e+02 2.60952203e+01
5.577330e+02 3.77617904e+01
5.578880e+02 5.94827269e+01
5.580440e+02 9.55840395e+01
5.582000e+02 1.23933492e+02
5.582450e+02 1.18691945e+02
5.583560e+02 1.05770833e+02
5.585120e+02 7.21793224e+01
5.586190e+02 5.52770083e+01
5.587260e+02 4.35740142e+01
5.588330e+02 3.55066227e+01
5.589390e+02 2.98351301e+01
5.591530e+02 2.27002670e+01
5.593670e+02 1.85948789e+01
5.595800e+02 1.60183973e+01
5.597940e+02 1.42903605e+01
5.599980e+02 1.32748411e+01
5.602210e+02 1.21764024e+01
5.606480e+02 1.09650226e+01
5.610760e+02 1.01882357e+01
5.617510e+02 9.45013865e+00
5.619300e+02 9.25937893e+00
5.627850e+02 8.73496875e+00
5.635040e+02 8.44324185e+00
5.636390e+02 8.39068148e+00
5.644940e+02 8.15288716e+00
5.652570e+02 7.99036053e+00
5.653480e+02 7.97224805e+00
5.670580e+02 7.72675538e+00
5.687630e+02 7.55080555e+00
5.687670e+02 7.55043397e+00
5.704760e+02 7.42878240e+00
5.721850e+02 7.32925708e+00
5.722690e+02 7.32530347e+00
5.756030e+02 7.18703186e+00
5.757750e+02 7.18134067e+00
5.790210e+02 7.08484289e+00
5.792810e+02 7.07870174e+00
5.858570e+02 6.94257485e+00
5.862930e+02 6.93531483e+00
5.926940e+02 6.84277915e+00
5.933050e+02 6.83520849e+00
5.995300e+02 6.76564071e+00
6.003170e+02 6.75812778e+00
6.073290e+02 6.69639382e+00
6.132030e+02 6.64852141e+00
6.188500e+02 6.60906710e+00
6.213530e+02 6.59176403e+00
6.250000e+02 6.56837341e+00
6.268750e+02 6.55630285e+00
6.353770e+02 6.50672341e+00
6.405480e+02 6.47801864e+00
6.473840e+02 6.44162825e+00
6.494010e+02 6.43084663e+00
6.542210e+02 6.40591696e+00
6.576390e+02 6.38746141e+00
6.593480e+02 6.37773686e+00
6.610570e+02 6.36744113e+00
6.627660e+02 6.35633940e+00
6.634250e+02 6.35184210e+00
6.636210e+02 6.35053476e+00
6.644750e+02 6.34499518e+00
6.649020e+02 6.34264853e+00
6.653300e+02 6.34115380e+00
6.657570e+02 6.34168550e+00
6.661840e+02 6.34729811e+00
6.663980e+02 6.35439413e+00
6.666120e+02 6.36740727e+00
6.668250e+02 6.39175383e+00
6.670390e+02 6.43992873e+00
6.672520e+02 6.54563401e+00
6.673590e+02 6.64793679e+00
6.674660e+02 6.82261991e+00
6.675730e+02 7.14838153e+00
6.676260e+02 7.42330555e+00
6.676800e+02 7.83739340e+00
6.677330e+02 8.49209067e+00
6.677860e+02 9.58789469e+00
6.678400e+02 1.15350410e+01
6.678670e+02 1.30556131e+01
6.678930e+02 1.51076908e+01
6.679200e+02 1.77726046e+01
6.679470e+02 2.08945359e+01
6.680000e+02 2.51982664e+01
6.680530e+02 2.19659745e+01
6.681070e+02 1.64468871e+01
6.681420e+02 1.38315475e+01
6.681760e+02 1.20023477e+01
