Pt-198(n,g) JEFF-3.2
Energy(eV) XS(b)
2660.69 10.7580
2661.36 7.08910
2662.02 5.00504
2662.69 3.71773
2664.02 2.27775
2665.36 1.53543
2666.69 1.10461
2668.02 0.832608
2669.35 0.650051
2672.02 0.427903
2674.69 0.303172
2677.35 0.226200
2680.02 0.175428
2685.35 0.114709
2690.69 0.0811818
2696.02 0.0607429
2701.35 0.0473729
2712.02 0.0315299
2722.68 0.0228644
2733.35 0.0176207
2744.02 0.0142140
2765.35 0.0102210
2786.68 0.00808520
2829.34 0.00608872
2872.01 0.00538367
2914.67 0.00530782
3000.00 0.00664163
3056.46 0.00927561
3084.69 0.0117532
3112.92 0.0158521
3141.15 0.0233208
3155.26 0.0296417
3169.38 0.0394538
3183.49 0.0563405
3190.55 0.0702218
3197.60 0.0917274
3204.66 0.129946
3208.19 0.163204
3211.72 0.218349
3215.25 0.325878
3217.01 0.426591
3218.78 0.602242
3220.54 0.958318
3221.42 1.29588
3222.31 1.88110
3222.75 2.35072
3223.19 3.03513
3223.41 3.50244
3223.63 4.08814
3223.85 4.84307
3224.07 5.82878
3224.29 7.16202
3224.51 9.00579
3224.73 11.6792
3224.95 15.7051
3225.17 22.1941
3225.28 26.9610
3225.39 33.3375
3225.50 42.1458
3225.61 54.3448
3225.72 71.6247
3225.83 96.0368
3226.20 198.287
3226.30 189.287
3226.39 162.561
3226.57 102.353
3226.73 67.4065
3226.89 46.0573
3227.04 32.9082
3227.20 24.4825
3227.51 14.9198
3227.83 10.0068
3228.14 7.16773
3228.45 5.39500
3229.08 3.40049
3229.71 2.36504
3230.34 1.76389
3231.59 1.13249
3232.85 0.830621
3234.10 0.668401
3236.61 0.522989
3239.12 0.482958
3241.63 0.495146
3244.14 0.544874
3246.65 0.632157
3247.91 0.692596
3249.16 0.767015
3250.42 0.858621
3251.04 0.912254
3251.67 0.971903
3252.30 1.03861
3252.93 1.11318
3253.55 1.19706
3254.18 1.29145
3254.81 1.39844
3255.44 1.51985
3256.69 1.81794
3257.95 2.21592
3259.20 2.76196
3260.46 3.53638
3261.71 4.67966
3262.97 6.45128
3264.22 9.35697
3264.85 11.5236
3265.48 14.4117
3266.10 18.2901
3266.73 23.4497
3267.98 37.4694
3269.23 46.6295
3270.48 37.1940
3271.72 23.2723
3272.76 15.4955
3273.80 10.6987
3274.84 7.70524
3275.87 5.76503
3277.95 3.53533
3280.03 2.37219
3282.10 1.69637
3284.18 1.27163
3288.33 0.789440
3292.48 0.537158
3296.64 0.389138
3300.79 0.294954
3304.94 0.231381
3313.25 0.153512
3321.55 0.109440
3329.86 0.0820892
3338.16 0.0639539
3354.77 0.0421427
3371.38 0.0300250
3387.99 0.0226053
3404.60 0.0177398
3437.82 0.0119752
3471.04 0.00885255
3504.26 0.00701785
3537.47 0.00590790
3603.91 0.00500639
3637.13 0.00513668
3670.35 0.00585590
3703.57 0.00783740
3720.18 0.00994362
3736.79 0.0138598
3745.10 0.0171852
3753.40 0.0222836
3761.71 0.0306721
3770.01 0.0459339
3774.16 0.0587703
3778.31 0.0783359
3782.47 0.110343
3786.62 0.168099
3788.70 0.216287
3790.77 0.289100
3792.85 0.406750
3794.92 0.615280
3795.96 0.785973
3797.00 1.03928
3798.04 1.43834
3799.08 2.12002
3799.60 2.65771
3800.11 3.42742
3800.37 3.94400
3800.63 4.58259
