Zn-66(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
24146.5 0.0969542
24201.0 0.114668
24310.0 0.140327
24364.5 0.131534
24419.0 0.111579
24528.0 0.0697615
24572.5 0.0570558
24594.7 0.0518292
24605.8 0.0499045
24611.4 0.0507973
24614.1 0.0582088
24615.5 0.0877602
24616.2 0.189837
24616.6 0.503199
24616.7 1.21056
24616.8 2.42918
24616.9 5.49665
24617.0 10.9777
24617.1 5.49666
24617.2 2.22304
24617.3 1.21049
24617.4 0.503050
24617.8 0.193221
24618.4 0.0888835
24619.8 0.0576202
24622.5 0.0487224
24627.9 0.0455010
24638.6 0.0429580
24660.2 0.0391761
24703.2 0.0330058
24789.3 0.0241605
24875.4 0.0183327
24961.6 0.0143446
25133.8 0.00945010
25306.0 0.00670460
25478.2 0.00502219
25650.5 0.00392053
25822.7 0.00316329
25908.8 0.00288073
25951.9 0.00279617
25973.4 0.00291730
25984.1 0.00361028
25989.5 0.00642549
25992.2 0.0172589
25993.6 0.0574071
25994.2 0.192337
25994.6 0.592854
25994.7 1.50421
25994.8 2.80064
25994.9 6.85347
25995.0 13.6310
25995.1 6.77906
25995.2 2.36107
25995.3 1.09460
25995.5 0.411845
25996.0 0.127860
25996.8 0.0373456
25998.5 0.0118073
26001.9 0.00496461
26008.8 0.00317862
26022.5 0.00269336
26049.8 0.00251128
26104.5 0.00235500
26214.0 0.00212737
26323.4 0.00196080
26378.2 0.00196265
26405.5 0.00224802
26419.2 0.00350012
26426.0 0.00845539
26429.5 0.0274432
26431.2 0.0969692
26432.0 0.333622
26432.5 1.02122
26432.7 2.48005
26432.8 4.76833
26432.9 10.8307
26432.9 17.3982
26433.0 21.5716
26433.1 17.3981
26433.1 10.7427
26433.3 4.17796
26433.4 2.03232
26433.6 0.787600
26434.1 0.252334
26435.1 0.0728963
26437.1 0.0207444
26441.1 0.00666365
26449.2 0.00301056
26465.2 0.00206798
26497.3 0.00181030
26561.4 0.00175872
26625.6 0.00213882
26657.7 0.00394011
26673.7 0.0111321
26677.7 0.0184556
26681.7 0.0388486
26683.7 0.0665615
26685.7 0.141321
26686.7 0.238926
26687.7 0.489298
26688.2 0.794609
26688.5 1.06625
26688.7 1.50274
26689.0 2.26579
26689.2 3.76434
26689.4 5.16946
26689.5 7.22367
26689.6 10.9339
26689.7 17.1061
26689.9 27.1004
26690.0 34.1496
26690.1 27.1000
26690.3 17.0437
26690.4 12.5554
26690.5 9.26155
26690.6 5.59777
26690.8 3.67993
26691.0 2.58223
26691.1 1.90414
