Mo-95(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
825.405 6.39313
825.406 6.39313
825.409 6.39311
825.413 6.39307
825.422 6.39299
825.440 6.39284
825.475 6.39254
825.546 6.39194
825.688 6.39073
825.973 6.38831
826.541 6.38348
827.678 6.37379
829.951 6.35434
834.498 6.31482
843.592 6.23110
852.686 6.13544
861.780 6.01664
866.327 5.94225
870.874 5.85174
875.421 5.73680
879.968 5.58300
882.242 5.48395
884.515 5.36381
886.789 5.21624
889.062 5.03598
890.199 4.93548
891.336 4.83629
892.472 4.76123
893.609 4.78072
894.178 4.88628
894.746 5.13877
895.314 5.69262
895.883 6.92057
896.451 9.87479
896.735 12.9101
897.019 18.3255
897.304 28.9452
897.446 38.2905
897.588 52.8892
897.730 77.0420
897.872 119.944
898.014 202.598
898.085 271.928
898.156 370.854
898.278 618.141
898.400 806.761
898.522 675.201
898.644 442.222
898.774 277.689
898.905 185.997
899.035 133.242
899.165 100.888
899.295 79.7677
899.426 65.2708
899.686 47.2034
899.947 36.7451
900.207 30.1155
900.728 22.4126
901.250 18.2103
901.771 15.6267
902.292 13.9032
902.813 12.6837
903.855 11.0893
904.897 10.1046
905.939 9.44145
906.981 8.96672
909.066 8.33496
911.150 7.93477
913.234 7.65856
915.319 7.45607
919.487 7.17765
923.656 6.99408
925.740 6.92478
927.824 6.87025
928.867 6.85295
929.909 6.85681
930.430 6.88477
930.690 6.91770
930.951 6.97999
931.211 7.11005
931.342 7.23203
931.472 7.43652
931.602 7.81505
931.667 8.13544
931.732 8.62358
931.798 9.41473
931.863 10.7920
931.928 13.4085
931.960 15.5929
931.993 18.6815
932.047 25.8425
932.100 30.6034
932.154 25.8285
932.207 18.6689
932.255 14.4933
932.302 11.9952
932.349 10.4709
932.396 9.50304
932.491 8.40907
932.585 7.84747
932.680 7.52412
932.774 7.32163
932.963 7.09184
933.152 6.97055
933.341 6.89813
933.719 6.81768
934.097 6.77429
934.475 6.74658
935.231 6.71103
936.742 6.66715
938.254 6.63456
941.277 6.58013
944.301 6.53219
947.324 6.48788
950.348 6.44645
951.859 6.42744
953.371 6.41238
954.127 6.41002
954.883 6.42173
955.261 6.44561
955.639 6.51524
955.828 6.60401
956.017 6.81321
956.111 7.04002
956.206 7.48592
956.253 7.88414
956.300 8.51227
956.347 9.55051
956.394 11.2947
956.447 14.2543
956.500 16.2267
956.553 14.2535
956.606 11.2925
956.653 9.55543
956.699 8.51906
956.746 7.88813
956.793 7.48821
956.887 7.03679
956.980 6.80520
