35-Br_n-tot
>  35-Br-79:0.506900
>  35-Br-81:0.493100
2.548880e+02 8.44716582e+00
2.549860e+02 8.59608478e+00
2.550850e+02 8.85178462e+00
2.551830e+02 9.31564655e+00
2.552810e+02 1.02276378e+01
2.553310e+02 1.10270061e+01
2.553800e+02 1.22556228e+01
2.554290e+02 1.42136824e+01
2.554780e+02 1.73385645e+01
2.555390e+02 2.30933865e+01
2.556000e+02 2.69172782e+01
2.556610e+02 2.30534451e+01
2.557220e+02 1.72562162e+01
2.557620e+02 1.46063986e+01
2.558010e+02 1.27764138e+01
2.558800e+02 1.06300593e+01
2.558900e+02 1.04894336e+01
2.559590e+02 9.52863733e+00
2.560380e+02 8.90238054e+00
2.561170e+02 8.51270327e+00
2.561960e+02 8.25326850e+00
2.563540e+02 7.93437568e+00
2.565120e+02 7.74642063e+00
2.566700e+02 7.62022635e+00
2.569850e+02 7.45222200e+00
2.573010e+02 7.33373475e+00
2.576170e+02 7.23669735e+00
2.582490e+02 7.07003891e+00
2.588810e+02 6.91874547e+00
2.592040e+02 6.84465503e+00
2.595120e+02 6.79545021e+00
2.607760e+02 6.60143809e+00
2.625190e+02 6.34111901e+00
2.633020e+02 6.25471952e+00
2.658290e+02 5.98000411e+00
2.658330e+02 5.97957282e+00
2.724610e+02 5.46989401e+00
2.759360e+02 5.27227208e+00
2.790890e+02 5.09497579e+00
2.824030e+02 4.93315520e+00
2.857170e+02 4.79014059e+00
2.873740e+02 4.73989268e+00
2.890310e+02 4.74347248e+00
2.898600e+02 4.80358693e+00
2.906880e+02 4.97436144e+00
2.911020e+02 5.15594817e+00
2.915170e+02 5.49280473e+00
2.917240e+02 5.78869491e+00
2.919310e+02 6.28984917e+00
2.921380e+02 7.36853995e+00
2.922420e+02 8.55268560e+00
2.923450e+02 1.09167816e+01
2.925000e+02 1.59083998e+01
2.926550e+02 1.19445651e+01
2.927460e+02 1.04034982e+01
2.928370e+02 9.91323506e+00
2.930190e+02 1.04418008e+01
2.932010e+02 1.22596159e+01
2.933830e+02 1.56604291e+01
2.934740e+02 1.83234387e+01
2.935640e+02 2.20224037e+01
2.936550e+02 2.73216989e+01
2.937460e+02 3.51797747e+01
2.938370e+02 4.73946559e+01
2.939280e+02 6.73604943e+01
2.940190e+02 1.01824281e+02
2.941100e+02 1.62844559e+02
2.942050e+02 2.63513525e+02
2.943000e+02 3.35455962e+02
2.943950e+02 2.75100541e+02
2.944900e+02 1.77325254e+02
2.945830e+02 1.14425709e+02
2.946750e+02 7.80983721e+01
2.947680e+02 5.66272569e+01
2.948600e+02 4.32309105e+01
2.949530e+02 3.44131852e+01
2.950450e+02 2.83333320e+01
2.952300e+02 2.07464680e+01
2.954150e+02 1.63746680e+01
2.956000e+02 1.36233258e+01
2.959700e+02 1.04695655e+01
2.961500e+02 9.64903815e+00
2.963400e+02 8.78300785e+00
2.967100e+02 7.76568648e+00
2.974500e+02 6.63359439e+00
2.981900e+02 6.03675322e+00
2.989300e+02 5.67581317e+00
3.004100e+02 5.27036540e+00
3.033700e+02 4.95436647e+00
3.063300e+02 4.98572583e+00
3.078100e+02 5.16853044e+00
3.092900e+02 5.56065434e+00
3.107700e+02 6.35266657e+00
3.115100e+02 7.02284223e+00
3.122500e+02 8.00838572e+00
3.129900e+02 9.50097621e+00
3.137300e+02 1.18549216e+01
3.144700e+02 1.57793446e+01
3.152100e+02 2.28509069e+01
3.155800e+02 2.86357273e+01
3.159500e+02 3.71269375e+01
3.163200e+02 5.01918050e+01
3.163640e+02 5.27327006e+01
3.166900e+02 7.15585112e+01
3.170600e+02 1.09463348e+02
3.172450e+02 1.40120595e+02
3.174300e+02 1.84624828e+02
3.176150e+02 2.51863020e+02
3.178000e+02 3.58057490e+02
3.179850e+02 5.33017001e+02
3.181700e+02 8.25588971e+02
3.183850e+02 1.34863307e+03
3.186000e+02 1.72258774e+03
3.188150e+02 1.40958140e+03
