Nd-145(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
147.190 247.507
147.219 396.781
147.233 517.129
147.248 683.529
147.274 1097.06
147.300 1374.16
147.326 1096.80
147.352 683.241
147.369 498.857
147.385 371.253
147.418 221.471
147.451 144.351
147.484 100.715
147.517 73.9786
147.550 56.5280
147.616 36.0236
147.682 24.9157
147.748 18.2689
147.880 11.0522
148.012 7.43828
148.144 5.38400
148.276 4.10989
148.407 3.27010
148.671 2.28080
148.935 1.76564
149.199 1.49484
149.463 1.37759
149.990 1.52105
150.254 1.84904
150.518 2.52824
150.650 3.12070
150.782 4.02941
150.914 5.50780
151.046 8.12771
151.178 13.4139
151.244 18.3384
151.310 26.6246
151.376 42.2020
151.409 55.6561
151.442 76.5261
151.475 111.448
151.491 138.209
151.508 175.270
151.524 228.124
151.541 305.797
151.557 422.735
151.573 597.473
151.597 955.463
151.620 1193.93
151.643 955.279
151.667 597.255
151.685 409.776
151.702 290.145
151.720 212.936
151.738 161.574
151.774 100.983
151.809 68.5728
151.845 49.4427
151.880 37.2801
151.952 23.3306
152.023 15.9575
152.094 11.6131
152.165 8.83866
152.236 6.96043
152.379 4.65280
152.521 3.34423
152.664 2.52968
152.806 1.98861
153.091 1.33497
153.376 0.969045
153.661 0.742781
153.946 0.592619
154.516 0.410675
155.085 0.307926
156.225 0.200549
157.364 0.147635
158.504 0.117470
160.783 0.0866727
163.062 0.0746527
165.341 0.0777211
166.480 0.0916509
167.050 0.107336
167.620 0.137111
168.190 0.201832
168.474 0.266359
168.759 0.383255
168.902 0.481010
169.044 0.628856
169.187 0.868193
169.329 1.29259
169.400 1.64084
169.472 2.15740
169.543 2.97194
169.614 4.36510
169.685 7.04221
169.721 9.41238
169.756 13.2007
169.792 19.7704
169.828 32.5053
169.845 43.7155
169.863 61.2122
169.881 89.6754
169.890 110.292
169.899 136.584
169.909 175.074
169.919 218.598
169.940 272.867
169.961 218.148
169.981 136.550
169.997 94.7018
170.012 67.6567
170.027 49.8988
170.043 38.0662
170.073 23.9349
170.104 16.3335
170.135 11.8052
170.165 8.92420
170.227 5.60083
170.288 3.84009
170.349 2.79875
170.411 2.13304
170.472 1.68213
170.594 1.12841
170.717 0.814431
170.840 0.619472
170.962 0.490202
171.207 0.334856
171.453 0.248637
171.943 0.161279
172.433 0.120181
172.924 0.0976908
173.905 0.0754363
175.866 0.0610766
177.828 0.0596016
177.828 0.0596019
177.829 0.0596027
177.830 0.0596035
177.831 0.0596051
177.834 0.0596082
177.840 0.0596146
177.851 0.0596275
177.873 0.0596538
177.919 0.0597092
178.009 0.0598306
178.190 0.0601155
178.552 0.0608554
179.276 0.0630468
180.723 0.0708562
182.170 0.0856521
183.617 0.114369
185.065 0.177517
185.788 0.241063
186.512 0.357401
186.874 0.455673
187.236 0.605931
187.598 0.852533
187.959 1.29954
188.140 1.67402
188.321 2.24194
188.502 3.16418
188.683 4.81050
188.774 6.16867
188.864 8.19606
188.954 11.4242
189.045 17.0086
189.090 21.4848
189.135 27.9648
189.181 37.8611
189.226 54.0347
189.271 83.1129
189.294 107.016
189.316 142.479
189.339 197.837
189.361 289.622
