Ca-44(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
131008 0.200003
131010 0.141026
131013 0.0791170
131017 0.0504071
131024 0.0256168
131031 0.0155491
131045 0.00762763
131059 0.00463954
131087 0.00240119
131115 0.00159155
131171 0.00100101
131226 0.000794906
131338 0.000658087
131450 0.000629897
131674 0.000766162
131785 0.00139335
131841 0.00376506
131869 0.0122420
131876 0.0200668
131883 0.0393489
131887 0.0617071
131890 0.110020
131892 0.159720
131894 0.243007
131896 0.402684
131896 0.546881
131897 0.755391
131899 1.19096
131900 1.50749
131901 1.19092
131903 0.752589
131904 0.527929
131905 0.377561
131907 0.213083
131909 0.134274
131911 0.0916978
131915 0.0502570
131919 0.0316591
131927 0.0159730
131935 0.00972043
131967 0.00304523
132031 0.00120493
132159 0.000726803
132415 0.000617591
132926 0.000623086
133950 0.000710843
134974 0.000843506
135486 0.000957790
135741 0.00114369
135869 0.00171590
135933 0.00381483
135949 0.00587773
135965 0.0114051
135973 0.0185357
135981 0.0365042
135985 0.0579286
135989 0.106046
135991 0.155935
135993 0.249292
135994 0.328485
135995 0.447569
135996 0.632044
135997 0.911704
135999 1.46091
136000 1.81897
136001 1.46087
136003 0.908209
136004 0.511640
136006 0.310063
136007 0.204191
136009 0.146495
136012 0.0840287
136015 0.0543403
136021 0.0282131
136028 0.0174320
136040 0.00885512
136052 0.00559177
136077 0.00312924
136102 0.00223943
136201 0.00137352
136400 0.00122586
136599 0.00145453
136698 0.00235635
136748 0.00570924
136760 0.00895834
136773 0.0174896
136779 0.0282097
136785 0.0541862
136788 0.0837021
136791 0.145805
136793 0.208099
136794 0.308423
136796 0.508831
136797 0.676125
136797 0.906546
136799 1.45254
136800 1.80851
136801 1.45250
136803 0.903072
136804 0.651775
136804 0.491820
136806 0.291517
136808 0.189344
136809 0.134536
136813 0.0763567
136816 0.0491329
136823 0.0252398
136829 0.0156725
136843 0.00805505
136856 0.00518008
136882 0.00302692
136909 0.00224962
137015 0.00149257
137228 0.00134342
137652 0.00141282
138502 0.00170951
138927 0.00190519
139352 0.00213839
139564 0.00227169
139777 0.00241790
139989 0.00257861
140201 0.00275564
140414 0.00295124
140626 0.00316770
140839 0.00340795
141051 0.00367534
141476 0.00430780
141901 0.00510382
142326 0.00611592
142750 0.00741118
143175 0.00907111
143600 0.0111762
144100 0.0142620
144600 0.0177616
145600 0.0219871
146100 0.0205997
146600 0.0174574
147600 0.0109349
147899 0.00959009
148048 0.00954814
148123 0.0116217
148141 0.0139186
148160 0.0202060
148169 0.0285448
148179 0.0496789
148183 0.0756245
148188 0.133739
148190 0.198514
148193 0.319076
148194 0.429916
148195 0.587107
148196 0.864363
148197 1.32293
148199 2.08382
148200 2.63778
148201 2.08375
148203 1.32286
148204 0.755599
148206 0.466189
148208 0.311734
148209 0.226655
148212 0.133649
148215 0.0890470
148221 0.0495158
148228 0.0330979
148240 0.0198956
148253 0.0148813
148277 0.0110194
148302 0.00955167
148402 0.00782718
148601 0.00682444
148999 0.00564744
149795 0.00409475
150591 0.00324266
150989 0.00350946
151088 0.00406593
151138 0.00465104
151188 0.00572263
151238 0.00796287
151263 0.0101056
151287 0.0137921
151312 0.0209937
151325 0.0274847
151337 0.0379104
151362 0.0932619
151368 0.126563
151375 0.180071
151378 0.219183
151381 0.270574
151384 0.338373
151387 0.426958
151390 0.546255
151394 0.682214
151400 0.848279
151403 0.798134
151407 0.678016
151413 0.423651
151421 0.243852
151428 0.151634
151436 0.101870
151444 0.0728177
151451 0.0546276
151459 0.0425686
151474 0.0282293
151489 0.0202898
151504 0.0154833
151535 0.0102253
151565 0.00754709
151595 0.00600643
151656 0.00437644
151777 0.00310183
151899 0.00259290
152142 0.00214009
152384 0.00190642
153355 0.00141759
154326 0.00113691
154812 0.00104643
155055 0.00106251
155176 0.00128493
155237 0.00220346
155267 0.00554560
155275 0.00867878
155282 0.0165275
155286 0.0258142
155290 0.0464458
155294 0.106505
155296 0.187219
155297 0.370610
155299 0.592648
155300 0.738882
155301 0.592630
155303 0.369186
155304 0.200158
155306 0.122091
155309 0.0572208
155312 0.0328447
155316 0.0213553
155322 0.0112127
155328 0.00713485
155354 0.00264695
155406 0.00137065
155509 0.00101800
155715 0.000900548
156126 0.000823630
156950 0.000733935
157774 0.000691540
158186 0.000727232
158391 0.000911435
158494 0.00162886
158546 0.00432870
158559 0.00696996
158572 0.0138723
158578 0.0227464
158585 0.0441298
158588 0.0685727
158591 0.120414
158593 0.170785
158594 0.258251
158596 0.423885
158597 0.561861
158597 0.781597
158599 1.25254
158600 1.55958
158601 1.25251
158603 0.778603
158604 0.504231
158605 0.337485
158606 0.237624
158607 0.174898
158610 0.105025
158612 0.0696443
158617 0.0369726
158622 0.0229500
158631 0.0114901
158641 0.00706651
158660 0.00365046
158679 0.00238815
158756 0.00112097
158909 0.000801973
159215 0.000758780
159520 0.000821668
159826 0.000967079
160132 0.00127755
160285 0.00156607
160438 0.00204193
160591 0.00289909
160744 0.00464789
160782 0.00536642
160821 0.00627163
160859 0.00743524
160897 0.00894650
160916 0.00987923
160935 0.0109501
160974 0.0136273
161012 0.0172357
161050 0.0220552
161088 0.0280963
161125 0.0349867
161200 0.0435633
161238 0.0410205
161275 0.0349389
161350 0.0220028
161401 0.0158853
161451 0.0117395
161553 0.00699993
161654 0.00462523
161756 0.00330469
161857 0.00250442
161958 0.00198569
162161 0.00137851
162364 0.00105059
162567 0.000853432
162972 0.000638110
163378 0.000531856
163784 0.000485093
163986 0.000490227
164189 0.000553829
164392 0.000977528
164443 0.00141693
164493 0.00263027
164519 0.00425201
164544 0.00851731
164557 0.0139316
164570 0.0271949
164576 0.0426268
164582 0.0751080
164585 0.107431
164589 0.161974
164592 0.269237
164593 0.359537
164595 0.483792
164597 0.770418
164600 0.966301
164603 0.770375
164605 0.482825
164608 0.310257
164610 0.206383
164612 0.144671
164615 0.107430
164619 0.0646855
164624 0.0429637
164633 0.0228411
164643 0.0141791
164662 0.00706220
164681 0.00431011
164718 0.00219675
164756 0.00141571
164831 0.000835994
164907 0.000625358
165057 0.000467608
165208 0.000407579
165811 0.000334767
167016 0.000300549
169428 0.000326044
170633 0.000402466
171236 0.000477481
171839 0.000601375
172442 0.000818853
172743 0.000991642
173044 0.00123786
173195 0.00140105
173346 0.00160097
173421 0.00171798
173497 0.00184824
173647 0.00215692
173798 0.00254544
173949 0.00303719
174099 0.00365974
174250 0.00444001
174438 0.00564535
174625 0.00701966
175000 0.00871791
175188 0.00819812
175375 0.00697567
175750 0.00439185
176101 0.00281700
176452 0.00190211
176804 0.00135848
177155 0.00101866
177857 0.000640799
178559 0.000448897
179262 0.000338617
179964 0.000269277
181368 0.000189527
182773 0.000146295
184178 0.000119607
186987 8.85578E-05
192605 5.94810E-05
198224 4.53888E-05
203842 3.73825E-05
209460 3.34975E-05
212270 3.38135E-05
215079 3.86779E-05
216483 4.66537E-05
217186 5.46532E-05
217888 6.88568E-05
218590 9.72885E-05
218941 0.000123403
219293 0.000166673
219644 0.000245759
219819 0.000312110
219995 0.000412307
220170 0.000572747
220346 0.000848090
220522 0.00136032
220697 0.00236242
220849 0.00377219
221000 0.00470974
221152 0.00376303
221303 0.00235589
221398 0.00173626
221492 0.00130476
221681 0.000793566
221870 0.000527720
222059 0.000376430
222248 0.000283266
222437 0.000222290
222815 0.000150287
223194 0.000111204
223572 8.77112E-05
224328 6.21381E-05
225084 4.92807E-05
225840 4.19483E-05
227352 3.44432E-05
230377 2.96438E-05
233402 3.00079E-05
236426 3.47242E-05
239451 4.87890E-05
240963 6.51796E-05
242475 9.90108E-05
243232 0.000130528
243988 0.000182508
244744 0.000273547
245500 0.000437891
246250 0.000693914
247000 0.000861681
247750 0.000686516
248500 0.000432433
249035 0.000308512
249570 0.000226812
250106 0.000172793
250641 0.000136140
251711 9.19560E-05
252781 6.77948E-05
254922 4.40056E-05
257063 3.32232E-05
261344 2.41619E-05
265625 2.07931E-05
274188 1.93786E-05
282750 2.15068E-05
291313 2.77508E-05
295594 3.37433E-05
299875 4.35723E-05
304156 6.09554E-05
306297 7.50086E-05
308438 9.54798E-05
309508 0.000109353
310578 0.000126680
311113 0.000136985
311649 0.000148617
312184 0.000161796
312719 0.000176774
313789 0.000213393
314859 0.000261529
315930 0.000325070
317000 0.000408117
318125 0.000518302
319250 0.000643308
321500 0.000794468
322625 0.000745113
323750 0.000633154
326000 0.000399659
328406 0.000244222
330813 0.000161440
333219 0.000115993
335625 8.97362E-05
340438 6.48254E-05
345250 5.81909E-05
350063 6.37157E-05
354875 8.50719E-05
357281 0.000106453
358484 0.000121683
359688 0.000141211
360289 0.000153003
360891 0.000166423
361492 0.000181712
362094 0.000199137
362695 0.000218996
363297 0.000241581
363899 0.000267179
364500 0.000295996
365188 0.000332959
365875 0.000373892
367250 0.000462361
370000 0.000569044
371375 0.000533689
372750 0.000454062
375500 0.000289026
377838 0.000198849
380175 0.000151966
381344 0.000146288
382513 0.000168767
383097 0.000212190
383389 0.000256634
383681 0.000335642
383974 0.000492317
384120 0.000634104
384266 0.000864947
384412 0.00127512
384558 0.00209960
384631 0.00285397
384704 0.00407611
384777 0.00616970
384814 0.00775587
384850 0.00984574
384888 0.0125709
384925 0.0156797
385000 0.0195541
385038 0.0184112
385075 0.0156707
385150 0.00983583
385201 0.00708434
385251 0.00521648
385352 0.00307855
385453 0.00200497
385554 0.00140730
385655 0.00104469
385756 0.000809977
385957 0.000535520
386159 0.000387588
386361 0.000298934
386765 0.000202111
387168 0.000152704
387572 0.000123740
388379 9.20598E-05
389994 6.47799E-05
391609 5.20690E-05
394838 3.89839E-05
398068 3.19214E-05
404526 2.46464E-05
410985 2.17912E-05
417444 2.19034E-05
423903 2.60749E-05
427132 3.16005E-05
430361 4.37496E-05
431976 5.61705E-05
433591 7.98651E-05
434398 0.000100961
435205 0.000135006
436013 0.000194191
436820 0.000302343
438300 0.000571443
439040 0.000497855
439780 0.000392684
440523 0.000370613
441265 0.000460853
441636 0.000574242
442008 0.000773429
442379 0.00112954
442564 0.00140466
442750 0.00177098
442938 0.00224346
443125 0.00278360
443500 0.00345437
443688 0.00325064
443875 0.00276844
444250 0.00174638
444484 0.00129410
444719 0.000978160
445188 0.000603087
445656 0.000407384
446125 0.000295539
446594 0.000226416
447063 0.000180998
448000 0.000127199
448938 9.80099E-05
449875 8.06480E-05
451750 6.25662E-05
455500 5.20855E-05
459250 5.48970E-05
463000 6.66947E-05
466750 9.19077E-05
467688 0.000102100
468625 0.000115086
469563 0.000132300
470500 0.000156512
471438 0.000193775
471906 0.000221410
472375 0.000259727
472844 0.000316145
473313 0.000405795
473781 0.000563343
474250 0.000878940
474582 0.00132799
474914 0.00218800
475207 0.00341031
475500 0.00422333
475793 0.00341405
476086 0.00220389
476302 0.00159277
476518 0.00119554
476950 0.000765044
477382 0.000563205
477815 0.000458152
478679 0.000364758
479543 0.000331677
483000 0.000311284
486291 0.000279525
487937 0.000287658
488348 0.000311142
488759 0.000366938
489171 0.000513055
489376 0.000673682
489582 0.000961039
489791 0.00141744
490000 0.00172003
490209 0.00140853
490418 0.000945431
490585 0.000695623
490751 0.000537410
491084 0.000368887
491417 0.000288720
491750 0.000244409
492781 0.000183520
493813 0.000158403
495875 0.000137568
497938 0.000138318
500000 0.000167348
500000 0.00212354
550000 0.00211245
600000 0.00210238
650000 0.00210525
700000 0.00210791
750000 0.00212075
800000 0.00213284
850000 0.00215307
900000 0.00217232
950000 0.00219842
1.00000E+06 0.00222347
1.10000E+06 0.00198270
1.18360E+06 0.00181554
1.18360E+06 0.00181553
1.20000E+06 0.00178574
1.30000E+06 0.00131019
1.40000E+06 0.000983608
1.50000E+06 0.000926246
1.60000E+06 0.000875620
1.70000E+06 0.000866137
1.80000E+06 0.000857291
1.90000E+06 0.000853437
1.92673E+06 0.000852444
1.92673E+06 0.000852444
2.00000E+06 0.000849797
2.10000E+06 0.000857849
2.20000E+06 0.000865598
2.30000E+06 0.000819225
2.33553E+06 0.000803816
2.33553E+06 0.000803815
2.40000E+06 0.000777156
2.50000E+06 0.000761456
2.60000E+06 0.000746671
2.70000E+06 0.000724683
2.71746E+06 0.000720993
2.71746E+06 0.000720993
2.80000E+06 0.000704108
2.81864E+06 0.000702687
2.90000E+06 0.000696625
2.98978E+06 0.000690188
3.00000E+06 0.000689471
3.10000E+06 0.000688428
3.11419E+06 0.000688283
3.11419E+06 0.000688283
3.20000E+06 0.000687420
3.30000E+06 0.000671602
3.34649E+06 0.000664532
3.36038E+06 0.000662452
3.36038E+06 0.000662452
3.37706E+06 0.000659976
3.38377E+06 0.000658985
3.40000E+06 0.000656604
3.43424E+06 0.000646674
3.50000E+06 0.000628287
3.60000E+06 0.000601939
3.66256E+06 0.000583597
3.66256E+06 0.000583596
3.70000E+06 0.000573032
3.74555E+06 0.000560576
3.74555E+06 0.000560575
3.76043E+06 0.000556598
3.79698E+06 0.000547011
3.80000E+06 0.000546230
3.86285E+06 0.000532227
3.86286E+06 0.000532226
3.87709E+06 0.000529136
3.90000E+06 0.000524223
3.95369E+06 0.000512998
3.95369E+06 0.000512997
4.00000E+06 0.000503627
4.00336E+06 0.000503561
4.01261E+06 0.000503378
4.01262E+06 0.000503378
4.10345E+06 0.000501610
4.10345E+06 0.000501610
4.18590E+06 0.000500044
4.18590E+06 0.000500044
4.20000E+06 0.000499780
4.20372E+06 0.000499125
4.26467E+06 0.000488594
4.40000E+06 0.000466499
4.49116E+06 0.000455536
4.60000E+06 0.000443061
4.73053E+06 0.000431940
4.80000E+06 0.000426257
4.84920E+06 0.000422048
4.98842E+06 0.000410580
5.00000E+06 0.000409655
5.17521E+06 0.000400398
5.19291E+06 0.000399492
5.20000E+06 0.000399130
5.27198E+06 0.000396127
5.38011E+06 0.000391733
5.40000E+06 0.000390940
5.44660E+06 0.000389290
5.52036E+06 0.000386722
5.60000E+06 0.000384005
5.80000E+06 0.000377782
5.81865E+06 0.000377421
5.97945E+06 0.000374368
6.00000E+06 0.000373986
6.02508E+06 0.000373555
6.06385E+06 0.000372894
6.08983E+06 0.000372454
6.20000E+06 0.000370614
6.25770E+06 0.000370749
6.38751E+06 0.000371048
6.40000E+06 0.000371076
6.60000E+06 0.000369674
6.80000E+06 0.000367535
7.00000E+06 0.000369019
7.20000E+06 0.000369249
7.40000E+06 0.000376218
7.60000E+06 0.000379903
7.80000E+06 0.000379940
8.00000E+06 0.000389006
8.50000E+06 0.000409854
9.00000E+06 0.000442841
9.05729E+06 0.000447796
9.50000E+06 0.000486882
1.00000E+07 0.000547626
1.01685E+07 0.000573249
1.01686E+07 0.000573258
1.05000E+07 0.000625849
1.07426E+07 0.000670646
1.09236E+07 0.000705432
1.10000E+07 0.000720470
1.11659E+07 0.000755193
1.13043E+07 0.000785019
1.13874E+07 0.000803309
1.13875E+07 0.000803322
1.14031E+07 0.000806796
1.15000E+07 0.000828551
1.16119E+07 0.000853751
1.20000E+07 0.000945165
1.24442E+07 0.00104948
1.25000E+07 0.00106309
1.30000E+07 0.00117567
1.35000E+07 0.00128266
1.36320E+07 0.00130329
1.36320E+07 0.00130329
