73-Ta_n-g
> 73-Ta-181:1.000000
3.838880e+01 4.35363000e+01
3.848670e+01 5.67456000e+01
3.858470e+01 7.76894000e+01
3.868260e+01 1.13660000e+02
3.873160e+01 1.42144000e+02
3.878060e+01 1.83038000e+02
3.882950e+01 2.44654000e+02
3.887850e+01 3.43400000e+02
3.892750e+01 5.15377000e+02
3.895200e+01 6.52825000e+02
3.897650e+01 8.50792000e+02
3.900090e+01 1.14811000e+03
3.902540e+01 1.61541000e+03
3.904990e+01 2.38274000e+03
3.907440e+01 3.66117000e+03
3.910220e+01 5.85525000e+03
3.913000e+01 7.31478000e+03
3.915780e+01 5.84799000e+03
3.918560e+01 3.65350000e+03
3.920500e+01 2.59068000e+03
3.922440e+01 1.88094000e+03
3.924380e+01 1.40717000e+03
3.926320e+01 1.08345000e+03
3.930210e+01 6.90828000e+02
3.934090e+01 4.75048000e+02
3.937970e+01 3.45406000e+02
3.941850e+01 2.61959000e+02
3.949620e+01 1.65129000e+02
3.957380e+01 1.13426000e+02
3.965140e+01 8.26967000e+01
3.972910e+01 6.29769000e+01
3.980670e+01 4.95829000e+01
3.996200e+01 3.30782000e+01
4.011720e+01 2.36825000e+01
4.027250e+01 1.78269000e+01
4.042780e+01 1.39302000e+01
4.073830e+01 9.22232000e+00
4.104890e+01 6.58851000e+00
4.135940e+01 4.96309000e+00
4.167000e+01 3.88729000e+00
4.229100e+01 2.59191000e+00
4.291210e+01 1.86809000e+00
4.353320e+01 1.42162000e+00
4.415430e+01 1.12702000e+00
4.539650e+01 7.79184000e-01
4.663870e+01 6.11229000e-01
4.725970e+01 5.88251000e-01
4.788080e+01 6.61386000e-01
4.819140e+01 8.12995000e-01
4.834670e+01 9.74552000e-01
4.850190e+01 1.27438000e+00
4.865720e+01 1.91059000e+00
4.873480e+01 2.53038000e+00
4.881250e+01 3.62502000e+00
4.889010e+01 5.83188000e+00
4.892890e+01 7.88667000e+00
4.896770e+01 1.13520000e+01
4.900660e+01 1.78697000e+01
4.902600e+01 2.35083000e+01
