Nd-150(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2882.30 22.8461
2892.50 18.5456
2902.71 15.9427
2912.91 14.1692
2933.31 11.8564
2953.72 10.3726
2974.13 9.31228
3014.94 7.84342
3055.75 6.80706
3096.56 5.93730
3116.97 5.48706
3127.17 5.23086
3137.37 4.92722
3147.58 4.52688
3152.68 4.25604
3157.78 3.89624
3160.33 3.66260
3162.88 3.37374
3165.43 3.00456
3167.98 2.51466
3169.26 2.20541
3170.53 1.84155
3171.81 1.41810
3173.08 0.956577
3173.72 0.745322
3174.36 0.606605
3174.68 0.598483
3175.00 0.666324
3175.32 0.857844
3175.63 1.25223
3175.95 1.99417
3176.11 2.57227
3176.27 3.34737
3176.43 4.40383
3176.59 5.83624
3176.75 7.81025
3176.91 10.5710
3177.07 14.5361
3177.23 20.2970
3177.39 29.0370
3177.55 42.6357
3177.71 65.0989
3177.87 103.854
3178.02 175.197
3178.18 311.156
3178.34 542.090
3178.50 733.595
3178.66 634.679
3178.82 427.709
3178.93 316.069
3179.05 239.371
3179.16 186.993
3179.28 150.698
3179.51 105.028
3179.74 78.8032
3179.97 62.3021
3180.19 51.2888
3180.65 37.7651
3181.11 29.9644
3181.57 25.0018
3182.03 21.5944
3182.49 19.1380
3183.40 15.8499
3184.32 13.7702
3185.24 12.3448
3186.15 11.3110
3187.99 9.91242
3189.82 9.01180
3191.66 8.38238
3193.49 7.91650
3197.16 7.26786
3200.82 6.83253
3204.49 6.51498
3208.16 6.26943
3215.49 5.90484
3222.83 5.63662
3237.50 5.24087
3252.17 4.93557
3266.84 4.67204
3281.51 4.42870
3288.84 4.31167
3292.51 4.25837
3294.35 4.25135
3294.80 4.26712
3295.26 4.32487
3295.49 4.41047
3295.72 4.65315
3295.84 4.98277
3295.95 5.85352
3296.01 6.98823
3296.04 8.04766
3296.06 9.75904
3296.09 13.0606
3296.11 15.7934
3296.12 19.9747
3296.14 27.4341
3296.15 40.0341
3296.16 64.8197
3296.17 86.2611
3296.18 122.717
3296.19 190.497
3296.20 241.066
3296.21 190.581
3296.22 122.819
3296.23 82.7590
3296.24 57.9677
3296.25 42.6646
3296.26 32.8309
3296.28 21.6288
3296.29 15.8351
3296.31 12.4888
3296.33 10.3928
3296.37 8.02256
3296.44 6.06454
3296.51 5.29612
3296.65 4.70365
3296.80 4.48240
3297.09 4.31527
3297.37 4.25211
3298.52 4.17539
3300.82 4.12334
