U-238(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
80.5403 14.4261
80.5727 17.0464
80.6051 21.9377
80.6375 32.3053
80.6538 42.2496
80.6700 59.3165
80.6862 91.8067
80.6902 104.469
80.6943 119.996
80.6983 139.331
80.7024 163.765
80.7065 195.249
80.7105 236.383
80.7146 291.386
80.7186 366.666
80.7227 472.611
80.7267 624.654
80.7308 847.333
80.7348 1172.59
80.7380 1512.17
80.7411 1905.23
80.7474 2421.76
80.7506 2300.35
80.7538 1974.01
80.7601 1260.05
80.7646 901.663
80.7691 661.899
80.7736 501.653
80.7781 392.158
80.7871 258.582
80.7960 184.575
80.8050 139.692
80.8140 110.510
80.8320 76.1366
80.8500 57.3849
80.8680 45.9952
80.8859 38.5297
80.9039 33.3510
80.9399 26.7808
80.9759 22.8903
81.0118 20.3720
81.0478 18.6343
81.1197 16.4291
81.1916 15.1123
81.2635 14.2483
81.3355 13.6422
81.4074 13.1951
81.4793 12.8524
81.6232 12.3612
81.7670 12.0249
81.9109 11.7783
82.0547 11.5879
82.1986 11.4349
82.3424 11.3081
82.4862 11.2002
82.7739 11.0238
82.9178 10.9505
82.9897 10.9195
83.0257 10.9121
83.0436 10.9231
83.0616 11.0065
83.0731 11.1258
83.0846 10.9965
83.1036 10.8950
83.1226 10.8687
83.1605 10.8444
83.2364 10.8115
83.3882 10.7598
83.4641 10.7444
83.5400 10.7532
83.5779 10.7874
83.5969 10.8256
83.6159 10.8957
83.6348 11.0360
83.6443 11.1622
83.6538 11.3645
83.6633 11.7153
83.6728 12.3888
83.6775 12.9762
83.6823 13.8796
83.6870 15.3236
83.6917 17.6533
83.6975 21.8725
83.7033 24.6795
83.7090 21.8613
83.7148 17.6461
83.7202 15.0674
83.7256 13.5729
83.7309 12.6856
83.7363 12.1312
83.7471 11.5157
83.7579 11.2039
83.7687 11.0251
83.7795 10.9131
83.8010 10.7846
83.8226 10.7149
83.8442 10.6714
83.8873 10.6189
83.9735 10.5617
84.0598 10.5238
84.4048 10.4094
85.0949 10.2172
86.4750 9.87113
87.8551 9.53932
88.2001 9.45969
88.5452 9.39066
88.7177 9.37171
88.8040 9.37449
88.8902 9.39746
88.9765 9.47032
89.0196 9.55211
89.0627 9.70637
89.1058 10.0338
89.1274 10.3490
89.1490 10.8952
89.1705 11.9598
89.1813 12.9132
89.1921 14.4540
89.2029 17.1674
89.2137 22.5529
89.2191 27.4130
89.2244 35.1943
89.2298 48.2938
89.2352 70.8100
89.2410 107.834
89.2468 132.465
89.2526 107.769
89.2583 70.8124
89.2621 53.8477
89.2659 42.2046
89.2734 28.6992
89.2809 21.8139
89.2885 17.9521
89.2960 15.5942
89.3035 14.0623
89.3186 12.2645
89.3337 11.2929
89.3487 10.7106
89.3789 10.0757
89.4090 9.75388
89.4391 9.56679
89.4994 9.36471
89.5596 9.25891
89.6199 9.19271
89.7404 9.10909
89.9815 9.00513
90.2225 8.92371
91.1867 8.62298
92.1508 8.30363
92.6329 8.13342
92.8739 8.05451
92.9342 8.04289
92.9945 8.05006
93.0246 8.07711
93.0547 8.16105
93.0698 8.26641
93.0849 8.50149
93.0924 8.73874
93.0999 9.16365
93.1075 10.0027
93.1112 10.7287
93.1150 11.7855
93.1207 14.0871
93.1265 15.6208
93.1322 14.0830
93.1380 11.7769
93.1428 10.4914
93.1475 9.69817
93.1523 9.20133
93.1571 8.87933
93.1666 8.50724
93.1762 8.31137
93.1953 8.12213
93.2144 8.03500
93.2526 7.95375
93.2908 7.91243
93.4435 7.82264
93.7490 7.68616
94.3601 7.40760
95.5822 6.76212
96.8043 5.95197
97.4153 5.46574
97.7208 5.20222
97.8736 5.07825
97.9500 5.06168
97.9882 5.18256
97.9977 5.28909
98.0073 5.50178
98.0168 5.98366
98.0216 6.45591
98.0264 7.22276
98.0321 8.60426
98.0379 9.52342
98.0436 8.59340
98.0494 7.20087
98.0570 6.10993
98.0646 5.59588
98.0722 5.33251
98.0798 5.18207
98.0951 5.02395
98.1103 4.94314
98.1713 4.80366
98.2932 4.65700
98.5370 4.39848
99.0247 3.86884
99.5123 3.33921
100.000 2.91323
100.314 2.82574
100.471 2.90196
100.628 3.11372
100.706 3.29134
100.785 3.53228
100.863 3.85215
100.903 4.04748
100.942 4.27039
100.981 4.52501
101.020 4.81398
101.059 5.14238
101.099 5.51538
101.177 6.42132
101.256 7.58965
101.334 9.10547
101.413 11.0813
101.491 13.6778
101.569 17.1216
101.648 21.7642
101.726 28.1236
101.805 37.0227
101.883 49.7935
101.962 68.7990
102.040 98.3111
102.119 146.852
102.197 233.089
102.237 303.182
102.276 405.133
102.315 560.783
102.354 813.026
102.393 1256.89
102.413 1611.57
102.433 2121.76
102.452 2883.78
102.472 4069.88
102.491 5988.08
102.511 9127.48
102.535 14996.2
102.547 17839.2
102.553 18744.3
102.556 18998.4
102.559 19104.0
102.562 19057.4
102.565 18870.7
102.571 18104.3
102.583 15549.4
102.606 9952.37
102.623 7124.14
102.640 5225.03
102.656 3951.75
102.673 3077.86
102.707 2010.54
102.740 1417.53
102.774 1057.07
102.808 822.252
102.875 544.993
102.942 393.286
103.009 300.896
103.076 240.193
103.144 197.992
103.278 144.310
103.412 112.402
103.547 91.6878
103.681 77.3684
103.950 59.1361
104.219 48.2253
104.487 41.0581
104.756 36.0355
105.294 29.5109
105.831 25.4861
106.369 22.7612
106.906 20.7895
107.981 18.0985
109.056 16.2953
110.131 14.9322
110.669 14.3420
110.938 14.0676
111.072 13.9608
111.106 13.9568
111.139 13.9989
111.156 14.0726
111.173 14.2576
111.181 14.4565
111.190 14.8312
111.198 15.6195
111.202 16.3408
111.206 17.4113
111.212 19.6047
111.218 21.0312
111.224 19.5529
111.229 17.3881
111.235 16.0121
111.240 15.2379
111.246 14.7801
111.251 14.4938
111.262 14.1735
111.273 14.0073
111.295 13.8422
111.317 13.7593
111.362 13.6651
111.406 13.6011
111.582 13.4019
111.934 13.0373
112.639 12.2961
113.344 11.4817
114.049 10.5156
114.401 9.93931
114.754 9.27437
115.106 8.49975
115.459 7.62084
115.635 7.17705
115.811 6.80688
115.987 6.69144
116.164 7.35459
116.252 8.41713
116.296 9.30647
116.318 9.87978
116.340 10.5617
116.362 11.3779
116.384 12.3478
116.406 13.5082
116.428 14.9013
116.439 15.7091
116.450 16.5893
116.472 18.6263
116.494 21.1093
116.516 24.1568
116.538 27.9467
116.560 32.6611
116.582 38.6137
116.604 46.2254
116.626 56.1555
116.648 69.2198
116.670 86.8391
116.692 111.205
