31-Ga_n-g
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
4.594990e+02 1.39073669e-01
4.616630e+02 1.73028334e-01
4.638270e+02 2.36173849e-01
4.649090e+02 2.89762964e-01
4.659910e+02 3.71718247e-01
4.670730e+02 5.05785363e-01
4.681550e+02 7.46957120e-01
4.686960e+02 9.47040037e-01
4.692370e+02 1.24771970e+00
4.694080e+02 1.39996877e+00
4.697780e+02 1.72953775e+00
4.703190e+02 2.57244170e+00
4.708600e+02 4.25021573e+00
4.711310e+02 5.79298522e+00
4.714010e+02 8.36159437e+00
4.716720e+02 1.30967779e+01
4.718070e+02 1.71113291e+01
4.719420e+02 2.32378951e+01
4.720770e+02 3.32000126e+01
4.722130e+02 5.06789357e+01
4.722800e+02 6.46103163e+01
4.723480e+02 8.43106820e+01
4.724150e+02 1.12655180e+02
4.724830e+02 1.53251490e+02
4.725920e+02 2.45368754e+02
4.727000e+02 3.06830336e+02
4.728090e+02 2.45276087e+02
4.729170e+02 1.53152714e+02
4.730230e+02 9.52902997e+01
4.731290e+02 6.24544527e+01
4.732340e+02 4.33281590e+01
4.733400e+02 3.15497072e+01
4.734460e+02 2.38905167e+01
4.735520e+02 1.86704488e+01
4.737630e+02 1.22589318e+01
4.739750e+02 8.64363860e+00
4.741870e+02 6.41575822e+00
4.746100e+02 3.93544735e+00
4.750330e+02 2.66146196e+00
4.754560e+02 1.92299077e+00
4.758790e+02 1.45743995e+00
4.763020e+02 1.14536890e+00
4.771490e+02 7.65962068e-01
4.779950e+02 5.52977920e-01
4.788420e+02 4.21554457e-01
4.796880e+02 3.34780879e-01
4.813810e+02 2.30802863e-01
4.830730e+02 1.73110871e-01
4.847660e+02 1.37676412e-01
4.864590e+02 1.14258143e-01
4.898440e+02 8.59293789e-02
4.932290e+02 6.97913585e-02
5.000000e+02 5.22774423e-02
5.079680e+02 4.32123072e-02
5.159360e+02 3.85759896e-02
5.199200e+02 3.77166219e-02
5.239040e+02 3.92969779e-02
5.255580e+02 4.24507480e-02
5.258960e+02 4.31271835e-02
5.268920e+02 4.73944728e-02
5.278880e+02 5.53661581e-02
5.288840e+02 7.24597733e-02
5.293820e+02 8.92967964e-02
5.298800e+02 1.19403502e-01
5.303780e+02 1.81265865e-01
5.306270e+02 2.40063116e-01
5.308760e+02 3.41533440e-01
5.311250e+02 5.39169351e-01
5.312500e+02 7.16649368e-01
5.313740e+02 1.00462607e+00
5.314990e+02 1.51521260e+00
5.315610e+02 1.93120468e+00
5.316230e+02 2.54040191e+00
5.316860e+02 3.47841979e+00
5.317480e+02 4.99825322e+00
5.318100e+02 7.60944957e+00
5.318720e+02 1.21969429e+01
5.319360e+02 1.94997546e+01
5.320000e+02 2.43699957e+01
5.320640e+02 1.95018391e+01
5.321280e+02 1.21996090e+01
5.321660e+02 9.06725515e+00
5.322050e+02 6.85184870e+00
5.322820e+02 4.18513361e+00
5.323590e+02 2.77385224e+00
5.324360e+02 1.96080175e+00
5.325120e+02 1.45644206e+00
5.325890e+02 1.12433372e+00
5.327430e+02 7.30254397e-01
5.328970e+02 5.15333583e-01
5.330510e+02 3.85787768e-01
5.333580e+02 2.44428628e-01
5.336660e+02 1.73167886e-01
5.339740e+02 1.32321793e-01
5.345890e+02 8.96969524e-02
5.352040e+02 6.90391212e-02
5.358190e+02 5.74600624e-02
5.370500e+02 4.55567161e-02
5.382800e+02 3.98088808e-02
5.395100e+02 3.65491561e-02
5.419710e+02 3.30742058e-02
5.468930e+02 3.01223889e-02
5.511170e+02 2.89178635e-02
5.518140e+02 2.87759051e-02
5.715010e+02 2.82461158e-02
5.911870e+02 3.09109561e-02
6.010300e+02 3.61773247e-02
6.022340e+02 3.81140754e-02
6.034910e+02 4.02380951e-02
6.059520e+02 5.03858588e-02
6.071820e+02 6.34415665e-02
6.077980e+02 7.60372442e-02
6.084130e+02 9.84260664e-02
6.090280e+02 1.44528096e-01
6.093360e+02 1.88682734e-01
6.096430e+02 2.65727257e-01
6.099510e+02 4.18670163e-01
6.101050e+02 5.58964591e-01
6.102580e+02 7.91970788e-01
6.104120e+02 1.21992948e+00
6.104890e+02 1.58120949e+00
6.105660e+02 2.13081388e+00
6.106430e+02 3.01892248e+00
6.107200e+02 4.56577268e+00
6.107970e+02 7.50346190e+00
6.108350e+02 9.95556819e+00
6.108740e+02 1.34249423e+01
6.109370e+02 2.14687158e+01
6.110000e+02 2.68218148e+01
6.110630e+02 2.14572967e+01
6.111270e+02 1.34277101e+01
6.111650e+02 9.93567620e+00
6.112040e+02 7.48495327e+00
6.112810e+02 4.54668276e+00
6.113580e+02 3.00326047e+00
6.114360e+02 2.11943333e+00
6.115130e+02 1.57221698e+00
6.115900e+02 1.21321081e+00
6.117450e+02 7.87900387e-01
6.118990e+02 5.56510385e-01
6.120540e+02 4.17285794e-01
6.123630e+02 2.65672896e-01
6.126720e+02 1.89454664e-01
6.129810e+02 1.45901524e-01
6.135990e+02 1.00712759e-01
6.142170e+02 7.90731065e-02
6.148350e+02 6.71665020e-02
6.160710e+02 5.54193731e-02
6.185430e+02 4.78411124e-02
6.210150e+02 4.63113996e-02
6.277920e+02 5.04442988e-02
6.309030e+02 5.25941246e-02
6.405710e+02 6.76392006e-02
6.407920e+02 6.80101137e-02
6.506800e+02 9.74106648e-02
6.533500e+02 1.10441397e-01
6.556240e+02 1.22216841e-01
6.605680e+02 1.59952938e-01
6.655120e+02 2.20049811e-01
6.661300e+02 2.33338449e-01
6.704560e+02 3.28738103e-01
6.725190e+02 4.03023871e-01
6.729290e+02 4.18158976e-01
6.754010e+02 5.53486252e-01
6.778730e+02 7.68780009e-01
6.789090e+02 9.26736282e-01
6.803450e+02 1.14765483e+00
6.815810e+02 1.45562848e+00
6.821040e+02 1.64773113e+00
6.828170e+02 1.91089730e+00
6.840530e+02 2.62394871e+00
6.852890e+02 3.83251845e+00
6.852980e+02 3.84632240e+00
6.859070e+02 4.78240606e+00
6.865250e+02 6.13478259e+00
6.871430e+02 8.15181535e+00
6.877610e+02 1.13443202e+01
6.883790e+02 1.68065031e+01
6.884930e+02 1.83895070e+01
6.886880e+02 2.10986230e+01
6.889970e+02 2.71838302e+01
6.893060e+02 3.61272931e+01
6.896150e+02 4.97939224e+01
6.899240e+02 7.14214956e+01
6.902330e+02 1.05916809e+02
6.906170e+02 1.69334839e+02
6.910000e+02 2.11505277e+02
6.913840e+02 1.69129019e+02
6.916880e+02 1.18804198e+02
6.917670e+02 1.05727189e+02
6.920100e+02 7.73468449e+01
6.922540e+02 5.76593456e+01
6.927400e+02 3.45053408e+01
6.932270e+02 2.25637879e+01
6.932850e+02 2.17574157e+01
6.937130e+02 1.58126710e+01
6.942000e+02 1.16805534e+01
6.946860e+02 8.98966629e+00
6.948830e+02 8.35174374e+00
6.956590e+02 5.85802244e+00
6.964800e+02 4.45486839e+00
6.966320e+02 4.20275435e+00
6.976060e+02 3.28006261e+00
6.980780e+02 3.06182581e+00
6.988760e+02 2.75276419e+00
6.995520e+02 2.55470997e+00
6.996750e+02 2.55403929e+00
7.004740e+02 2.68538717e+00
7.012720e+02 3.08705304e+00
7.014980e+02 3.30969918e+00
7.016720e+02 3.50270533e+00
7.020710e+02 4.18165414e+00
7.024700e+02 5.26548680e+00
7.028700e+02 7.10577808e+00
7.030690e+02 8.53367449e+00
7.032690e+02 1.05347338e+01
7.034440e+02 1.30817504e+01
7.034690e+02 1.34471621e+01
7.036680e+02 1.78924389e+01
7.038680e+02 2.50684595e+01
7.040680e+02 3.75170058e+01
7.041680e+02 4.73151633e+01
7.042670e+02 6.10214435e+01
7.043670e+02 8.04728666e+01
7.044670e+02 1.07911067e+02
7.046340e+02 1.72074529e+02
7.048000e+02 2.14751864e+02
7.049670e+02 1.71957295e+02
7.051330e+02 1.07758776e+02
7.052770e+02 7.08422655e+01
7.053900e+02 5.32874876e+01
7.054210e+02 4.84726435e+01
7.055650e+02 3.47388269e+01
7.057090e+02 2.59451159e+01
7.059970e+02 1.59575587e+01
7.062850e+02 1.08023589e+01
7.065730e+02 7.82223040e+00
7.068610e+02 5.95189738e+00
7.073360e+02 4.19619406e+00
7.074370e+02 3.82562381e+00
7.080130e+02 2.71509375e+00
7.085890e+02 2.05624484e+00
7.091640e+02 1.62991973e+00
7.097400e+02 1.33515314e+00
7.108920e+02 9.56947823e-01
7.112290e+02 8.88556628e-01
7.120440e+02 7.38057628e-01
7.131960e+02 5.96469948e-01
7.143480e+02 4.93943318e-01
7.151210e+02 4.45623646e-01
7.166510e+02 3.63575314e-01
7.189550e+02 2.80800660e-01
7.190130e+02 2.79211223e-01
7.212590e+02 2.28503131e-01
7.229050e+02 1.98920951e-01
7.235620e+02 1.89570269e-01
7.281700e+02 1.40384965e-01
7.306900e+02 1.19388629e-01
7.327770e+02 1.07160257e-01
7.373840e+02 8.53133807e-02
7.384750e+02 8.07938051e-02
7.419910e+02 7.03844935e-02
7.462590e+02 5.97104075e-02
7.512060e+02 5.04828450e-02
7.540440e+02 4.60443072e-02
7.604210e+02 3.91787523e-02
7.696130e+02 3.09523076e-02
