Ba-138(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
31229.0 14.6425
31233.3 14.2602
31237.5 13.9878
31246.1 13.5891
31254.7 13.2783
31263.3 13.0101
31280.5 12.5408
31314.8 11.7498
31349.1 11.0843
31417.8 10.0093
31486.4 9.17639
31623.8 7.97290
31761.1 7.14924
32035.7 6.10121
32310.3 5.46575
32585.0 5.04039
32859.6 4.73583
33408.8 4.32809
33958.1 4.06626
34507.4 3.88241
35605.9 3.63709
36704.4 3.47594
37253.7 3.41320
37802.9 3.35925
38352.2 3.31433
38626.8 3.29672
38901.5 3.28501
39176.1 3.28550
39313.4 3.29542
39450.7 3.31880
39588.1 3.36948
39656.7 3.41483
39725.4 3.48515
39794.0 3.59972
39862.7 3.80068
39931.3 4.19506
39965.7 4.54963
40000.0 5.12428
40000.0 5.12352
40000.1 5.12525
40000.2 5.12698
40000.3 5.13023
40000.6 5.13699
40001.3 5.15060
40002.5 5.17803
40004.9 5.23459
40009.9 5.35506
40019.7 5.62980
40039.4 6.35793
40059.1 7.45649
40078.8 9.22000
40098.5 12.2951
40118.2 18.3017
40128.1 23.6297
40137.9 32.0078
40147.8 45.7715
40157.6 68.6965
40168.8 108.183
40180.0 134.555
40191.2 108.292
40202.4 68.8932
40211.5 47.3934
40220.5 33.9462
40229.6 25.4646
40238.7 19.9217
40256.8 13.4979
40275.0 10.1201
40293.1 8.14550
40311.2 6.89848
40347.5 5.47645
40383.8 4.72815
40420.1 4.28677
40456.3 4.00439
40492.6 3.81252
40565.1 3.57491
40637.7 3.43772
40710.2 3.35029
40782.8 3.29031
40927.9 3.21350
41073.0 3.16561
41218.1 3.13174
41363.2 3.10547
41653.4 3.06460
41943.5 3.03127
42523.9 2.97269
43104.3 2.91636
43684.7 2.85783
44845.4 2.72326
46006.2 2.54347
46586.6 2.42298
47167.0 2.26809
47747.3 2.05837
48327.7 1.75451
48617.9 1.54430
48908.1 1.27354
49053.2 1.10794
49198.3 0.917983
49270.8 0.813730
49343.4 0.705894
49379.7 0.654461
49415.9 0.616416
49434.1 0.617536
49452.2 0.676751
49461.3 0.784162
49465.8 0.896522
49470.3 1.10129
49474.9 1.52537
49477.1 1.92598
49479.4 2.60432
49481.7 3.89631
49482.8 5.01644
49483.9 6.77120
49485.1 9.75866
49486.2 15.2501
49486.8 19.9027
49487.3 26.6967
49487.9 37.2624
49488.5 53.1445
49489.2 84.9003
49490.0 106.184
49490.8 85.1689
49491.5 53.4810
49492.0 38.9896
49492.5 29.0149
49493.5 17.4738
49494.5 11.4992
49495.5 8.16366
49496.5 6.10182
49497.5 4.77055
49499.5 3.20017
49501.5 2.34384
49503.5 1.83103
49507.4 1.26813
49511.4 0.980781
49515.4 0.813559
49523.3 0.632061
49531.3 0.536537
49539.2 0.476796
49555.1 0.401662
49586.9 0.310517
49618.7 0.242628
49682.2 0.130397
49745.8 0.0453786
49777.6 0.0182040
49809.3 0.00657471
49841.1 0.0165879
49872.9 0.0567886
49904.7 0.139290
49936.4 0.281314
49968.2 0.507699
50000.0 0.854573
50000.0 0.859006
50000.0 0.859140
50000.0 0.859539
50000.1 0.859939
50000.1 0.860606
50000.2 0.861941
50000.4 0.864616
50000.8 0.869987
50001.6 0.880812
50003.2 0.902796
50006.4 0.948131
50012.8 1.04452
50025.6 1.26250
50051.2 1.81851
50076.9 2.58318
50102.5 3.63466
50128.1 5.08204
50153.7 7.07581
50179.3 9.81706
50204.9 13.5559
50238.7 20.4470
50272.5 29.7371
50340.0 48.7719
50373.8 51.9078
50407.6 49.5453
50475.1 38.3515
50518.4 31.7112
50561.7 26.5282
50648.4 19.6256
50735.0 15.5353
50821.6 12.9382
50908.2 11.1795
50994.8 9.92471
51168.1 8.27239
51341.3 7.24407
51514.6 6.54718
51861.1 5.66705
52207.5 5.13513
52554.0 4.77878
52727.3 4.64178
52813.9 4.58142
52900.5 4.52648
52987.1 4.47829
53073.8 4.44366
53117.1 4.44132
53138.7 4.45108
53160.4 4.47841
53182.0 4.54882
53192.9 4.62301
53203.7 4.75920
53209.1 4.87303
53214.5 5.04346
53219.9 5.31504
53225.3 5.78235
53230.8 6.68959
53233.5 7.49894
53236.2 8.79562
53238.9 11.0721
53241.6 15.5246
53242.9 19.5284
53244.3 25.8209
53245.6 36.2335
53247.0 53.7537
53248.5 83.5061
53250.0 103.164
53251.5 83.3176
53253.0 53.7842
53254.0 40.6722
53254.9 31.5167
53256.8 20.7018
53258.6 15.0604
53260.5 11.8409
53262.4 9.85628
53264.2 8.55520
53268.0 7.01752
53271.7 6.18000
53275.5 5.67750
53283.0 5.12884
53290.4 4.85082
53297.9 4.69046
53312.9 4.52006
53327.9 4.43408
53342.8 4.38309
53372.7 4.32445
53402.7 4.28967
53432.6 4.26468
53492.5 4.22704
53612.2 4.16960
53731.9 4.12115
53851.6 4.07753
53971.4 4.03760
54210.8 3.96766
54450.3 3.91341
54570.0 3.89618
54689.7 3.89282
54809.4 3.92173
54869.3 3.96480
54929.2 4.05291
54989.0 4.24674
55019.0 4.43428
55048.9 4.75641
55078.8 5.36938
55093.8 5.90245
55108.7 6.73443
55123.7 8.12674
55138.7 10.6697
55146.2 12.7761
55153.6 15.8625
55161.1 20.4969
55168.6 27.4547
55179.3 41.8497
55190.0 51.5501
55200.7 42.0980
55211.4 27.7769
55219.4 20.4192
55227.4 15.6415
55235.4 12.5252
55243.4 10.4342
55259.4 7.94234
55275.3 6.59587
55291.3 5.79347
55307.3 5.27944
55339.3 4.68277
55371.3 4.36198
