28-Ni_n-tot
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
1.284970e+03 1.56775375e+01
1.286720e+03 1.56773761e+01
1.287230e+03 1.56773386e+01
1.288360e+03 1.56821403e+01
1.288930e+03 1.56959142e+01
1.289210e+03 1.57204272e+01
1.289350e+03 1.57485479e+01
1.289490e+03 1.58020570e+01
1.289620e+03 1.58793665e+01
1.289750e+03 1.59307887e+01
1.289870e+03 1.58791577e+01
1.290000e+03 1.58016152e+01
1.290170e+03 1.57395237e+01
1.290350e+03 1.57111649e+01
1.290690e+03 1.56889477e+01
1.291390e+03 1.56770164e+01
1.292770e+03 1.56715087e+01
1.295550e+03 1.56676704e+01
1.297750e+03 1.56655282e+01
1.300000e+03 1.56634260e+01
1.301090e+03 1.56624076e+01
1.308780e+03 1.56556657e+01
1.312190e+03 1.56528798e+01
1.314290e+03 1.56511802e+01
1.319810e+03 1.56471360e+01
1.325320e+03 1.56438825e+01
1.330840e+03 1.56422292e+01
1.333590e+03 1.56426087e+01
1.334380e+03 1.56431487e+01
1.336350e+03 1.56444973e+01
1.339110e+03 1.56491182e+01
1.341860e+03 1.56592022e+01
1.344620e+03 1.56819028e+01
1.346000e+03 1.57039173e+01
1.347380e+03 1.57414470e+01
1.348760e+03 1.58118514e+01
1.349450e+03 1.58719627e+01
1.350130e+03 1.59641442e+01
1.350820e+03 1.61143464e+01
1.351510e+03 1.63786377e+01
1.352200e+03 1.68875926e+01
1.352550e+03 1.73181007e+01
1.352890e+03 1.79338405e+01
1.353450e+03 1.93442033e+01
1.354000e+03 2.02902828e+01
1.354560e+03 1.93434578e+01
1.355110e+03 1.79340252e+01
1.355740e+03 1.69503727e+01
1.356370e+03 1.64417154e+01
1.357000e+03 1.61652637e+01
1.357630e+03 1.60029114e+01
1.358260e+03 1.59007140e+01
1.358890e+03 1.58326006e+01
1.360150e+03 1.57505934e+01
1.361410e+03 1.57048771e+01
1.362670e+03 1.56766959e+01
1.365190e+03 1.56446621e+01
1.367710e+03 1.56272362e+01
1.370230e+03 1.56161902e+01
1.372740e+03 1.56083734e+01
1.375260e+03 1.56023457e+01
1.378750e+03 1.55959747e+01
1.380300e+03 1.55931458e+01
1.385340e+03 1.55858800e+01
1.390380e+03 1.55795585e+01
1.395420e+03 1.55737528e+01
1.400000e+03 1.55688416e+01
1.405490e+03 1.55629546e+01
1.415570e+03 1.55526823e+01
1.425590e+03 1.55427280e+01
1.425650e+03 1.55426708e+01
1.435720e+03 1.55332108e+01
1.455880e+03 1.55144909e+01
1.467500e+03 1.55037848e+01
1.476030e+03 1.54959306e+01
1.500000e+03 1.54739689e+01
1.516330e+03 1.54661249e+01
1.556640e+03 1.54468694e+01
1.596940e+03 1.54276687e+01
1.600000e+03 1.54262139e+01
1.645000e+03 1.54048197e+01
1.677560e+03 1.53893838e+01
1.700000e+03 1.53787721e+01
1.710710e+03 1.53737074e+01
1.800000e+03 1.53366003e+01
1.838780e+03 1.53204841e+01
1.900000e+03 1.52951105e+01
2.000000e+03 1.52536640e+01
