Ni-64(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
353554 5.01476
353608 4.80266
353661 4.65453
353768 4.46414
353875 4.34879
353982 4.27171
354196 4.17406
354410 4.11261
354623 4.06825
355051 4.00343
355906 3.91007
356761 3.83333
357617 3.76667
358044 3.74064
358472 3.72726
358899 3.74542
359327 3.85533
359541 4.00231
359755 4.30219
359968 4.95039
360182 6.42050
360361 8.74582
360540 10.8747
360719 10.1209
360898 8.12754
361050 6.84569
361202 6.00111
361354 5.44508
361506 5.06647
361811 4.60177
362115 4.33762
362723 4.06643
363332 3.96159
363940 3.98818
364244 4.07488
364548 4.25078
364853 4.58956
365157 5.25872
365461 6.67082
365613 7.93563
365765 9.82568
366003 14.2400
366240 17.6618
366478 15.3480
366716 11.1673
366868 9.19178
367019 7.78075
367322 6.05309
367625 5.10320
367928 4.52173
368231 4.12871
368534 3.84643
368685 3.74643
368837 3.71234
368912 3.76401
368988 3.94547
369026 4.14239
369064 4.47884
369102 5.06393
369140 6.07428
369190 8.36806
369240 10.5993
369290 10.0313
369341 8.12602
369388 6.73582
369436 5.84518
369484 5.27142
369531 4.88470
369627 4.40844
369722 4.12959
369913 3.81160
370103 3.62635
370485 3.40195
370866 3.27070
371248 3.22605
371629 3.36931
371820 3.62000
372011 4.16223
372201 5.35193
372392 8.01837
372566 12.7053
372740 17.3791
372914 16.3826
373088 12.5745
373214 10.3341
373339 8.72222
373465 7.57694
373590 6.74961
373841 5.66503
374092 5.00090
374343 4.55500
374594 4.23320
375097 3.78847
375599 3.47841
376101 3.23469
376352 3.13469
376477 3.09612
376603 3.07524
376729 3.09484
376854 3.22139
376917 3.38207
376980 3.68646
377042 4.27751
377105 5.43293
377173 7.66488
377240 9.82600
377308 9.25896
377376 7.39170
377426 6.28876
377477 5.50857
377527 4.96100
377577 4.56821
377677 4.05656
377778 3.74372
377878 3.53309
377979 3.38016
378179 3.16726
378581 2.90275
378983 2.71882
379786 2.42484
380589 2.15797
381392 1.89687
382196 1.67243
382597 1.63202
382999 1.77557
383200 2.02480
383400 2.54586
383601 3.61854
383802 5.80909
384021 10.2923
384240 14.9532
384459 14.2127
384678 10.6033
384838 8.39536
384998 6.78619
385319 4.77811
385639 3.63355
385959 2.90216
386600 2.00971
387240 1.49894
387990 1.24383
388365 1.27290
388740 1.43101
389490 2.18939
390240 3.44742
391740 5.75880
392490 6.25538
392865 6.38911
393053 6.46442
393240 6.60544
393336 6.75646
393432 7.05414
393480 7.31985
393528 7.73623
393577 8.41682
393625 9.53670
393682 11.5984
393740 13.0650
393798 11.8125
393856 9.79519
393894 8.82441
393933 8.15672
394011 7.37240
394088 6.96257
394166 6.72234
394321 6.45752
394475 6.31056
394785 6.13521
395095 6.02655
395405 5.97615
395715 6.04195
396025 6.42861
396180 6.92257
396335 7.83632
396538 9.98722
396740 12.2256
396943 11.8411
397146 10.0604
397312 8.86461
397477 8.02210
397643 7.43189
397808 7.00537
398139 6.43394
398470 6.06328
399132 5.58439
399793 5.25798
401117 4.77452
402441 4.37742
403764 4.00704
405088 3.64614
405750 3.48806
406411 3.42156
406742 3.50386
407073 3.81169
407404 4.71063
407570 5.66409
407735 7.25622
407988 11.4708
408240 15.9639
408493 15.4421
408746 12.1389
408937 10.0303
409129 8.50405
409320 7.41496
409511 6.62102
409893 5.56040
410276 4.88558
411041 4.04500
411806 3.49232
412570 3.05614
413335 2.68572
413718 2.53818
414100 2.46930
414291 2.51201
414483 2.67899
414674 3.11477
414865 4.14074
415053 6.14148
415240 8.23087
415428 7.86182
415616 6.17588
415768 5.04948
415919 4.24707
416222 3.26121
416525 2.69272
416828 2.31590
417434 1.82692
418040 1.52471
419040 1.33971
419540 1.42372
420040 1.66101
421040 2.67828
422040 4.32653
424040 7.40761
426040 8.33726
427944 8.15402
429848 7.73029
431752 7.30626
433656 6.93342
437464 6.33826
441273 5.88334
445081 5.50841
448889 5.16984
450793 5.00085
452697 4.82184
453649 4.72505
454601 4.62409
455077 4.57846
455315 4.56262
455553 4.55976
455791 4.58823
456029 4.70178
456148 4.83758
456267 5.09352
456386 5.59583
456505 6.60564
456623 8.38216
456740 9.99474
456858 9.39255
456976 7.84479
457085 6.78612
457193 6.11167
457302 5.67773
457410 5.38540
457627 5.02358
457845 4.80796
458279 4.54863
458713 4.37840
459147 4.24921
459364 4.20378
459582 4.18708
459799 4.23726
460016 4.46143
460124 4.72493
460233 5.19754
460342 6.05347
460450 7.59603
460595 11.3218
460740 15.4041
460886 15.1424
461031 12.3474
461128 10.7182
461225 9.48713
461420 7.89906
461614 6.98267
461808 6.40804
462002 6.01931
462197 5.74032
462585 5.36534
462974 5.12166
463362 4.94697
464139 4.70583
464916 4.54823
465693 4.47416
466082 4.50173
466470 4.64153
466664 4.80079
466859 5.07695
467053 5.55856
467247 6.39103
467494 8.13151
467740 9.63290
467987 8.89676
468233 7.28241
468404 6.41752
468576 5.79822
468919 5.02898
469261 4.58273
469604 4.28413
469947 4.06280
470290 3.90983
470461 3.88576
470632 3.95868
470804 4.29266
470889 4.68897
470975 5.38467
471108 7.37117
471240 9.72006
471373 9.79103
471506 8.35777
471634 7.15211
471761 6.33082
471889 5.77691
472017 5.38939
472272 4.88829
472527 4.57555
473038 4.18721
473548 3.93099
474569 3.54960
475591 3.21444
476612 2.86943
477633 2.49589
478143 2.30991
478654 2.16890
479165 2.23747
479420 2.52792
479675 3.25981
479958 4.97907
480240 6.97740
480523 6.85551
480806 5.39184
481040 4.31637
481273 3.51961
481740 2.50466
482365 1.83052
482990 1.73395
483615 2.27780
484240 3.42288
