Gd-152(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
172.778 21.3976
172.885 28.2734
172.992 38.3821
173.099 53.9040
173.206 79.2228
173.314 124.039
173.367 160.372
173.421 213.439
173.474 294.840
173.528 427.601
173.581 664.357
173.608 857.108
173.635 1137.89
173.662 1568.44
173.689 2260.37
173.715 3429.09
173.742 5436.87
173.771 8830.83
173.800 11251.2
173.829 9173.72
173.858 5818.95
173.881 3985.01
173.904 2816.85
173.927 2069.30
173.950 1575.00
173.996 994.504
174.042 684.401
174.088 500.904
174.134 383.687
174.226 248.049
174.318 175.365
174.410 131.770
174.502 103.469
174.594 84.0056
174.778 59.5029
174.962 45.1304
175.146 35.8974
175.330 29.5668
175.698 21.5786
176.066 16.8339
176.802 11.5401
177.537 8.66581
178.273 6.83451
179.745 4.53641
181.217 3.08574
181.953 2.61801
182.689 2.49684
183.057 2.72114
183.241 2.96827
183.333 3.14049
183.424 3.35320
183.516 3.61491
183.608 3.93546
183.700 4.32744
183.792 4.80680
183.884 5.39392
183.976 6.11517
184.068 7.00501
184.160 8.10783
184.252 9.48748
184.344 11.2270
184.436 13.4437
184.528 16.3048
184.620 20.0542
184.712 25.0589
184.804 31.8886
184.896 41.4531
184.988 55.3361
185.080 76.3464
185.172 109.956
185.264 167.804
185.310 213.501
185.356 278.637
185.402 375.419
185.448 526.931
185.494 780.479
185.540 1242.65
185.563 1622.98
185.586 2177.40
185.609 3002.78
185.632 4223.31
185.666 6848.78
185.700 8709.63
185.735 7090.03
185.769 4491.14
185.796 3096.70
185.823 2203.21
185.850 1627.85
185.877 1246.48
185.930 793.786
185.984 550.616
186.038 405.614
186.092 312.723
186.199 204.511
186.307 146.135
186.414 110.918
186.522 87.9369
186.629 72.0537
186.844 51.9324
187.059 40.0342
187.274 32.3256
187.489 27.0002
187.919 20.2140
188.349 16.1279
188.778 13.4179
189.208 11.4917
190.068 8.92390
190.928 7.26501
192.648 5.16127
194.367 3.78317
196.087 2.74432
197.807 1.97407
198.666 1.77212
199.096 1.77209
199.526 1.89462
199.645 1.95990
199.763 2.04302
199.882 2.14722
200.000 2.27608
200.095 2.40033
200.189 2.54447
200.283 2.71412
200.378 2.91214
200.472 3.14362
200.567 3.41366
200.756 4.09872
200.944 5.04242
201.133 6.35849
201.322 8.22793
201.511 10.9491
201.700 15.0487
201.889 21.5035
202.078 32.3006
202.267 51.9487
202.361 68.2616
202.455 92.5511
202.550 130.808
202.644 195.418
202.739 316.276
202.786 419.396
202.833 577.484
202.880 834.827
202.928 1286.20
202.975 2149.28
202.998 2872.42
203.022 3903.68
203.061 6338.92
203.100 8075.25
203.139 6583.32
203.178 4174.76
203.213 2721.66
203.248 1851.66
203.283 1322.98
203.318 986.833
203.389 606.977
203.459 411.264
203.529 298.047
203.599 226.810
203.740 145.542
203.880 102.475
204.020 76.8201
204.161 60.2297
204.301 48.8393
204.582 34.5134
204.863 26.0950
205.143 20.6588
205.424 16.9053
205.986 12.1146
206.547 9.28253
206.828 8.42928
206.968 8.23520
207.109 8.37902
207.249 9.35250
207.319 10.6054
207.389 13.0925
207.459 18.5305
207.495 23.7870
207.530 32.7914
207.547 39.8564
207.556 44.3953
207.565 49.7663
207.574 56.3327
207.582 64.3642
207.591 74.3076
207.600 86.6269
207.609 102.479
207.617 123.015
207.626 150.115
207.635 186.123
207.644 236.104
207.652 305.213
207.661 404.259
207.670 542.191
207.678 700.886
207.685 882.239
207.700 1122.00
207.708 1066.33
207.715 916.784
207.730 586.206
207.745 369.903
207.760 247.669
207.775 175.758
207.790 131.562
207.806 102.447
207.821 82.5961
207.851 57.8980
207.881 43.6668
207.911 34.7575
207.971 24.5305
208.031 19.0500
208.091 15.7266
208.211 11.9813
208.331 9.95117
208.452 8.67725
208.692 7.13340
209.173 5.52357
209.654 4.58513
210.616 3.38533
211.577 2.58308
212.539 2.00105
213.501 1.59037
214.462 1.35491
214.943 1.31622
215.184 1.32099
215.424 1.34423
215.665 1.38880
215.905 1.45567
216.146 1.54985
216.386 1.67463
216.626 1.83481
216.867 2.03600
217.107 2.28518
217.348 2.59084
217.829 3.41610
218.309 4.62983
218.790 6.42026
219.271 9.09961
219.752 13.2169
220.233 19.7971
220.714 30.9305
221.195 51.3939
221.435 68.4841
221.676 94.0769
221.916 134.583
222.156 203.610
222.397 334.175
222.517 447.011
222.637 622.188
222.757 912.447
222.878 1435.01
222.938 1860.40
222.998 2474.90
223.058 3380.53
223.118 4713.66
223.209 7638.23
223.300 9739.02
223.392 7946.97
223.483 5027.04
223.545 3632.55
223.606 2682.20
223.667 2034.92
223.729 1586.65
223.852 1033.11
223.975 723.262
224.097 534.080
224.220 410.820
224.466 265.393
224.712 186.122
224.957 138.125
225.449 85.0700
225.940 57.6422
226.432 41.4341
226.923 30.9234
227.415 23.6262
228.397 14.2502
228.889 11.1479
229.380 8.89113
229.872 7.83646
230.118 8.24588
230.240 8.93281
230.302 9.46521
230.363 10.1671
230.394 10.5969
230.425 11.0865
230.455 11.6455
230.486 12.2840
230.517 13.0137
230.548 13.8487
230.578 14.8058
230.609 15.9053
230.670 18.6398
230.732 22.3138
230.793 27.3478
230.855 34.4096
230.916 44.6398
230.978 60.0000
231.039 84.3050
231.100 125.500
231.131 157.597
231.162 202.509
231.193 267.895
231.223 367.508
231.254 528.032
231.285 805.086
231.315 1321.52
231.331 1745.19
231.346 2333.44
231.373 3804.92
231.400 4857.33
231.427 3968.66
231.454 2528.01
231.479 1639.88
231.504 1114.70
231.529 797.193
231.553 595.923
231.603 368.874
231.653 251.869
231.702 183.939
231.752 141.169
231.851 92.0819
231.950 65.8345
232.050 50.0595
232.248 32.5841
232.446 23.4347
232.645 17.9468
233.042 11.8665
233.439 8.80789
233.637 7.90922
233.836 7.32961
234.034 7.04090
234.133 7.00434
234.233 7.04167
234.332 7.15632
234.431 7.35276
234.530 7.63730
234.630 8.01781
234.729 8.50463
234.828 9.10872
234.927 9.84582
235.027 10.7320
235.225 13.0437
235.423 16.2705
235.622 20.7535
235.820 27.0030
236.019 35.8149
236.217 48.4654
236.416 67.1286
236.614 95.6453
236.813 141.337
237.011 219.356
237.210 365.144
237.309 488.379
237.408 674.435
237.507 970.001
237.607 1466.90
237.706 2356.41
237.805 4003.23
237.903 6624.75
238.000 8530.59
238.098 7022.24
238.195 4526.80
238.297 2824.50
238.398 1871.36
238.500 1320.20
238.601 981.096
238.703 759.789
238.804 607.951
239.007 419.037
239.210 310.132
239.413 241.428
239.819 162.134
240.225 119.218
240.631 93.0045
241.037 75.5848
241.443 63.2823
242.256 47.1692
243.068 37.1076
243.880 30.1790
244.692 25.0386
246.316 17.6025
247.940 11.9215
248.752 9.35155
249.564 7.01691
249.971 6.14600
250.377 5.89888
250.580 6.29194
250.681 6.71858
250.732 7.01103
250.783 7.36643
250.833 7.79638
250.884 8.31129
250.935 8.92766
250.986 9.66041
251.036 10.5334
251.087 11.5686
251.138 12.8011
251.189 14.2644
251.259 16.7610
251.329 19.9588
251.399 24.0849
251.469 29.4596
251.539 36.5452
251.609 46.0261
251.679 58.9452
251.749 76.9180
251.819 102.697
251.890 140.928
251.960 200.170
252.030 297.327
252.100 469.065
252.135 607.077
252.170 804.780
252.205 1099.68
252.240 1553.54
252.275 2277.08
252.310 3439.10
252.355 5711.12
252.400 7373.19
252.445 6089.30
252.490 3944.24
252.519 2928.42
252.549 2220.25
252.607 1377.86
252.666 935.839
252.725 680.778
252.783 521.099
252.842 414.959
252.959 286.460
253.076 214.073
253.194 169.000
253.428 117.382
253.663 89.5381
253.897 72.4951
254.132 61.1305
254.366 53.0720
254.835 42.4595
255.304 35.8109
256.242 27.9110
257.180 23.3087
258.118 20.2296
259.993 16.2231
261.869 13.5871
263.745 11.6103
267.497 8.58798
271.248 6.06918
273.124 4.85142
275.000 3.62141
276.876 2.42241
277.814 1.92924
278.283 1.76740
278.751 1.72164
278.986 1.76897
279.220 1.88619
279.338 1.97898
279.455 2.10002
279.572 2.25466
279.689 2.44939
279.807 2.69245
279.924 2.99334
280.041 3.36501
280.158 3.82255
280.393 5.08259
280.627 7.01575
280.862 10.0521
281.096 14.9972
281.331 23.5009
281.448 30.1083
281.565 39.3375
281.682 52.6687
281.800 72.6992
281.917 104.500
282.034 158.623
282.151 260.550
282.210 347.930
282.269 482.298
282.327 701.665
282.386 1087.48
282.444 1827.16
282.474 2448.11
282.503 3335.17
282.552 5443.32
282.600 6974.27
282.649 5717.93
282.697 3642.98
282.738 2443.56
282.779 1700.23
282.820 1235.54
282.861 933.642
282.943 585.022
283.025 401.695
283.107 293.928
283.189 225.389
283.353 146.295
283.517 103.848
283.681 78.3113
284.009 50.0898
284.336 35.3939
284.664 26.6098
285.320 16.7867
285.976 11.4693
286.632 8.13683
287.287 5.88504
287.943 4.38079
288.271 3.88779
288.599 3.58890
288.763 3.52400
288.927 3.52493
289.091 3.60126
289.255 3.76522
289.337 3.88485
289.419 4.03253
289.501 4.21087
289.582 4.42252
289.664 4.67128
289.746 4.96065
289.910 5.67820
290.074 6.61711
290.238 7.82942
290.402 9.38525
290.566 11.3768
290.894 17.2083
291.222 26.9811
291.550 44.0421
291.714 57.3391
291.878 75.8566
292.042 102.382
292.205 141.659
292.369 202.494
292.533 302.075
292.697 477.932
292.779 618.842
292.861 820.769
292.943 1120.99
293.025 1582.91
293.107 2318.91
293.189 3496.77
293.295 5797.68
293.400 7478.48
293.506 6170.91
293.612 3989.01
293.686 2900.72
293.760 2160.49
293.834 1656.86
293.907 1307.59
294.055 874.487
294.203 629.675
294.351 478.677
294.498 379.028
294.794 259.453
295.089 192.610
295.384 151.130
295.975 103.753
296.566 78.1932
297.156 62.5049
297.747 51.9814
298.338 44.4427
299.519 34.2525
300.701 27.3055
301.291 24.3097
301.587 22.8175
301.882 21.2912
302.178 19.7703
302.325 19.1229
302.473 18.8205
302.621 19.6971
302.694 21.4178
302.768 25.4056
302.842 35.1239
302.879 45.0488
302.898 52.5219
302.907 57.1541
302.916 62.5631
302.925 68.9912
302.934 76.5148
302.944 85.4714
302.953 96.2166
302.962 109.374
302.971 125.289
302.981 144.933
302.990 169.458
302.999 200.846
303.008 240.706
303.017 292.578
303.027 361.142
303.036 454.353
303.045 580.043
303.054 752.385
303.064 987.046
303.082 1653.21
303.100 2158.62
303.109 2077.49
303.118 1809.15
303.137 1192.99
303.149 886.463
303.161 673.927
303.174 527.323
303.186 424.931
303.211 295.059
303.236 220.749
303.260 174.132
303.285 143.166
303.334 105.489
303.384 84.0570
303.433 70.5758
303.532 54.9330
303.631 46.2989
303.730 40.8978
303.928 34.5284
304.126 30.8661
304.324 28.4463
304.720 25.3378
305.115 23.3133
305.511 21.8064
306.303 19.5413
307.094 17.7394
307.886 16.0788
308.281 15.2307
308.479 14.8050
308.677 14.4184
308.875 14.2287
308.974 14.3855
309.073 15.0361
309.172 17.0451
309.221 19.3486
309.271 23.7409
309.320 33.0182
309.345 41.6727
309.370 55.9445
309.382 66.7351
309.394 81.4315
309.401 90.8131
309.407 101.985
309.413 115.396
309.419 131.341
309.425 151.103
309.431 175.465
309.438 205.782
309.444 243.177
309.450 291.218
309.456 352.401
309.462 430.381
309.468 527.144
309.476 685.105
309.484 870.650
309.500 1129.28
309.508 1083.87
309.516 941.241
309.532 617.313
309.545 429.698
309.558 310.580
309.571 234.489
309.584 184.129
309.610 124.680
309.636 92.6473
309.663 73.3303
309.689 60.8393
309.741 46.0065
309.793 37.7721
309.846 32.6757
309.950 26.8195
310.055 23.6072
310.160 21.5954
310.369 19.1986
310.578 17.7857
310.787 16.8202
311.206 15.5042
312.043 13.8027
312.880 12.4990
313.717 11.2885
314.554 10.0365
315.391 8.64394
315.809 7.87805
316.228 7.09598
316.479 6.66907
316.731 6.37270
316.982 6.42874
317.234 7.44224
317.360 8.79253
317.391 9.28773
317.423 9.86585
317.454 10.5455
317.486 11.3404
317.517 12.2778
317.548 13.3787
317.580 14.6837
317.611 16.2263
317.643 18.0691
317.674 20.2671
317.706 22.9111
317.737 26.1119
317.800 34.8320
317.863 48.3079
317.926 70.1633
317.957 86.3028
317.989 107.915
318.020 137.665
318.051 179.534
318.083 240.927
318.114 334.217
318.146 484.424
318.177 739.911
318.209 1205.20
318.240 2085.42
318.270 3466.83
318.300 4490.51
318.330 3722.04
318.360 2416.02
318.390 1547.83
318.420 1046.92
318.450 750.807
318.480 566.185
318.509 443.775
318.539 359.039
318.599 252.744
318.659 190.764
318.719 151.426
318.838 105.659
318.958 80.7330
319.077 65.4512
319.197 55.2870
319.316 48.1131
319.555 38.7636
319.794 33.0029
320.033 29.1243
320.272 26.3424
320.750 22.6173
321.228 20.2241
322.184 17.2743
323.140 15.4595
324.096 14.1718
326.008 12.3234
327.920 10.8667
328.876 10.1618
329.832 9.40860
330.788 8.53544
331.266 8.02284
331.744 7.44935
331.983 7.15069
332.222 6.87293
332.461 6.68885
332.700 6.81352
332.820 7.17266
332.939 7.97646
333.059 9.68286
333.118 11.1731
333.178 13.4004
333.208 14.9247
333.238 16.8288
333.253 17.9625
333.268 19.2305
333.283 20.6620
333.298 22.2831
333.313 24.1384
333.327 26.2415
333.357 31.4407
333.387 38.3988
333.417 47.8841
333.447 61.2584
333.477 80.6962
333.507 110.136
333.537 156.911
333.566 236.913
333.581 299.281
333.596 385.730
333.611 510.611
333.626 693.647
333.641 969.482
333.656 1385.31
333.678 2294.50
333.700 2968.01
333.722 2458.15
333.744 1592.46
333.766 1012.52
333.788 682.049
333.810 487.731
333.833 366.755
333.855 287.127
333.877 232.149
333.921 163.308
333.965 123.393
334.009 98.0984
334.098 68.8117
334.186 52.9213
334.275 43.2307
334.363 36.8075
334.451 32.2883
334.628 26.4204
334.805 22.8266
