Ca-44(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3.86285E+06 3.60680
3.86286E+06 3.60680
3.87709E+06 3.60440
3.90000E+06 3.60050
3.95369E+06 3.59120
3.95369E+06 3.59120
4.00000E+06 3.58300
4.00336E+06 3.58240
4.01261E+06 3.58070
4.01262E+06 3.58070
4.10345E+06 3.56430
4.10345E+06 3.56430
4.18590E+06 3.54900
4.18590E+06 3.54900
4.20000E+06 3.54640
4.20372E+06 3.54570
4.26467E+06 3.53410
4.40000E+06 3.50810
4.49116E+06 3.49030
4.60000E+06 3.46880
4.73053E+06 3.44280
4.80000E+06 3.42890
4.84920E+06 3.41910
4.98842E+06 3.39100
5.00000E+06 3.38870
5.17521E+06 3.35340
5.19291E+06 3.34980
5.20000E+06 3.34840
5.27198E+06 3.33390
5.38011E+06 3.31210
5.40000E+06 3.30810
5.44660E+06 3.29880
5.52036E+06 3.28400
5.60000E+06 3.26810
5.80000E+06 3.22840
5.81865E+06 3.22470
5.97945E+06 3.19300
6.00000E+06 3.18900
6.02508E+06 3.18410
6.06385E+06 3.17650
6.08983E+06 3.17150
6.20000E+06 3.15010
6.25770E+06 3.13890
6.38751E+06 3.11400
6.40000E+06 3.11160
6.60000E+06 3.07370
6.80000E+06 3.03640
7.00000E+06 2.99960
7.20000E+06 2.96350
7.40000E+06 2.92790
7.60000E+06 2.89300
7.80000E+06 2.85880
8.00000E+06 2.82510
8.50000E+06 2.74400
9.00000E+06 2.66720
9.05729E+06 2.65870
9.50000E+06 2.59510
1.00000E+07 2.52820
1.01685E+07 2.50680
1.01686E+07 2.50679
1.05000E+07 2.46680
1.07426E+07 2.43910
1.09236E+07 2.41930
1.10000E+07 2.41120
1.11659E+07 2.39410
1.13043E+07 2.38040
1.13874E+07 2.37240
1.13875E+07 2.37239
1.14031E+07 2.37090
1.15000E+07 2.36180
1.16119E+07 2.35150
1.20000E+07 2.31830
1.24442E+07 2.28460
1.25000E+07 2.28060
1.30000E+07 2.24830
1.35000E+07 2.22080
1.36320E+07 2.21430
1.36320E+07 2.21430
1.37413E+07 2.20910
1.38962E+07 2.20200
1.40000E+07 2.19750
1.42260E+07 2.18820
1.42854E+07 2.18590
1.43296E+07 2.18420
1.43472E+07 2.18350
1.45000E+07 2.17780
1.50000E+07 2.16120
1.54620E+07 2.14800
1.55000E+07 2.14700
1.59108E+07 2.13710
1.60000E+07 2.13510
1.60142E+07 2.13480
1.63653E+07 2.12760
1.65000E+07 2.12500
1.66964E+07 2.12150
1.67698E+07 2.12030
1.67962E+07 2.11980
1.70000E+07 2.11660
1.73098E+07 2.11210
1.75000E+07 2.10970
1.80000E+07 2.10420
1.85000E+07 2.10010
1.90000E+07 2.09740
1.91531E+07 2.09680
1.95000E+07 2.09600
1.95025E+07 2.09600
1.95974E+07 2.09580
1.98456E+07 2.09570
2.00000E+07 2.09580
2.00000E+07 2.09585
2.10000E+07 2.09909
2.20000E+07 2.10664
2.30000E+07 2.11789
2.40000E+07 2.13200
2.50000E+07 2.14810
2.60000E+07 2.16550
2.70000E+07 2.18350
2.80000E+07 2.20150
2.90000E+07 2.21900
3.00000E+07 2.23570
3.10000E+07 2.25150
3.20000E+07 2.26600
3.30000E+07 2.27920
3.40000E+07 2.29101
3.50000E+07 2.30138
3.60000E+07 2.31027
3.70000E+07 2.31766
3.80000E+07 2.32356
3.90000E+07 2.32795
4.00000E+07 2.33081
4.10000E+07 2.33224
4.20000E+07 2.33233
4.30000E+07 2.33097
4.40000E+07 2.32824
4.50000E+07 2.32434
4.60000E+07 2.31907
4.70000E+07 2.31281
4.80000E+07 2.30537
