In-115(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
134.337 0.763601
134.681 0.507558
135.026 0.364371
135.370 0.276290
135.715 0.218309
136.403 0.149251
137.092 0.111480
138.470 0.0746650
139.848 0.0600462
141.226 0.0578671
141.914 0.0631665
142.603 0.0809422
142.948 0.104572
143.120 0.126783
143.292 0.164744
143.464 0.237973
143.551 0.303326
143.637 0.408937
143.723 0.595467
143.809 0.968502
143.852 1.30887
143.895 1.85836
143.938 2.79961
143.981 4.44436
144.026 7.07431
144.070 8.82732
144.115 7.07796
144.159 4.45006
144.204 2.74747
144.249 1.80121
144.294 1.25937
144.339 0.930645
144.429 0.575804
144.520 0.402650
144.610 0.307510
144.700 0.251513
144.880 0.197700
145.060 0.187905
145.241 0.223303
145.331 0.275869
145.421 0.389088
145.466 0.495818
145.511 0.671779
145.556 0.980329
145.601 1.53452
145.646 2.39211
145.690 2.96425
145.735 2.39411
145.779 1.53804
145.808 1.15178
145.836 0.885090
145.893 0.574049
145.950 0.416443
146.007 0.330022
146.121 0.251591
146.235 0.232171
146.349 0.252296
146.463 0.331044
146.520 0.417239
146.577 0.574043
146.634 0.883092
146.663 1.14796
146.691 1.53156
146.736 2.38190
146.780 2.94887
146.825 2.38158
146.869 1.53035
146.922 0.913389
146.975 0.602483
147.027 0.437230
147.080 0.342218
147.186 0.245311
147.291 0.201583
147.502 0.169257
147.713 0.164784
148.135 0.191217
148.558 0.261599
148.769 0.324241
148.980 0.420911
149.191 0.579599
149.402 0.864889
149.507 1.10157
149.613 1.45652
149.718 2.02418
149.824 3.01497
149.929 4.98294
149.982 6.78696
150.035 9.77286
150.088 15.2549
150.114 19.8737
150.140 26.8528
150.167 38.1292
150.193 57.6795
150.220 94.5498
150.233 125.069
150.246 167.737
150.257 215.061
150.268 268.647
150.290 335.525
150.312 268.118
150.334 167.686
150.358 100.110
150.381 63.7801
150.405 43.3275
150.428 31.1264
150.451 23.3131
150.475 18.0876
150.522 11.7571
150.569 8.22921
150.615 6.08014
150.709 3.70477
150.803 2.49494
150.896 1.79732
150.990 1.35915
151.084 1.06622
151.271 0.711351
151.459 0.512931
151.646 0.391015
151.833 0.310892
152.208 0.215751
152.583 0.163953
153.333 0.113632
154.082 0.0928008
154.832 0.0850696
155.581 0.0876257
155.956 0.100856
156.144 0.130069
156.237 0.177497
156.284 0.229685
156.331 0.325139
156.376 0.468410
156.420 0.564170
156.465 0.469663
156.509 0.327567
156.570 0.213979
156.632 0.163023
156.754 0.125280
157.000 0.110527
157.490 0.124410
157.735 0.147084
157.981 0.200561
158.103 0.261148
158.226 0.391543
158.287 0.521937
158.348 0.757145
158.410 1.23025
158.440 1.64863
158.471 2.26892
158.516 3.56386
158.560 4.42748
158.605 3.56713
158.649 2.27474
158.677 1.70313
158.705 1.30547
158.760 0.833334
158.816 0.588469
158.871 0.449752
158.982 0.310320
159.093 0.247395
159.315 0.198008
159.537 0.184279
159.981 0.190581
160.425 0.218313
160.869 0.266372
161.313 0.350839
