B-11(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
5.60594E+06 1.77529
5.60731E+06 1.78011
5.60864E+06 1.78479
5.60993E+06 1.78932
5.61000E+06 1.78957
5.61118E+06 1.79224
5.61230E+06 1.79479
5.61239E+06 1.79499
5.61356E+06 1.79766
5.61469E+06 1.80024
5.61579E+06 1.80274
5.61792E+06 1.80758
5.61992E+06 1.81213
5.62000E+06 1.81230
5.62180E+06 1.81449
5.62356E+06 1.81664
5.62385E+06 1.81699
5.62521E+06 1.81865
5.62675E+06 1.82054
5.62820E+06 1.82231
5.62956E+06 1.82397
5.63000E+06 1.82450
5.63084E+06 1.82455
5.63203E+06 1.82461
5.63316E+06 1.82467
5.63470E+06 1.82475
5.63526E+06 1.82478
5.63710E+06 1.82488
5.63871E+06 1.82496
5.64000E+06 1.82503
5.64012E+06 1.82489
5.64135E+06 1.82339
5.64243E+06 1.82209
5.64432E+06 1.81980
5.64489E+06 1.81912
5.64574E+06 1.81809
5.64787E+06 1.81552
5.65000E+06 1.81295
5.65156E+06 1.80974
5.65306E+06 1.80664
5.65446E+06 1.80376
5.65452E+06 1.80363
5.65594E+06 1.80071
5.65731E+06 1.79789
5.65864E+06 1.79515
5.65993E+06 1.79250
5.66000E+06 1.79235
5.66118E+06 1.78989
5.66239E+06 1.78735
5.66473E+06 1.78245
5.66693E+06 1.77784
5.66899E+06 1.77352
5.67000E+06 1.77140
5.67092E+06 1.76946
5.67245E+06 1.76623
5.67274E+06 1.76564
5.67444E+06 1.76205
5.67603E+06 1.75869
5.67753E+06 1.75554
5.67893E+06 1.75258
5.68000E+06 1.75032
5.68024E+06 1.74978
5.68147E+06 1.74705
5.68379E+06 1.74191
5.68581E+06 1.73742
5.68758E+06 1.73349
5.68824E+06 1.73203
5.68913E+06 1.73005
5.69000E+06 1.72812
5.69049E+06 1.72678
5.69287E+06 1.72025
5.69465E+06 1.71535
5.69599E+06 1.71168
5.69799E+06 1.70616
5.70000E+06 1.70065
5.70156E+06 1.69628
5.70209E+06 1.69478
5.70306E+06 1.69206
5.70452E+06 1.68796
5.70594E+06 1.68400
5.70868E+06 1.67630
5.71000E+06 1.67262
5.71126E+06 1.66974
5.71367E+06 1.66421
5.71424E+06 1.66291
5.71594E+06 1.65903
5.71806E+06 1.65417
5.72000E+06 1.64972
5.72005E+06 1.64966
5.72192E+06 1.64735
5.72367E+06 1.64517
5.72489E+06 1.64366
5.72531E+06 1.64314
5.72685E+06 1.64123
5.72829E+06 1.63944
5.73000E+06 1.63732
5.73100E+06 1.63743
5.73337E+06 1.63767
5.73545E+06 1.63789
5.73727E+06 1.63808
5.73886E+06 1.63824
5.74000E+06 1.63836
5.74025E+06 1.63858
5.74269E+06 1.64071
5.74358E+06 1.64149
5.74451E+06 1.64231
5.74726E+06 1.64471
5.75000E+06 1.64712
5.75311E+06 1.65142
5.75603E+06 1.65547
5.75763E+06 1.65769
