Y-89(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
23016.7 0.0722626
23027.3 0.110390
23032.7 0.141548
23038.0 0.187326
23043.3 0.258166
23048.7 0.373939
23054.0 0.574410
23059.3 0.930427
23064.7 1.48706
23070.0 1.85678
23075.4 1.48579
23080.7 0.929587
23085.8 0.587125
23090.8 0.389386
23095.9 0.272215
23100.9 0.199417
23111.0 0.118895
23121.1 0.0784274
23131.3 0.0554740
23141.4 0.0412735
23161.6 0.0254095
23181.8 0.0172331
23202.0 0.0124866
23222.2 0.00949362
23242.4 0.00748952
23282.9 0.00506122
23323.3 0.00371314
23363.8 0.00289957
23404.2 0.00238515
23485.1 0.00186051
23565.9 0.00182716
23606.4 0.00211455
23626.6 0.00245206
23646.8 0.00309127
23667.0 0.00445792
23677.1 0.00579206
23687.2 0.00814945
23697.3 0.0129184
23702.4 0.0173794
23707.4 0.0249205
23712.5 0.0392217
23715.0 0.0516864
23717.6 0.0711830
23720.1 0.104276
23722.6 0.165674
23723.9 0.217973
23725.1 0.295747
23726.4 0.415592
23727.7 0.600907
23729.3 0.962235
23731.0 1.20121
23732.7 0.959702
23734.4 0.600752
23736.1 0.366545
23737.8 0.237549
23739.5 0.163350
23741.2 0.118533
23742.9 0.0894955
23744.6 0.0699626
23748.0 0.0460625
23751.4 0.0326823
23754.8 0.0244772
23761.6 0.0153928
23768.4 0.0107420
23775.3 0.00806039
23788.9 0.00525034
23802.5 0.00389635
23816.1 0.00315213
23843.4 0.00243375
23897.9 0.00207415
23952.5 0.00226790
24007.0 0.00298118
24034.2 0.00371324
24061.5 0.00501323
24088.8 0.00765227
24102.4 0.0101425
24116.0 0.0144318
24129.7 0.0228064
24136.5 0.0303762
24143.3 0.0427342
24150.1 0.0649562
24153.5 0.0832958
24156.9 0.110476
24160.3 0.153150
24163.7 0.224251
24167.2 0.350792
24170.6 0.583393
24173.8 0.933129
24177.0 1.16515
24180.2 0.931556
24183.5 0.582270
24186.8 0.353794
24190.1 0.228521
24193.4 0.157079
24196.8 0.113978
24200.1 0.0862186
24203.4 0.0675373
24210.1 0.0448100
24216.7 0.0321124
24223.4 0.0243608
24236.6 0.0158466
24249.9 0.0115727
24263.2 0.00918453
24289.8 0.00689529
24316.4 0.00609281
24343.0 0.00601616
24396.2 0.00733694
24449.4 0.0112021
24476.0 0.0150645
24502.5 0.0217609
24529.1 0.0346724
24542.4 0.0460858
24555.7 0.0642399
24569.0 0.0955275
24582.3 0.155418
24589.0 0.207507
24595.6 0.287768
24602.3 0.416127
24608.9 0.622968
24617.0 0.996308
24625.0 1.24441
24633.1 0.992610
24641.2 0.618280
24647.9 0.412296
24654.6 0.285015
24661.2 0.205504
24667.9 0.153915
24681.3 0.0945577
24694.6 0.0635536
24708.0 0.0455290
24721.4 0.0341863
24748.1 0.0213038
24774.8 0.0145565
24801.5 0.0105942
24828.2 0.00807229
24854.9 0.00636918
24908.4 0.00428091
24961.8 0.00309804
25015.3 0.00236330
25068.7 0.00187617
25175.6 0.00129181
25282.4 0.000971086
25496.2 0.000666144
25709.9 0.000575712
25816.8 0.000592803
25923.6 0.000670835
26030.5 0.000868553
26137.4 0.00138774
26190.8 0.00198517
26217.5 0.00248389
26244.2 0.00323120
26271.0 0.00441270
26297.7 0.00640273
26324.4 0.0100006
26337.8 0.0128623
26351.1 0.0167715
26375.6 0.0266733
26400.0 0.0332470
26424.5 0.0266100
26448.9 0.0167110
26464.3 0.0123209
26479.6 0.00926727
26510.3 0.00566033
26541.0 0.00379319
26571.7 0.00273648
26602.4 0.00209184
26633.1 0.00167670
26694.5 0.00121366
26755.9 0.00102956
26817.3 0.00111745
26848.1 0.00140606
26863.4 0.00172496
26878.8 0.00232539
26894.1 0.00361752
26901.8 0.00489370
26909.5 0.00717659
26913.3 0.00906397
26917.1 0.0118873
26921.0 0.0163814
26924.8 0.0241430
26932.5 0.0757002
26934.4 0.116092
26935.4 0.149342
26936.3 0.198656
26937.3 0.275599
26938.2 0.403052
26938.7 0.498901
26939.2 0.627921
26939.7 0.802821
26940.2 1.03217
26941.1 1.65309
26942.0 2.06037
26942.5 1.93581
26942.9 1.64583
26943.9 1.03203
26944.5 0.738410
26945.1 0.542681
26945.7 0.408182
26946.4 0.316820
26947.6 0.203735
26948.8 0.141298
26950.1 0.103142
26951.3 0.0786301
26953.8 0.0498731
26956.3 0.0343861
26958.8 0.0251916
26963.8 0.0152493
26968.8 0.0102722
26973.8 0.00744193
26978.8 0.00567431
26983.7 0.00450097
26993.7 0.00308364
27003.7 0.00229265
27023.6 0.00148425
27043.6 0.00109780
27063.5 0.000881653
27103.4 0.000657850
27183.1 0.000484697
27262.9 0.000418245
27422.4 0.000374628
27581.9 0.000380353
27741.4 0.000424688
27900.9 0.000542842
28060.4 0.00104768
28140.1 0.00284848
28160.1 0.00465623
28180.0 0.00969103
28190.0 0.0165356
28195.0 0.0232541
28199.9 0.0352469
28204.9 0.0600426
28207.4 0.0837087
28209.9 0.124832
28212.4 0.205840
28213.7 0.279865
28214.9 0.400621
28216.1 0.620979
28216.8 0.802776
28217.4 1.07460
28218.0 1.51231
28218.6 2.24091
28219.3 3.55920
28219.9 6.04564
28220.4 9.70255
28221.0 12.0814
