50-Sn_n-g
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
4.613290e+01 1.88583405e+00
4.616720e+01 1.62883631e+00
4.619850e+01 1.39611216e+00
4.621650e+01 1.32392977e+00
4.624110e+01 1.22739696e+00
4.625000e+01 1.19340619e+00
4.626570e+01 1.13344897e+00
4.629040e+01 1.04331107e+00
4.631500e+01 9.60172427e-01
4.632960e+01 9.15916868e-01
4.634750e+01 8.98259999e-01
4.638000e+01 8.54285569e-01
4.641250e+01 7.62560659e-01
4.644500e+01 6.58869731e-01
4.646060e+01 6.14842559e-01
4.647280e+01 5.91282696e-01
4.650060e+01 5.45569535e-01
4.652830e+01 5.04731949e-01
4.655610e+01 4.66516889e-01
4.659170e+01 4.20291857e-01
4.661170e+01 4.03271022e-01
4.666720e+01 3.58735650e-01
4.672270e+01 3.15424846e-01
4.672280e+01 3.15347939e-01
4.677830e+01 2.86502274e-01
4.685390e+01 2.47829396e-01
4.688940e+01 2.36676833e-01
4.700050e+01 2.02342540e-01
4.711160e+01 1.68264929e-01
4.711610e+01 1.66891524e-01
4.721540e+01 1.49819613e-01
4.733380e+01 1.29560590e-01
4.737830e+01 1.21993776e-01
4.764040e+01 9.44450795e-02
4.777810e+01 8.48559711e-02
4.790260e+01 7.62383606e-02
4.812500e+01 6.69688883e-02
4.822250e+01 6.29371324e-02
4.842700e+01 5.45189486e-02
4.860770e+01 5.03841562e-02
4.895130e+01 4.26712594e-02
4.947570e+01 3.55094662e-02
5.000000e+01 3.08346684e-02
5.078130e+01 2.71401010e-02
5.148460e+01 2.53269567e-02
5.156250e+01 2.51881651e-02
5.296920e+01 2.48760457e-02
5.304530e+01 2.49723634e-02
5.312500e+01 2.50908619e-02
5.365120e+01 2.63859387e-02
5.445380e+01 2.83785954e-02
5.468750e+01 2.96892786e-02
5.593840e+01 3.72595537e-02
5.609050e+01 3.89019677e-02
5.612750e+01 3.93061416e-02
5.625000e+01 4.06444835e-02
5.668070e+01 4.54779437e-02
5.730240e+01 5.62803940e-02
5.742300e+01 5.83796716e-02
5.816530e+01 7.97433042e-02
5.864080e+01 1.04628043e-01
5.890760e+01 1.18596298e-01
5.912800e+01 1.37897855e-01
5.927880e+01 1.51115325e-01
5.937500e+01 1.63872590e-01
5.964990e+01 2.00375429e-01
6.002110e+01 2.79916010e-01
6.039220e+01 4.20527205e-01
6.057780e+01 5.35249624e-01
6.076340e+01 7.04865876e-01
6.094890e+01 9.70671986e-01
6.095360e+01 9.82077516e-01
6.113450e+01 1.42110332e+00
6.132010e+01 2.27385948e+00
6.141290e+01 3.01677107e+00
6.150570e+01 4.18387543e+00
6.159840e+01 6.15799578e+00
6.169120e+01 9.83841755e+00
6.173760e+01 1.29497361e+01
6.178400e+01 1.76127167e+01
6.183040e+01 2.48129333e+01
6.186640e+01 3.34765384e+01
6.187680e+01 3.59793607e+01
6.193840e+01 5.77587583e+01
6.200000e+01 7.23687463e+01
6.206160e+01 5.78079037e+01
6.212320e+01 3.60445327e+01
6.216020e+01 2.67692561e+01
6.218100e+01 2.30838169e+01
6.219720e+01 2.02134279e+01
6.225500e+01 1.40446381e+01
6.227120e+01 1.23156694e+01
6.232280e+01 9.39839764e+00
6.234510e+01 8.13764909e+00
6.241910e+01 5.73068067e+00
6.249310e+01 4.23739741e+00
6.250000e+01 4.14569567e+00
6.256710e+01 3.25393806e+00
6.271500e+01 2.08669528e+00
6.277920e+01 1.81043769e+00
6.286300e+01 1.44993562e+00
6.296110e+01 1.19536870e+00
6.301090e+01 1.06614247e+00
6.323560e+01 7.48266292e-01
6.330690e+01 6.47548630e-01
6.346380e+01 5.36043467e-01
6.360280e+01 4.37722595e-01
6.369200e+01 4.01834638e-01
6.389870e+01 3.20325150e-01
6.392020e+01 3.15143924e-01
6.403430e+01 2.89253685e-01
6.404120e+01 2.87837449e-01
6.414840e+01 2.65852342e-01
6.419460e+01 2.58646750e-01
6.426250e+01 2.53856439e-01
6.431960e+01 2.54442469e-01
6.437660e+01 2.61594946e-01
6.443370e+01 2.82082563e-01
6.446220e+01 3.02084151e-01
6.449050e+01 3.33822028e-01
6.449070e+01 3.34059854e-01
6.451920e+01 3.88521685e-01
6.454780e+01 4.80448157e-01
6.457630e+01 6.44604378e-01
6.460480e+01 9.45596560e-01
6.463240e+01 1.40537573e+00
6.466000e+01 1.71063294e+00
6.468760e+01 1.39913504e+00
6.471520e+01 9.33528393e-01
6.474440e+01 6.21220991e-01
6.477360e+01 4.50685878e-01
6.480290e+01 3.53564576e-01
6.483210e+01 2.94089614e-01
6.486130e+01 2.55039941e-01
6.489050e+01 2.27803220e-01
6.494900e+01 1.92431348e-01
6.500740e+01 1.70083723e-01
6.506580e+01 1.54091344e-01
6.508230e+01 1.50834848e-01
6.512130e+01 1.44919241e-01
6.518270e+01 1.35633743e-01
6.529960e+01 1.23350043e-01
6.531870e+01 1.21729980e-01
6.541640e+01 1.13443910e-01
6.565020e+01 9.66949787e-02
6.566140e+01 9.59760344e-02
6.567420e+01 9.51706067e-02
6.588390e+01 8.66435406e-02
6.611770e+01 7.78617376e-02
