W-182(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
653.830 4.65200
653.905 5.46397
653.980 6.49016
654.054 7.79273
654.129 9.46512
654.204 11.6296
654.279 14.4748
654.354 18.2635
654.429 23.4101
654.504 30.5624
654.579 40.8004
654.654 55.9333
654.729 79.3698
654.804 117.677
654.879 185.330
654.916 239.519
654.954 317.019
654.991 432.356
655.029 609.483
655.066 892.160
655.104 1344.64
655.152 2238.13
655.200 2911.62
655.248 2423.29
655.297 1573.36
655.327 1184.19
655.357 906.935
655.416 570.844
655.476 390.872
655.536 285.710
655.596 219.345
655.656 174.995
655.776 121.054
655.896 90.5594
656.016 71.5443
656.255 49.7780
656.495 38.0599
656.735 30.9212
656.974 26.1859
657.214 22.8512
657.693 18.5111
658.172 15.8427
658.652 14.0513
659.131 12.7718
660.090 11.0731
661.048 9.99946
662.007 9.25967
662.965 8.71799
664.883 7.97404
666.800 7.48185
668.717 7.12706
670.634 6.85510
674.469 6.45402
678.303 6.15446
680.220 6.02092
682.138 5.88288
683.096 5.80289
683.575 5.75604
684.055 5.70103
684.534 5.63322
684.774 5.59305
685.013 5.55016
685.253 5.51611
685.373 5.51802
685.493 5.56424
685.553 5.62675
685.613 5.74520
685.672 5.97326
685.732 6.43679
685.792 7.48038
685.822 8.51264
685.852 10.2971
685.882 13.7002
685.897 16.6224
685.912 21.0557
685.927 28.2383
685.942 40.5664
685.950 50.1032
685.957 63.2275
685.965 81.4605
685.972 106.238
685.979 137.438
685.986 173.549
686.000 223.679
686.007 214.658
686.014 186.693
686.028 123.257
686.037 93.4207
686.046 72.5803
686.064 47.3748
686.082 34.0239
686.100 26.2753
686.118 21.4129
686.136 18.1659
686.171 14.2261
686.207 12.0038
686.243 10.6173
686.315 9.02928
686.386 8.17290
686.458 7.64937
686.529 7.30095
686.601 7.05471
686.744 6.73146
686.887 6.53045
687.173 6.29410
687.460 6.15845
687.746 6.06892
688.319 5.95398
688.891 5.87915
689.464 5.82338
690.609 5.73954
692.900 5.61793
695.190 5.52087
704.353 5.21097
722.677 4.68423
731.839 4.39933
736.420 4.23188
741.001 4.02944
745.582 3.75864
747.873 3.57460
750.163 3.33065
751.309 3.17319
752.454 2.98008
753.599 2.73663
754.745 2.42154
755.317 2.22944
755.890 2.01303
756.462 1.78230
757.035 1.58603
757.321 1.55099
757.608 1.63483
757.751 1.76330
757.894 1.99190
758.037 2.37859
758.180 3.02096
758.252 3.48855
758.324 4.09561
758.395 4.88931
758.467 5.93523
758.538 7.33429
758.610 9.23216
758.681 11.8560
758.753 15.5635
758.825 20.9743
758.896 29.1612
758.968 42.1588
759.039 64.1073
759.111 104.635
759.147 138.512
759.182 189.101
759.218 268.216
759.254 398.749
759.290 626.300
759.326 1032.72
759.363 1715.39
759.400 2231.37
759.437 1857.29
759.475 1203.93
759.518 714.717
759.561 458.190
759.605 316.708
759.648 232.796
759.691 179.193
759.735 143.119
759.821 98.9050
759.908 73.8053
759.995 58.1073
760.168 40.1328
760.342 30.4747
760.515 24.6037
760.688 20.7224
760.862 17.9963
761.209 14.4639
761.555 12.3040
761.902 10.8610
762.249 9.83511
762.942 8.47997
763.636 7.62894
764.330 7.04550
765.023 6.62009
766.410 6.03808
767.797 5.65399
769.185 5.37650
770.572 5.16209
773.346 4.83648
776.120 4.56797
777.508 4.42713
778.201 4.34631
778.895 4.25109
779.588 4.13032
779.935 4.05494
780.282 3.96698
780.455 3.91950
780.629 3.87372
780.802 3.84044
780.975 3.85243
781.062 3.90341
781.149 4.02294
781.236 4.28310
781.322 4.85947
781.366 5.39624
781.409 6.25485
781.452 7.70593
781.496 10.3258
781.539 15.5939
781.550 17.7207
781.561 20.3496
781.572 23.6715
781.582 27.9352
781.593 33.5653
781.604 41.0139
781.615 51.1805
781.626 65.4247
781.637 86.1939
781.647 116.813
781.658 163.407
781.669 234.445
781.677 304.885
781.685 387.525
781.700 501.230
781.708 480.674
781.716 416.310
781.731 271.285
781.741 203.561
781.751 155.764
781.771 98.4110
781.791 68.0834
781.810 50.5092
781.830 39.4971
781.850 32.1538
781.889 23.2765
781.929 18.2659
781.969 15.1476
782.048 11.5911
782.127 9.67861
782.206 8.51567
782.285 7.74463
782.364 7.20115
782.523 6.49267
782.681 6.05578
782.839 5.76120
782.997 5.54970
783.314 5.26579
783.630 5.08317
783.947 4.95461
784.263 4.85816
784.897 4.72041
785.530 4.62381
786.796 4.48982
788.062 4.39439
789.328 4.31819
791.860 4.19539
796.925 4.00272
801.989 3.83983
822.247 3.26220
842.504 2.64400
847.569 2.46009
852.633 2.24385
855.166 2.10953
856.432 2.02891
857.698 1.93264
858.964 1.81022
859.597 1.73367
860.230 1.64349
860.547 1.59364
860.863 1.54344
861.180 1.50121
861.496 1.49369
861.654 1.52658
861.813 1.61727
861.971 1.82973
862.129 2.32344
862.208 2.79720
862.287 3.57349
862.327 4.14960
862.367 4.91749
862.406 5.96790
862.446 7.43414
862.485 9.55677
862.505 10.9813
862.525 12.7465
862.545 14.9629
862.564 17.7888
862.584 21.4556
862.604 26.2842
862.624 32.8644
862.644 42.0538
862.663 55.3397
862.683 75.2489
862.703 106.966
862.723 160.444
862.742 256.688
862.752 332.796
862.762 435.296
862.781 715.394
862.800 920.829
862.819 759.764
862.838 487.821
862.852 348.617
862.865 256.122
862.879 194.224
862.893 151.798
862.920 100.026
862.947 71.2583
862.974 53.7009
863.001 42.2934
863.056 28.7804
863.110 21.3390
863.165 16.7940
863.219 13.7875
863.274 11.6911
863.383 9.00347
863.491 7.39112
863.600 6.33513
863.709 5.59901
863.927 4.65052
864.145 4.07364
864.363 3.68894
864.580 3.41517
865.016 3.05138
865.451 2.81965
866.322 2.53602
867.194 2.36224
868.065 2.23899
869.807 2.06285
873.291 1.81729
876.776 1.61720
883.744 1.24467
890.713 0.868068
897.682 0.490231
901.166 0.321886
902.908 0.254471
904.651 0.209102
905.522 0.199305
906.393 0.201963
907.264 0.221429
908.135 0.263942
909.006 0.338691
909.442 0.392263
909.877 0.459639
910.748 0.648814
911.619 0.942581
912.490 1.40439
913.362 2.15293
914.233 3.43127
915.104 5.80194
915.539 7.79829
915.975 10.8172
916.410 15.6682
916.846 24.1355
917.064 30.9377
917.282 40.8268
917.499 55.9522
917.717 80.6649
917.935 124.910
918.044 161.234
918.153 214.884
918.261 298.293
918.370 435.689
918.479 676.662
918.588 1115.02
918.800 2333.53
918.906 1930.64
919.012 1219.37
919.119 748.501
919.225 484.859
919.331 333.374
919.438 241.259
919.544 181.819
919.651 141.602
919.864 92.4740
920.077 64.9100
920.289 47.9625
920.715 29.0978
921.141 19.3872
921.567 13.7329
921.993 10.1484
922.418 7.73112
923.270 4.76853
924.121 3.09273
924.973 2.06188
925.825 1.39788
926.676 0.965690
927.102 0.813263
927.528 0.695719
927.954 0.609349
928.379 0.551578
928.805 0.520738
929.231 0.515907
929.657 0.536807
930.082 0.583742
930.508 0.657550
930.934 0.759573
931.786 1.05658
932.637 1.49712
933.489 2.11500
934.340 2.95891
935.192 4.09858
936.043 5.63428
936.895 7.71334
937.746 10.5550
938.598 14.4977
939.450 20.0775
940.301 28.1856
941.153 40.3708
942.004 59.5014
942.856 91.3057
943.707 148.419
944.133 194.851
944.559 262.303
944.985 364.050
945.411 523.886
945.836 784.740
946.262 1215.95
946.781 2034.97
947.300 2669.75
947.820 2239.67
948.339 1459.49
948.754 1017.47
949.170 732.178
949.585 547.532
950.000 424.214
950.781 283.649
951.563 204.747
952.344 156.178
953.125 124.123
954.688 85.5607
956.250 63.9095
957.813 50.3932
959.375 41.2976
962.500 30.0147
965.625 23.3848
968.750 19.0445
975.000 13.6504
981.250 10.2575
987.500 7.62834
990.625 6.37592
993.750 5.05060
996.875 3.54961
998.438 2.70946
1000.00 1.84444
1000.84 1.42599
1001.68 1.14101
1002.10 1.10807
1002.31 1.13808
1002.52 1.21015
1002.73 1.33679
1002.94 1.53216
1003.15 1.81854
1003.36 2.22032
1003.57 2.77827
1003.78 3.54166
1003.99 4.58156
1004.19 5.99120
1004.40 7.93028
1004.61 10.6114
1004.82 14.3692
1005.03 19.7030
1005.24 27.5324
1005.45 39.3407
1005.66 57.8807
1005.87 88.3680
1006.08 142.609
1006.19 186.012
1006.29 247.318
1006.40 338.339
1006.50 476.782
1006.61 693.155
1006.71 1028.67
1006.86 1740.78
1007.00 2294.21
1007.15 1930.48
1007.29 1272.49
1007.46 770.449
1007.63 503.234
1007.80 354.456
1007.97 265.016
1008.14 207.419
1008.31 168.181
1008.65 119.627
1008.99 91.4832
1009.33 73.6473
1010.01 52.7584
1010.69 41.2159
1011.37 34.0397
1012.05 29.1872
1012.73 25.7053
1014.08 21.0585
1015.44 18.1067
1016.80 16.0588
1018.16 14.5467
1020.88 12.4384
1023.59 11.0094
1029.02 9.11223
1034.46 7.82101
1039.89 6.80891
1050.76 5.12086
1061.62 3.47939
1067.06 2.57537
1072.49 1.59078
1075.21 1.08911
1077.92 0.635131
1079.28 0.460704
1079.96 0.398431
1080.64 0.360030
1081.32 0.353152
