83-Bi_n-g
> 83-Bi-209:1.000000
9.167120e+03 1.40030000e-03
9.171450e+03 8.49546000e-04
9.188750e+03 3.11792000e-04
9.223360e+03 1.74939000e-04
9.292580e+03 1.42817000e-04
9.431020e+03 1.48389000e-04
9.569460e+03 1.87066000e-04
9.638680e+03 2.76561000e-04
9.673290e+03 5.15775000e-04
9.690600e+03 1.27074000e-03
9.699250e+03 4.01521000e-03
9.703580e+03 1.45057000e-02
9.705740e+03 5.42054000e-02
9.706820e+03 1.97421000e-01
9.707090e+03 3.31360000e-01
9.707360e+03 6.64415000e-01
9.707500e+03 1.05622000e+00
9.707630e+03 1.92002000e+00
9.707700e+03 2.80532000e+00
9.707770e+03 4.39702000e+00
9.707840e+03 7.69987000e+00
9.707870e+03 1.06700000e+01
9.707900e+03 1.50912000e+01
9.707950e+03 2.40897000e+01
9.708000e+03 3.01921000e+01
9.708050e+03 2.40895000e+01
9.708100e+03 1.50911000e+01
9.708150e+03 9.02982000e+00
9.708200e+03 5.78004000e+00
9.708300e+03 2.83984000e+00
9.708400e+03 1.64773000e+00
9.708500e+03 1.07274000e+00
9.708700e+03 5.53830000e-01
9.708900e+03 3.36529000e-01
9.709300e+03 1.61920000e-01
9.709700e+03 9.49454000e-02
9.711310e+03 2.56273000e-02
9.714520e+03 7.09567000e-03
9.720950e+03 2.45446000e-03
9.733810e+03 2.03451000e-03
9.740240e+03 2.99182000e-03
9.743460e+03 4.03961000e-03
9.746670e+03 5.97986000e-03
9.749880e+03 1.00946000e-02
9.751490e+03 1.41125000e-02
9.753100e+03 2.12463000e-02
9.754710e+03 3.57679000e-02
9.755510e+03 4.94533000e-02
9.756310e+03 7.28087000e-02
9.757120e+03 1.17675000e-01
9.757520e+03 1.57341000e-01
9.757920e+03 2.20441000e-01
9.758320e+03 3.29798000e-01
9.758720e+03 5.40910000e-01
9.758920e+03 7.25938000e-01
9.759130e+03 1.01344000e+00
9.759330e+03 1.47839000e+00
9.759530e+03 2.23442000e+00
9.759760e+03 3.57704000e+00
9.760000e+03 4.47282000e+00
9.760240e+03 3.57673000e+00
9.760470e+03 2.23422000e+00
9.760710e+03 1.38256000e+00
9.760940e+03 9.02454000e-01
9.761180e+03 6.24257000e-01
9.761410e+03 4.53587000e-01
9.761640e+03 3.42910000e-01
9.761880e+03 2.67630000e-01
9.762350e+03 1.75359000e-01
9.762810e+03 1.23432000e-01
9.763280e+03 9.14741000e-02
9.764220e+03 5.59559000e-02
9.765150e+03 3.77108000e-02
9.766090e+03 2.71416000e-02
9.767960e+03 1.60205000e-02
9.769830e+03 1.05935000e-02
9.771700e+03 7.54878000e-03
9.775450e+03 4.43065000e-03
9.779190e+03 2.94639000e-03
9.782930e+03 2.12551000e-03
9.790420e+03 1.29469000e-03
9.805390e+03 6.87500000e-04
9.820360e+03 4.70406000e-04
9.850300e+03 3.13587000e-04
9.880240e+03 2.59626000e-04
9.940120e+03 2.25641000e-04
1.000000e+04 2.19752000e-04
1.012300e+04 2.30715000e-04
1.024600e+04 2.53727000e-04
1.049200e+04 3.24391000e-04
1.073800e+04 4.39236000e-04
1.098400e+04 6.36937000e-04
1.123000e+04 1.01888000e-03
1.135300e+04 1.35940000e-03
1.147600e+04 1.90852000e-03
1.159900e+04 2.87484000e-03
1.172200e+04 4.79558000e-03
1.178350e+04 6.53424000e-03
1.184500e+04 9.32900000e-03
1.190650e+04 1.40617000e-02
1.193730e+04 1.76122000e-02
1.196800e+04 2.22565000e-02
1.203300e+04 3.55436000e-02
1.209800e+04 4.41822000e-02
1.216300e+04 3.50531000e-02
1.222800e+04 2.17880000e-02
1.227840e+04 1.48596000e-02
1.232880e+04 1.04566000e-02
1.237920e+04 7.63879000e-03
1.242960e+04 5.77651000e-03
1.253040e+04 3.59498000e-03
1.263110e+04 2.43712000e-03
1.273190e+04 1.75825000e-03
1.283270e+04 1.32950000e-03
1.303430e+04 8.43239000e-04
1.323580e+04 5.92478000e-04
1.343740e+04 4.50677000e-04
1.384050e+04 3.20677000e-04
1.424360e+04 3.06545000e-04
1.444520e+04 3.44408000e-04
1.464680e+04 4.36477000e-04
1.484830e+04 6.47638000e-04
1.494910e+04 8.54371000e-04
1.504990e+04 1.21324000e-03
1.515070e+04 1.90954000e-03
1.520110e+04 2.52935000e-03
1.525140e+04 3.52389000e-03
1.530180e+04 5.25690000e-03
1.535220e+04 8.63937000e-03
1.537740e+04 1.16386000e-02
1.540260e+04 1.63506000e-02
1.542780e+04 2.40883000e-02
1.544040e+04 2.97345000e-02
1.545300e+04 3.69631000e-02
1.546730e+04 4.72061000e-02
1.548150e+04 5.88569000e-02
1.551000e+04 7.32389000e-02
1.553850e+04 5.85745000e-02
1.556700e+04 3.66884000e-02
1.559630e+04 2.23478000e-02
1.562550e+04 1.44226000e-02
1.565480e+04 9.90044000e-03
1.568400e+04 7.15881000e-03
1.571330e+04 5.39516000e-03
1.574250e+04 4.20354000e-03
1.580100e+04 2.75220000e-03
1.585950e+04 1.94038000e-03
1.591810e+04 1.44278000e-03
1.603510e+04 8.91212000e-04
1.615210e+04 6.08810000e-04
1.626910e+04 4.45190000e-04
1.650310e+04 2.72599000e-04
1.673710e+04 1.88501000e-04
1.697120e+04 1.43432000e-04
1.720520e+04 1.31430000e-04
1.726370e+04 1.44398000e-04
1.732220e+04 1.92234000e-04
1.735150e+04 2.63483000e-04
1.738070e+04 4.69239000e-04
1.739530e+04 7.55582000e-04
1.741000e+04 1.55817000e-03
1.741730e+04 2.65480000e-03
1.742090e+04 3.73257000e-03
1.742460e+04 5.65776000e-03
1.742830e+04 9.64951000e-03
1.743010e+04 1.34785000e-02
1.743190e+04 2.01095000e-02
1.743370e+04 3.32954000e-02
1.743470e+04 4.54364000e-02
