35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
3.493000e+02 2.49024785e-01
3.496260e+02 2.08753936e-01
3.499510e+02 1.87374186e-01
3.502770e+02 1.74117376e-01
3.509290e+02 1.57995988e-01
3.515810e+02 1.47708022e-01
3.520040e+02 1.42605313e-01
3.522330e+02 1.40480108e-01
3.535360e+02 1.31432297e-01
3.561430e+02 1.17585399e-01
3.567150e+02 1.15007029e-01
3.587500e+02 1.10860744e-01
3.613570e+02 1.07327185e-01
3.626610e+02 1.06826702e-01
3.639640e+02 1.08299919e-01
3.652680e+02 1.14607520e-01
3.659190e+02 1.22187723e-01
3.661360e+02 1.27092224e-01
3.665710e+02 1.37826053e-01
3.668970e+02 1.51198596e-01
3.672230e+02 1.71331047e-01
3.675490e+02 2.03664271e-01
3.678750e+02 2.60415314e-01
3.682000e+02 3.74060693e-01
3.683630e+02 4.79243197e-01
3.685260e+02 6.55407445e-01
3.686890e+02 9.83605765e-01
3.687710e+02 1.26463621e+00
3.688520e+02 1.69772387e+00
3.689340e+02 2.41245549e+00
3.690150e+02 3.69238322e+00
3.690970e+02 6.23593892e+00
3.691370e+02 8.44497902e+00
3.691780e+02 1.16865706e+01
3.692390e+02 1.86085133e+01
3.693000e+02 2.32091877e+01
3.693610e+02 1.86114269e+01
3.694220e+02 1.16902774e+01
3.694860e+02 7.08980461e+00
3.695500e+02 4.57471087e+00
3.696130e+02 3.15243517e+00
3.696770e+02 2.29610025e+00
3.697410e+02 1.74672994e+00
3.698050e+02 1.37706992e+00
3.699320e+02 9.27751817e-01
3.700600e+02 6.77039640e-01
3.701870e+02 5.23827104e-01
3.704420e+02 3.54372919e-01
3.706970e+02 2.67872948e-01
3.708470e+02 2.38505725e-01
3.709520e+02 2.18159206e-01
3.712070e+02 1.87278408e-01
3.714620e+02 1.66781310e-01
3.719720e+02 1.42315825e-01
3.724830e+02 1.29062418e-01
3.735030e+02 1.16521983e-01
3.745230e+02 1.11648562e-01
3.755430e+02 1.09881967e-01
3.755580e+02 1.09883908e-01
3.775830e+02 1.18723641e-01
3.802680e+02 1.33694802e-01
3.816640e+02 1.51889722e-01
3.826240e+02 1.64833501e-01
3.849790e+02 2.25062376e-01
3.857440e+02 2.58529104e-01
3.861570e+02 2.76677541e-01
3.873340e+02 3.56049684e-01
