57-La_n-tot
> 57-La-139:1.000000
9.635630e+02 3.86665000e+00
9.637080e+02 3.52941000e+00
9.638530e+02 3.30791000e+00
9.639980e+02 3.15293000e+00
9.642890e+02 2.95227000e+00
9.645790e+02 2.82952000e+00
9.651600e+02 2.68866000e+00
9.657400e+02 2.61082000e+00
9.663210e+02 2.56160000e+00
9.674820e+02 2.50273000e+00
9.686440e+02 2.46839000e+00
9.698050e+02 2.44555000e+00
9.721280e+02 2.41620000e+00
9.744510e+02 2.39722000e+00
9.767730e+02 2.38321000e+00
9.814190e+02 2.36231000e+00
9.907090e+02 2.33153000e+00
1.000000e+03 2.30528000e+00
1.022200e+03 2.24345000e+00
1.044400e+03 2.17299000e+00
1.066600e+03 2.08584000e+00
1.088810e+03 1.97178000e+00
1.099910e+03 1.90004000e+00
1.111010e+03 1.81540000e+00
1.122110e+03 1.71627000e+00
1.133210e+03 1.60697000e+00
1.138760e+03 1.55633000e+00
1.144310e+03 1.52289000e+00
1.149860e+03 1.53898000e+00
1.155410e+03 1.69408000e+00
1.158190e+03 1.89634000e+00
1.160960e+03 2.27794000e+00
1.163740e+03 3.01409000e+00
1.166510e+03 4.52178000e+00
1.167900e+03 5.86672000e+00
1.169290e+03 7.96649000e+00
1.170670e+03 1.14242000e+01
1.172060e+03 1.75263000e+01
1.173450e+03 2.94511000e+01
1.174140e+03 3.99736000e+01
1.174840e+03 5.64899000e+01
1.175530e+03 8.41825000e+01
1.176220e+03 1.34420000e+02
1.176570e+03 1.75426000e+02
1.176920e+03 2.34652000e+02
1.177260e+03 3.21757000e+02
1.177610e+03 4.49131000e+02
1.178160e+03 7.41977000e+02
1.178700e+03 9.57836000e+02
1.179250e+03 7.92132000e+02
1.179790e+03 5.12119000e+02
1.180230e+03 3.54108000e+02
1.180670e+03 2.53379000e+02
1.181110e+03 1.88559000e+02
1.181550e+03 1.45624000e+02
1.182430e+03 9.47841000e+01
1.183310e+03 6.73495000e+01
1.184190e+03 5.09034000e+01
1.185080e+03 4.02746000e+01
1.186840e+03 2.77774000e+01
1.188600e+03 2.09228000e+01
1.190360e+03 1.67245000e+01
1.192120e+03 1.39416000e+01
1.193880e+03 1.19900000e+01
1.197410e+03 9.47266000e+00
1.200930e+03 7.94854000e+00
1.204450e+03 6.94916000e+00
1.205330e+03 6.75908000e+00
1.206210e+03 6.60348000e+00
1.206650e+03 6.55578000e+00
1.207090e+03 6.58114000e+00
1.207310e+03 6.68802000e+00
1.207420e+03 6.81220000e+00
1.207530e+03 7.04956000e+00
