46-Pd_n-tot
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
7.692890e+01 6.83719246e+00
7.707370e+01 8.37201210e+00
7.721840e+01 1.14370541e+01
7.729080e+01 1.42310986e+01
7.736310e+01 1.88040105e+01
7.743550e+01 2.69621369e+01
7.747170e+01 3.36177122e+01
7.750790e+01 4.33734343e+01
7.754410e+01 5.83337562e+01
7.758020e+01 8.24608164e+01
7.761640e+01 1.23413784e+02
7.765260e+01 1.94484682e+02
7.769130e+01 3.12593891e+02
7.773000e+01 3.94558754e+02
7.776870e+01 3.20342618e+02
7.780740e+01 2.04180584e+02
7.784200e+01 1.34920617e+02
7.787650e+01 9.33245101e+01
7.791100e+01 6.79477538e+01
7.794560e+01 5.17690907e+01
7.794590e+01 5.16894654e+01
7.801470e+01 3.34298915e+01
7.808380e+01 2.39558694e+01
7.815280e+01 1.84651807e+01
7.822190e+01 1.50067007e+01
7.836010e+01 1.10557504e+01
7.849830e+01 8.96167060e+00
7.863650e+01 7.71308538e+00
7.877460e+01 6.90467888e+00
7.891280e+01 6.34855637e+00
7.918920e+01 5.64762550e+00
7.946550e+01 5.23325721e+00
7.974190e+01 4.96371674e+00
8.001820e+01 4.77571921e+00
8.048640e+01 4.56865980e+00
8.057090e+01 4.53470092e+00
8.112360e+01 4.40412004e+00
8.173680e+01 4.32726952e+00
8.175670e+01 4.32477347e+00
8.222900e+01 4.28639073e+00
8.239180e+01 4.28616612e+00
8.302690e+01 4.31592509e+00
8.333440e+01 4.34573683e+00
8.334450e+01 4.34736034e+00
8.350330e+01 4.37790983e+00
8.366210e+01 4.41230484e+00
8.382080e+01 4.45098483e+00
8.388710e+01 4.46912664e+00
8.397960e+01 4.50250755e+00
8.413840e+01 4.56514662e+00
8.429720e+01 4.63375327e+00
8.443980e+01 4.70137116e+00
8.445600e+01 4.71119555e+00
8.461480e+01 4.81500709e+00
8.471620e+01 4.88672622e+00
8.477350e+01 4.93732933e+00
8.493230e+01 5.08707142e+00
8.499250e+01 5.15025629e+00
8.524990e+01 5.50609076e+00
8.526890e+01 5.53571342e+00
8.554520e+01 6.16182448e+00
8.556740e+01 6.23593832e+00
8.568340e+01 6.64992501e+00
8.582160e+01 7.33358261e+00
8.588500e+01 7.80620442e+00
8.595970e+01 8.38589282e+00
8.609790e+01 1.01506072e+01
8.620260e+01 1.26972003e+01
8.623610e+01 1.35257984e+01
8.630520e+01 1.65644545e+01
8.637430e+01 2.14988335e+01
8.644330e+01 3.03098760e+01
8.647790e+01 3.75444747e+01
8.651240e+01 4.82409575e+01
8.652020e+01 5.19874638e+01
8.654700e+01 6.48752229e+01
