Cu-63(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
9913.10 0.737886
9940.00 0.927583
9966.90 0.754013
9993.80 0.475723
10014.9 0.325036
10036.0 0.229067
10057.2 0.167793
10078.3 0.127446
10120.5 0.0803927
10162.7 0.0556084
10205.0 0.0412619
10247.2 0.0325351
10289.4 0.0281074
10310.6 0.0315925
10315.8 0.0368523
10321.1 0.0523838
10323.8 0.0738449
10326.4 0.132600
10327.7 0.209988
10329.0 0.410636
10329.7 0.658431
10330.4 1.24338
10330.7 1.88687
10331.0 3.18352
10331.2 4.41860
10331.3 6.31106
10331.5 9.51922
10331.7 15.1020
10331.8 24.3889
10332.0 30.8870
10332.2 24.7786
10332.3 15.4014
10332.5 10.8419
10332.6 8.03349
10332.7 5.97058
10332.8 4.67170
10333.0 3.00030
10333.3 2.07580
10333.7 1.15769
10334.2 0.744830
10335.1 0.384725
10336.0 0.239001
10337.8 0.124160
10339.6 0.0811486
10343.3 0.0486942
10346.9 0.0367947
10354.2 0.0277905
10361.5 0.0243293
10390.7 0.0199796
10449.0 0.0177511
10507.4 0.0177868
10536.6 0.0187437
10551.2 0.0201981
10558.5 0.0238395
10562.1 0.0361247
10563.9 0.0770973
10564.8 0.195331
10565.3 0.461534
10565.5 0.869415
10565.7 1.93568
10566.0 3.85484
10566.3 1.94470
10566.4 1.06310
10566.6 0.630041
10566.9 0.296589
10567.6 0.118401
10568.9 0.0497850
10571.5 0.0284064
10576.8 0.0227349
10587.4 0.0219844
10608.5 0.0238016
10629.6 0.0272244
10640.2 0.0312472
10645.5 0.0404500
10648.1 0.0700149
10649.4 0.162572
10650.1 0.401355
10650.4 0.845944
10650.6 1.42037
10650.7 2.55304
10650.9 4.06733
10651.0 5.10673
10651.1 4.09891
10651.3 2.57767
10651.4 1.48213
10651.6 0.900660
10651.9 0.435520
10652.5 0.177768
10653.7 0.0761353
10656.2 0.0443162
10661.2 0.0364571
10671.1 0.0370056
10691.0 0.0442409
10710.9 0.0557924
10730.7 0.0739154
10750.6 0.104011
10760.5 0.126878
10770.5 0.158207
10780.4 0.202354
10790.3 0.266069
10800.3 0.359923
10810.2 0.497705
10825.1 0.791732
10840.0 0.983098
10854.9 0.783300
10869.8 0.490326
10882.6 0.323147
10895.5 0.221765
10908.3 0.159415
10921.2 0.119433
10946.8 0.0739444
10972.5 0.0504209
10998.2 0.0368038
11023.9 0.0282490
11075.2 0.0185172
11126.6 0.0133869
11177.9 0.0103429
11280.6 0.00703816
11383.3 0.00536548
11486.0 0.00440824
11691.5 0.00347471
11896.9 0.00323414
12102.3 0.00362858
12205.0 0.00430915
12307.7 0.00605505
12359.1 0.00823456
12384.7 0.0102792
12410.4 0.0138273
12436.1 0.0209379
12448.9 0.0275912
12461.8 0.0389360
12474.6 0.0607738
12481.0 0.0801774
12487.4 0.111351
12493.9 0.165886
12497.1 0.209713
12500.3 0.273246
12503.5 0.369459
12506.7 0.522651
12509.9 0.779314
12513.1 1.21913
12520.0 2.54679
12521.7 2.44723
12523.5 2.11175
12526.9 1.33204
12529.9 0.869435
12532.9 0.589896
12535.9 0.419552
12538.9 0.311623
12544.9 0.189874
12550.9 0.127687
12556.9 0.0920932
12562.9 0.0699593
12574.8 0.0451503
12586.8 0.0323785
12598.8 0.0250237
12622.8 0.0174476
12646.7 0.0139966
12670.7 0.0123273
12718.6 0.0114221
12766.6 0.0123042
12814.5 0.0148885
12838.5 0.0173688
12862.4 0.0222265
12874.4 0.0275088
12886.4 0.0403917
12892.4 0.0568601
12898.4 0.100610
12901.4 0.157881
12904.4 0.306131
12905.9 0.491192
12906.6 0.659150
12907.4 0.935006
12908.1 1.43352
12908.5 1.85427
12908.9 2.46775
12909.2 3.46604
12909.6 5.11217
12910.0 8.10165
12910.2 10.5835
12910.3 13.8553
12911.0 30.2057
12911.2 29.4539
12911.3 25.7526
12911.7 16.2892
12911.9 11.3195
12912.1 8.05541
12912.4 5.92632
12912.6 4.50280
12913.1 2.81895
12913.6 1.93181
12914.1 1.39482
12914.5 1.05427
12915.5 0.667744
12916.4 0.461700
12917.4 0.341588
12919.3 0.212964
