25-Mn_n-tot
>  25-Mn-55:1.000000
6.990250e+03 8.02852000e+01
7.015550e+03 9.17822000e+01
7.066130e+03 1.17382000e+02
7.167300e+03 1.55698000e+02
7.273400e+03 1.34996000e+02
7.379500e+03 9.09559000e+01
7.461000e+03 6.58690000e+01
7.542500e+03 4.90181000e+01
7.624000e+03 3.77552000e+01
7.705500e+03 3.00507000e+01
7.868500e+03 2.07820000e+01
8.031500e+03 1.61462000e+01
8.194500e+03 1.47067000e+01
8.357500e+03 1.73847000e+01
8.439000e+03 2.16413000e+01
8.520500e+03 2.98196000e+01
8.602000e+03 4.53268000e+01
8.683500e+03 7.44115000e+01
8.777200e+03 1.31737000e+02
8.870900e+03 1.81133000e+02
8.964550e+03 1.60766000e+02
9.058200e+03 1.14101000e+02
9.144680e+03 8.22784000e+01
9.231150e+03 6.18823000e+01
9.317630e+03 4.86966000e+01
9.404100e+03 3.98087000e+01
9.577050e+03 2.89494000e+01
9.750000e+03 2.27358000e+01
9.771210e+03 2.21572000e+01
9.781810e+03 2.18800000e+01
9.787110e+03 2.17474000e+01
9.789770e+03 2.16938000e+01
9.791090e+03 2.17075000e+01
9.791750e+03 2.18276000e+01
9.792080e+03 2.21210000e+01
9.792250e+03 2.25725000e+01
9.792420e+03 2.37794000e+01
9.792600e+03 2.59485000e+01
9.792790e+03 2.37730000e+01
9.793000e+03 2.24156000e+01
9.793200e+03 2.19888000e+01
9.793600e+03 2.17286000e+01
9.794410e+03 2.16049000e+01
9.796030e+03 2.15304000e+01
9.799270e+03 2.14401000e+01
9.805740e+03 2.12781000e+01
9.818690e+03 2.09661000e+01
9.844590e+03 2.03710000e+01
9.896400e+03 1.92817000e+01
1.000000e+04 1.74346000e+01
1.030980e+04 1.36268000e+01
1.046470e+04 1.23147000e+01
1.054210e+04 1.17544000e+01
1.058080e+04 1.14942000e+01
1.060020e+04 1.13693000e+01
1.060990e+04 1.13107000e+01
1.061470e+04 1.12920000e+01
1.061710e+04 1.13206000e+01
1.061840e+04 1.14581000e+01
1.061900e+04 1.18634000e+01
1.061930e+04 1.26934000e+01
1.061940e+04 1.38387000e+01
1.061960e+04 1.66436000e+01
1.061970e+04 1.98455000e+01
1.061980e+04 2.20771000e+01
1.061990e+04 1.98529000e+01
1.062000e+04 1.66518000e+01
1.062010e+04 1.40831000e+01
1.062020e+04 1.28574000e+01
1.062050e+04 1.19561000e+01
1.062110e+04 1.14836000e+01
1.062210e+04 1.13037000e+01
1.062430e+04 1.12364000e+01
1.062870e+04 1.11942000e+01
1.063740e+04 1.11363000e+01
1.065490e+04 1.10292000e+01
1.068980e+04 1.08230000e+01
1.075960e+04 1.04350000e+01
1.082950e+04 1.00792000e+01
1.084690e+04 9.99825000e+00
1.086440e+04 9.92871000e+00
1.087310e+04 9.90800000e+00
1.087750e+04 9.90824000e+00
1.088180e+04 9.92567000e+00
1.088620e+04 9.98547000e+00
1.088840e+04 1.00536000e+01
1.089060e+04 1.01826000e+01
1.089280e+04 1.04563000e+01
1.089380e+04 1.07190000e+01
1.089490e+04 1.11719000e+01
1.089600e+04 1.20467000e+01
1.089660e+04 1.28315000e+01
1.089710e+04 1.40632000e+01
1.089770e+04 1.62392000e+01
1.089820e+04 2.03689000e+01
1.089850e+04 2.41398000e+01
1.089880e+04 2.98188000e+01
1.089900e+04 3.89770000e+01
1.089930e+04 5.39102000e+01
1.089960e+04 8.03828000e+01
1.089990e+04 9.80332000e+01
1.090030e+04 8.04597000e+01
1.090060e+04 5.40068000e+01
1.090090e+04 3.54964000e+01
1.090130e+04 2.58217000e+01
1.090170e+04 2.05312000e+01
1.090200e+04 1.74146000e+01
1.090240e+04 1.54507000e+01
1.090270e+04 1.41425000e+01
1.090340e+04 1.25871000e+01
1.090420e+04 1.17129000e+01
1.090490e+04 1.11872000e+01
1.090630e+04 1.06005000e+01
1.090770e+04 1.02975000e+01
1.090920e+04 1.01217000e+01
1.091200e+04 9.93095000e+00
1.091490e+04 9.83119000e+00
1.091780e+04 9.76976000e+00
1.092350e+04 9.69408000e+00
1.093500e+04 9.60567000e+00
1.094640e+04 9.54130000e+00
1.096930e+04 9.43090000e+00
1.099220e+04 9.32891000e+00
1.108390e+04 8.95136000e+00
1.126720e+04 8.28544000e+00
1.145050e+04 7.71000000e+00
1.154220e+04 7.44992000e+00
1.158800e+04 7.32622000e+00
1.161090e+04 7.26711000e+00
1.162240e+04 7.24304000e+00
1.162810e+04 7.25031000e+00
1.163100e+04 7.31922000e+00
1.163170e+04 7.38565000e+00
1.163240e+04 7.54147000e+00
1.163280e+04 7.71458000e+00
1.163310e+04 8.06174000e+00
1.163350e+04 8.88759000e+00
1.163370e+04 9.75266000e+00
1.163380e+04 1.11419000e+01
1.163400e+04 1.34890000e+01
1.163420e+04 1.50492000e+01
1.163440e+04 1.34956000e+01
