83-Bi_n-tot
> 83-Bi-209:1.000000
5.160600e+03 1.58170000e+01
5.169740e+03 1.48033000e+01
5.178890e+03 1.40933000e+01
5.188040e+03 1.35690000e+01
5.206340e+03 1.28471000e+01
5.224640e+03 1.23735000e+01
5.242940e+03 1.20387000e+01
5.261230e+03 1.17891000e+01
5.297830e+03 1.14408000e+01
5.334430e+03 1.12080000e+01
5.371020e+03 1.10404000e+01
5.407620e+03 1.09131000e+01
5.480810e+03 1.07303000e+01
5.554000e+03 1.06028000e+01
5.700390e+03 1.04304000e+01
5.846770e+03 1.03125000e+01
5.993150e+03 1.02216000e+01
6.139540e+03 1.01460000e+01
6.212730e+03 1.01119000e+01
6.249330e+03 1.00956000e+01
6.267620e+03 1.00886000e+01
6.276770e+03 1.00904000e+01
6.281350e+03 1.01141000e+01
6.282490e+03 1.01409000e+01
6.283640e+03 1.02182000e+01
6.284210e+03 1.03249000e+01
6.284780e+03 1.06181000e+01
6.285070e+03 1.10050000e+01
6.285350e+03 1.20068000e+01
6.285490e+03 1.32384000e+01
6.285570e+03 1.43499000e+01
6.285640e+03 1.61198000e+01
6.285710e+03 1.92807000e+01
6.285780e+03 2.54561000e+01
6.285820e+03 3.10928000e+01
6.285850e+03 3.98101000e+01
6.285890e+03 5.47947000e+01
6.285920e+03 7.99402000e+01
6.285960e+03 1.21791000e+02
6.286000e+03 1.50214000e+02
6.286040e+03 1.22119000e+02
6.286080e+03 8.03501000e+01
6.286110e+03 5.91710000e+01
6.286140e+03 4.50588000e+01
6.286160e+03 3.58730000e+01
6.286190e+03 2.97231000e+01
6.286250e+03 2.24211000e+01
6.286310e+03 1.84902000e+01
6.286370e+03 1.61599000e+01
6.286430e+03 1.46734000e+01
6.286540e+03 1.29625000e+01
6.286660e+03 1.20556000e+01
6.286770e+03 1.15186000e+01
6.287010e+03 1.09416000e+01
6.287470e+03 1.04909000e+01
6.287930e+03 1.03213000e+01
6.288860e+03 1.01930000e+01
6.289790e+03 1.01456000e+01
6.293500e+03 1.00960000e+01
6.300920e+03 1.00795000e+01
6.315760e+03 1.00694000e+01
6.345440e+03 1.00558000e+01
6.404790e+03 1.00319000e+01
6.434470e+03 1.00212000e+01
6.464150e+03 1.00134000e+01
6.478990e+03 1.00135000e+01
6.486410e+03 1.00168000e+01
6.493830e+03 1.00255000e+01
6.501250e+03 1.00479000e+01
6.504960e+03 1.00719000e+01
6.508670e+03 1.01173000e+01
6.510530e+03 1.01560000e+01
6.512380e+03 1.02155000e+01
6.514240e+03 1.03129000e+01
6.516090e+03 1.04880000e+01
6.517020e+03 1.06328000e+01
6.517950e+03 1.08493000e+01
6.518870e+03 1.11938000e+01
6.519800e+03 1.17884000e+01
6.520730e+03 1.29479000e+01
6.521190e+03 1.39883000e+01
