Ti-46(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
44608.8 13.7426
44630.6 9.88244
44652.4 7.48679
44696.0 4.84669
44739.6 3.52736
44783.2 2.78762
44826.7 2.33956
44913.9 1.86649
45001.1 1.65951
45088.3 1.57691
45262.6 1.59201
45611.3 1.96409
45960.1 2.65407
46308.8 3.74013
46657.5 5.50119
46831.8 6.86394
47006.2 8.97870
47093.4 10.7291
47180.6 13.8585
47224.1 16.7847
47267.7 22.1745
47289.5 26.8831
47311.3 34.3386
47333.1 46.8900
47354.9 68.6798
47377.5 103.415
47400.0 126.587
47422.6 103.712
47445.2 69.6486
47460.3 53.9304
47475.3 43.3457
47505.4 31.4468
47535.5 25.7545
47565.7 22.8585
47625.9 20.6395
47686.1 20.4273
47806.6 22.2390
47927.0 25.4765
48333.5 41.9963
48740.0 54.4879
49047.4 48.8598
49201.2 43.1214
49239.6 41.9375
49278.0 41.4889
49297.2 42.1140
49316.5 44.5129
49326.1 47.3600
49335.7 52.8030
49345.3 63.9840
49350.1 73.7822
49354.9 88.1889
49362.4 121.320
49370.0 145.133
49377.6 125.105
49385.1 92.5476
49390.4 76.4020
49395.6 65.3790
49406.1 52.5894
49416.6 45.9398
49427.1 42.0321
49448.1 37.6801
49469.1 35.2250
49511.0 32.2177
49553.0 30.1299
49664.8 25.9620
49776.5 22.6728
50000.0 17.5889
50354.1 12.2041
50708.1 8.80753
51062.2 6.56093
51416.2 5.00700
52124.3 3.05749
52832.4 1.92299
53540.6 1.20323
54248.7 0.722931
54956.8 0.401951
55310.8 0.298992
55399.4 0.288066
55487.9 0.304217
55532.1 0.347316
55554.3 0.395316
55576.4 0.485841
55598.5 0.679123
55609.6 0.866875
55620.6 1.19529
55631.7 1.84608
55637.2 2.43847
55642.8 3.41282
55648.3 5.17363
55651.1 6.63729
55653.8 8.81577
55656.6 12.2601
55659.4 18.0201
55662.1 28.4153
55664.9 47.7813
55667.4 76.3991
55670.0 95.5382
55672.6 76.4610
55675.1 47.9209
55677.1 33.1961
55679.0 23.7099
55680.9 17.5382
55682.8 13.4060
55686.7 8.48835
55690.5 5.84774
55694.4 4.27759
55698.2 3.27829
55705.9 2.12659
55713.6 1.51437
55721.3 1.15133
55736.6 0.760145
55752.0 0.563943
55767.4 0.451161
55798.1 0.331462
55828.9 0.270960
55859.6 0.234961
55921.1 0.193639
56044.1 0.153127
56167.1 0.130944
56413.0 0.108097
56536.0 0.104110
56597.5 0.104148
56628.3 0.106777
56643.6 0.117860
56651.3 0.158996
56655.2 0.286254
56657.1 0.585350
56658.0 1.06539
56659.0 2.46672
56660.0 4.90500
56661.0 2.54327
56661.6 1.44000
56662.3 0.913401
56663.5 0.481742
56666.1 0.245115
56671.1 0.150767
56681.2 0.119836
56701.4 0.110871
56741.8 0.109552
56822.5 0.113385
56984.0 0.128814
57307.0 0.186986
57629.9 0.286877
57952.9 0.439106
58275.9 0.662086
58598.9 0.999658
58760.3 1.25716
58921.8 1.69147
59002.6 2.11228
59043.0 2.46413
59083.3 3.02725
59123.7 4.05436
59143.9 4.93730
59164.1 6.32131
59184.3 8.67602
59204.4 13.1299
59214.5 16.9676
59224.6 22.8245
59234.7 32.0923
59244.8 46.8844
59257.4 74.3940
59270.0 93.0045
59282.6 74.9673
59295.2 47.6671
59309.0 28.9393
59322.8 19.0150
59336.7 13.5266
59350.5 10.2763
59364.3 8.22214
59378.1 6.85639
59405.7 5.22833
59433.4 4.34971
59461.0 3.83624
59516.2 3.32394
59626.7 3.07055
59737.3 3.15652
