Cd-106(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3076.21 3.75785
3077.27 3.69432
3079.38 3.61314
3081.50 3.54942
3085.73 3.43447
3089.95 3.32287
3094.18 3.20937
3098.41 3.09190
3100.53 3.03256
3102.64 2.97821
3103.70 2.96047
3104.76 2.97168
3105.28 3.01657
3105.81 3.16716
3106.08 3.37686
3106.21 3.57619
3106.34 3.91677
3106.47 4.56443
3106.54 5.12917
3106.61 6.01574
3106.67 7.51162
3106.74 10.2872
3106.77 12.6204
3106.80 16.0983
3106.84 21.4283
3106.87 29.6170
3106.91 45.9044
3106.96 56.4575
3107.00 45.5693
3107.05 29.6782
3107.08 20.8972
3107.12 15.3995
3107.16 11.9297
3107.19 9.71268
3107.26 7.08227
3107.33 5.68957
3107.40 4.86318
3107.48 4.34797
3107.62 3.75669
3107.76 3.44116
3107.90 3.25461
3108.19 3.04998
3108.76 2.87742
3109.33 2.79915
3110.46 2.71167
3111.60 2.64904
3113.88 2.53660
3116.16 2.42110
3120.72 2.15482
3125.27 1.81360
3127.55 1.60272
3129.83 1.35791
3132.11 1.07794
3134.38 0.782302
3135.52 0.655379
3136.66 0.587620
3137.23 0.601620
3137.80 0.673890
3138.37 0.840690
3138.94 1.16253
3139.22 1.41317
3139.51 1.74932
3139.79 2.19972
3140.08 2.80245
3140.36 3.61983
3140.65 4.73570
3140.93 6.27945
3141.22 8.44357
3141.50 11.5674
3141.79 16.1917
3142.07 23.2853
3142.36 34.6200
3142.64 53.9426
3142.93 89.1057
3143.07 118.000
3143.21 159.288
3143.35 219.560
3143.49 307.366
3143.73 527.251
3143.97 706.860
3144.21 606.133
3144.45 403.674
3144.63 288.970
3144.82 213.029
3145.00 162.836
3145.19 128.713
3145.56 87.2563
3145.92 64.2114
3146.29 50.0191
3146.66 40.6485
3147.40 29.3459
3148.14 22.9390
3148.88 18.9086
3149.62 16.1720
3150.36 14.2092
3151.84 11.6047
3153.32 9.97185
3154.80 8.85965
3156.28 8.05643
3159.23 6.97463
3162.19 6.27993
3165.15 5.79408
3168.10 5.43315
3174.02 4.92646
3179.93 4.57999
3191.76 4.11315
3203.59 3.78522
3215.42 3.51598
3239.08 3.02346
3262.74 2.46620
3274.57 2.11466
3286.39 1.67513
3292.31 1.40900
3298.22 1.10480
3304.14 0.763052
3310.05 0.411425
3313.01 0.266366
3314.49 0.217796
3315.97 0.198335
3317.45 0.224684
3318.92 0.323334
3319.66 0.412487
3320.40 0.537745
3321.14 0.709351
3321.88 0.940731
3322.62 1.25035
3323.36 1.66182
3324.10 2.21003
3324.84 2.94082
3325.58 3.92395
3326.32 5.25577
3327.06 7.08586
3327.80 9.64356
3328.54 13.3017
3329.28 18.6624
3330.01 26.7980
3330.75 39.6836
3331.49 61.2571
3332.23 99.7577
3332.97 173.951
3333.34 236.177
3333.71 324.659
3335.03 756.092
3335.48 718.838
3335.59 693.137
3335.70 669.129
3335.81 659.271
3335.87 671.162
3335.92 709.390
3335.98 776.673
3336.03 816.680
3336.08 741.059
3336.13 638.842
3336.19 567.914
3336.24 521.697
3336.29 487.980
3336.34 462.194
3336.43 427.546
3336.51 399.399
3336.68 352.943
3337.02 282.135
3337.36 230.327
3337.70 191.541
3338.39 138.685
3339.07 105.799
3339.75 84.0229
3340.43 68.9163
3341.79 49.7932
3343.15 38.5137
3344.52 31.2501
3347.24 22.6370
3349.97 17.8138
3352.69 14.7782
3355.42 12.7056
3358.14 11.2040
3363.59 9.16912
3369.04 7.84152
3371.77 7.33438
3374.49 6.91384
3375.86 6.75008
3376.54 6.69318
3377.22 6.67276
3377.90 6.73852
3378.24 6.84843
3378.58 7.07959
3378.92 7.60095
3379.09 8.11216
3379.26 9.00349
3379.43 10.7535
3379.52 12.3079
3379.60 14.8029
3379.69 19.1469
3379.77 27.6033
3379.82 35.1833
3379.86 46.7760
3379.90 66.1857
3379.94 97.8800
3379.99 152.867
3380.04 189.900
3380.09 153.028
3380.14 98.0784
3380.19 61.4284
3380.24 41.5567
3380.29 30.3123
3380.34 23.5271
3380.40 19.1773
3380.45 16.2424
3380.55 12.6714
3380.65 10.6579
3380.75 9.43498
3380.96 8.06894
3381.16 7.35564
3381.37 6.93508
3381.78 6.46853
3382.18 6.21634
3382.59 6.05378
3383.41 5.84152
3384.23 5.69193
3385.05 5.56877
3386.68 5.35715
3389.95 4.98568
3393.22 4.63809
3399.76 3.94771
3406.30 3.19693
3412.85 2.30251
3416.12 1.77610
3419.39 1.20569
3422.66 0.697732
3423.48 0.625460
3424.29 0.607073
3425.11 0.676754
3425.93 0.891895
3426.34 1.08324
3426.75 1.35424
3427.15 1.73126
3427.56 2.25121
3427.97 2.96683
3428.38 3.95526
3428.79 5.33238
3429.20 7.27222
3429.61 10.0728
3430.02 14.2167
3430.43 20.5683
3430.83 30.7379
3431.24 48.1465
3431.65 80.4381
3431.86 107.404
3432.06 146.885
3432.26 206.308
3432.47 296.118
3433.06 651.707
3433.21 633.303
3433.35 551.784
3433.65 351.608
3433.90 231.322
3434.15 156.134
3434.40 108.924
3434.65 78.1773
3434.90 57.0667
3435.15 42.0983
3435.40 31.0574
3435.65 22.8444
3435.90 16.7651
3436.14 12.6823
3436.27 11.4455
3436.39 10.8709
3436.52 11.1252
3436.64 12.4567
3436.71 13.6667
3436.77 15.2973
3436.83 17.4912
3436.89 20.2903
3436.96 23.9289
3437.02 28.4709
3437.14 41.3864
3437.27 61.9795
3437.39 94.7016
3437.52 146.814
3437.64 227.780
3437.85 447.088
3437.96 564.342
3438.06 631.197
3438.27 561.235
3438.48 404.461
3438.71 281.759
3438.93 207.548
3439.16 161.299
3439.38 130.825
3439.84 94.1947
3440.29 73.5732
3440.74 60.4934
3441.19 51.5517
3442.10 40.1451
3443.00 33.1949
3443.91 28.5337
3445.72 22.6731
3447.53 19.1441
3449.33 16.7875
3452.95 13.8374
3456.57 12.0631
3460.19 10.8757
3467.42 9.37873
3474.66 8.46528
3481.90 7.84335
3496.37 7.03819
3510.84 6.52825
3525.31 6.16842
3554.26 5.67910
3583.20 5.34687
3612.14 5.09354
3626.62 4.98447
3641.09 4.88362
3648.32 4.83634
3655.56 4.79329
3659.18 4.77652
3662.80 4.77264
3664.61 4.78813
3666.41 4.85259
3667.32 4.95060
3667.77 5.04948
3668.22 5.22872
3668.68 5.60303
3668.90 5.96205
3669.13 6.58791
3669.35 7.82510
3669.47 8.95343
3669.58 10.8146
3669.69 14.1969
3669.75 17.0505
3669.81 21.2670
3669.86 28.0985
3669.92 39.5248
3669.98 60.9098
3670.03 101.750
3670.08 159.718
3670.13 198.775
3670.18 159.723
3670.23 101.753
3670.27 69.3140
3670.32 49.0566
3670.36 36.4996
3670.40 28.5618
3670.48 19.3098
3670.56 14.4866
3670.65 11.6604
3670.73 9.90937
3670.90 7.92089
3671.06 6.87580
3671.23 6.26692
3671.56 5.61621
3671.90 5.29501
3672.23 5.11285
3672.89 4.92368
3673.56 4.83099
3674.23 4.77783
3675.56 4.71978
3678.22 4.66661
3680.88 4.63664
3686.20 4.59294
3691.53 4.55499
3702.18 4.48207
3712.83 4.40815
3734.12 4.24785
3755.42 4.05448
3776.72 3.79116
3787.36 3.60788
3798.01 3.35900
3803.34 3.19462
3808.66 2.98879
3813.98 2.72170
3819.31 2.35992
3821.97 2.12685
3824.63 1.84629
3827.29 1.50780
3829.96 1.11085
3831.29 0.903636
3832.62 0.720113
3833.95 0.629508
3834.62 0.669557
3835.28 0.824286
3835.95 1.18213
3836.28 1.48450
3836.61 1.90903
3836.94 2.50656
3837.28 3.34748
3837.61 4.54013
3837.94 6.24753
3838.28 8.75258
3838.61 12.5111
3838.94 18.3364
3839.27 27.7165
3839.61 43.7539
3839.94 73.0298
3840.11 96.8975
3840.27 130.833
3840.44 179.981
3840.60 250.941
3840.89 436.767
3841.18 592.628
3841.47 513.388
3841.76 346.626
3842.10 218.119
3842.43 148.289
3842.59 126.742
3842.76 112.377
3842.84 108.464
3842.92 108.573
3842.97 111.469
3843.01 117.700
3843.05 129.660
3843.09 151.720
3843.14 191.554
3843.19 217.237
3843.23 186.417
3843.28 141.460
3843.32 118.008
3843.35 102.242
3843.42 84.0553
3843.50 74.0222
3843.57 67.5463
3843.71 59.1763
3843.85 53.5257
3844.14 45.6051
3844.42 39.9943
3844.99 32.2456
3845.56 27.1116
3846.70 20.7715
3847.83 17.0613
3848.97 14.6554
3850.11 12.9818
3852.38 10.8244
3854.66 9.50267
3856.94 8.61481
3861.49 7.50001
3866.04 6.82868
3870.59 6.37898
3875.14 6.05514
3879.69 5.80952
3888.79 5.45824
3897.90 5.21702
3902.45 5.12492
3907.00 5.05630
3909.28 5.04193
3911.55 5.07587
3912.69 5.15587
3913.26 5.24362
3913.83 5.40853
3914.40 5.76090
3914.68 6.10552
3914.96 6.71159
3915.11 7.20797
3915.25 7.93406
3915.39 9.06382
3915.53 10.9584
3915.68 14.4877
3915.75 17.5108
3915.82 22.1783
3915.89 29.8788
3915.96 43.7072
3916.03 71.2275
3916.07 95.6402
3916.10 130.689
3916.15 206.053
3916.21 256.395
3916.26 205.982
3916.31 130.589
3916.35 90.7624
3916.40 65.4122
3916.44 48.8252
3916.48 38.1525
3916.56 25.4967
3916.64 18.7909
3916.73 14.8579
3916.81 12.3684
3916.98 9.53715
3917.14 8.03651
3917.31 7.15320
3917.47 6.59003
3917.64 6.21093
3917.97 5.74191
3918.30 5.47557
3918.96 5.19661
3919.63 5.05831
3920.29 4.97768
3921.61 4.88742
3924.27 4.79972
3926.92 4.74719
3932.22 4.66929
3937.52 4.60379
3948.12 4.48698
3958.72 4.37929
3969.33 4.27561
3979.93 4.17351
3985.23 4.12370
3990.53 4.07884
3993.18 4.06383
3995.83 4.06998
3997.16 4.10134
3998.49 4.21025
3999.15 4.36667
3999.48 4.52069
3999.81 4.79474
4000.14 5.35448
4000.31 5.88149
4000.47 6.77441
4000.64 8.49297
4000.72 10.0102
4000.80 12.3915
4000.89 16.5399
4000.97 24.5234
4001.01 31.6026
4001.05 42.3061
4001.09 59.4465
4001.14 87.5226
4001.19 137.764
4001.23 170.566
4001.28 137.414
4001.33 87.0623
4001.38 54.9792
4001.43 36.8875
4001.48 26.5411
4001.53 20.2563
4001.58 16.2111
4001.63 13.4756
4001.73 10.1434
4001.83 8.28036
4001.93 7.13924
4002.13 5.87623
4002.33 5.23153
4002.53 4.85923
4002.93 4.46822
4003.33 4.27747
4003.73 4.16995
4004.53 4.05855
4006.13 3.97438
4007.73 3.94971
4009.33 3.96447
4010.13 3.99762
4010.93 4.07029
4011.73 4.23930
4012.13 4.41126
4012.53 4.72323
4012.73 4.98225
4012.93 5.37027
4013.13 5.98760
4013.33 7.05414
4013.53 9.13024
4013.63 10.9912
4013.73 14.0025
4013.83 19.3175
4013.93 29.9048
4013.98 39.4962
4014.03 54.9136
4014.08 81.0081
4014.13 126.283
4014.19 199.868
4014.24 249.165
4014.29 200.168
4014.34 126.676
4014.38 89.3369
4014.42 64.5239
4014.46 48.4441
4014.50 37.7168
4014.58 25.0276
4014.66 18.2861
4014.74 14.2373
4014.82 11.6615
4014.98 8.71738
4015.14 7.14811
4015.30 6.22532
4015.46 5.63066
4015.62 5.22950
4015.94 4.73275
4016.26 4.44858
4016.89 4.15010
4017.53 4.00129
4018.17 3.91413
4019.45 3.81590
4022.00 3.71848
4024.55 3.65701
4029.65 3.55557
4034.75 3.45538
4039.85 3.34738
4044.95 3.22863
4047.50 3.16663
4050.06 3.11093
4051.33 3.09681
4052.61 3.12606
4053.24 3.20016
4053.56 3.28241
4053.88 3.43620
4054.20 3.76172
4054.36 4.07487
4054.52 4.61135
4054.68 5.65476
4054.76 6.58265
4054.84 8.04628
4054.92 10.6137
4055.00 15.5081
4055.04 19.8490
4055.08 26.6128
4055.12 37.5850
4055.16 55.1941
4055.20 86.4814
4055.25 107.548
4055.30 86.5767
4055.34 55.3128
4055.38 37.6948
4055.42 26.9209
4055.46 20.0626
4055.50 15.7512
4055.58 10.7443
4055.66 8.16922
4055.74 6.65375
4055.82 5.71249
4055.97 4.63370
4056.13 4.06700
4056.29 3.73216
4056.60 3.37003
4056.91 3.18534
4057.23 3.07557
4057.86 2.95023
4059.11 2.82406
4060.37 2.74305
4062.88 2.60658
4065.39 2.46914
4070.42 2.15051
4075.44 1.73886
4077.95 1.48541
4080.47 1.19561
4082.98 0.875791
4085.49 0.569599
4086.75 0.468796
4088.00 0.475168
4088.32 0.507205
4088.63 0.557439
4089.26 0.731129
4089.89 1.04729
4090.51 1.59037
4090.83 1.98884
4091.14 2.50582
4091.77 4.05677
4092.40 6.74952
4092.71 8.81597
4093.03 11.6376
4093.34 15.5625
4093.65 21.1467
4093.97 29.3116
4094.28 41.6493
4094.60 61.0349
4094.91 92.8751
4095.22 147.503
4095.54 243.039
4095.90 423.882
4096.26 576.536
4096.63 500.354
4096.99 337.851
4097.23 257.372
4097.46 199.955
4097.93 129.875
4098.40 91.9524
4098.87 69.5874
