Sn-122(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
19050.9 7.27242
19065.0 6.84950
19079.0 6.53594
19107.1 6.10238
19135.3 5.81724
19163.4 5.61551
19191.5 5.46540
19247.8 5.25810
19275.9 5.18512
19304.0 5.12812
19332.1 5.08945
19346.2 5.08131
19360.2 5.08867
19374.3 5.13232
19381.3 5.18686
19388.4 5.29409
19391.9 5.38699
19395.4 5.52909
19398.9 5.76085
19402.4 6.16914
19405.9 6.98799
19407.7 7.74108
19409.4 8.98190
19411.2 11.2614
19412.1 13.1746
19413.0 16.0656
19413.8 20.6897
19414.7 28.6184
19415.6 43.3098
19416.5 71.4309
19417.2 111.669
19418.0 138.151
19418.8 111.595
19419.5 71.6065
19420.1 51.3070
19420.7 38.0873
19421.3 29.4528
19421.8 23.7373
19423.0 16.7832
19424.1 13.0515
19425.2 10.8091
19426.4 9.38647
19428.6 7.73872
19430.9 6.85599
19433.2 6.33105
19435.4 5.99340
19437.7 5.76397
19442.2 5.47755
19446.8 5.31231
19451.3 5.20700
19455.8 5.13534
19464.9 5.04481
19474.0 4.99017
19492.1 4.92600
19510.2 4.88723
19528.4 4.85932
19564.7 4.81820
19600.9 4.78650
19637.2 4.75974
19709.8 4.71463
19782.3 4.67610
19854.9 4.64121
20000.0 4.57499
20158.0 4.49441
20237.0 4.44243
