Zn-66(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
15622.8 16.8684
15625.1 16.9356
15627.3 17.1858
15628.4 17.5510
15629.0 17.9113
15629.5 18.5492
15630.1 19.8287
15630.4 21.0085
15630.7 22.9729
15630.9 26.5871
15631.1 29.6396
15631.2 34.2820
15631.4 41.7751
15631.5 54.7914
15631.6 79.3686
15631.8 125.935
15631.9 190.251
15632.0 235.799
15632.1 190.664
15632.2 126.444
15632.4 82.3165
15632.5 59.1689
15632.6 45.9110
15632.7 37.8362
15632.8 32.6239
15633.0 29.0893
15633.2 24.7674
15633.5 22.2621
15633.7 20.7951
15634.2 19.1554
15634.7 18.2944
15635.1 17.8034
15636.1 17.2764
15638.0 16.8502
15640.0 16.6745
15643.8 16.5057
15647.7 16.4064
15655.5 16.2591
15663.2 16.1319
15694.2 15.6690
15756.1 14.8231
15818.0 14.0521
15848.9 13.6909
15864.4 13.5165
15872.2 13.4334
15876.0 13.4035
15878.0 13.4310
15878.9 13.5956
15879.4 14.1318
15879.7 15.4665
15879.8 17.8079
15879.8 20.5462
15879.9 27.1284
15880.0 35.4377
15880.0 40.8207
15880.1 35.4720
15880.1 27.0355
15880.2 19.9893
15880.3 17.2442
15880.4 15.0927
15880.7 13.9587
15881.2 13.5159
15882.4 13.3693
15884.6 13.3065
15889.2 13.2471
15898.2 13.1469
15916.3 12.9546
15952.5 12.5841
16024.8 11.8906
16169.5 10.6621
16458.9 8.65262
16748.3 6.92150
16820.7 6.44696
16893.0 5.85358
16929.2 5.43493
16947.3 5.15479
16965.4 4.78537
16983.5 4.25058
16992.5 3.87126
17001.6 3.36296
17010.6 2.64304
17015.1 2.16464
17019.7 1.58563
17024.2 0.933554
17026.4 0.645603
17028.7 0.523519
17029.8 0.618808
17031.0 0.929204
17032.1 1.62609
17032.7 2.21863
17033.2 3.03916
17033.8 4.21354
17034.4 5.83860
17034.9 8.18240
17035.5 11.4718
17036.1 16.3052
17036.6 23.2256
17037.2 33.5574
17037.7 48.3609
17038.9 96.8810
17040.0 148.539
17040.6 153.684
17041.1 143.054
17042.3 106.014
17043.1 82.6036
17044.0 65.7854
17044.8 53.9314
17045.7 45.5201
17047.4 34.5065
17049.0 27.9574
17050.7 23.6726
17052.4 20.7198
17055.8 16.9294
17059.2 14.6350
17062.6 13.1084
17069.4 11.2153
17076.2 10.0866
17082.9 9.33764
17096.5 8.39630
17110.0 7.82024
17123.6 7.42361
17150.7 6.89607
17177.8 6.54603
17204.9 6.29440
17218.4 6.20503
17225.2 6.17697
17232.0 6.17242
17238.8 6.22283
17242.2 6.29719
17245.5 6.44919
17247.2 6.58317
17248.9 6.78793
17250.6 7.12189
17252.3 7.70276
17254.0 8.84954
17254.9 9.88241
17255.7 11.5325
17256.6 14.4728
17257.4 20.2231
17257.8 25.5290
17258.2 33.8146
17258.7 47.6422
17259.1 71.1511
17259.5 110.461
17260.0 136.781
17260.5 110.752
17260.9 71.5149
17261.3 51.0986
17261.6 37.9442
17262.0 29.4354
17262.3 23.7646
17263.0 17.0603
17263.7 13.5030
17264.4 11.3601
17265.1 10.0112
17266.5 8.44056
17267.9 7.60364
17269.3 7.10443
17272.1 6.55988
17274.8 6.28024
17277.6 6.11378
17283.2 5.92499
17288.7 5.81687
17294.3 5.74254
17305.4 5.63637
17316.6 5.55450
17327.7 5.48359
17338.8 5.41902
17344.4 5.38990
17347.1 5.38203
17348.5 5.40173
17349.2 5.49334
17349.6 5.78282
