Gd-156(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
424.104 0.0844323
424.892 0.109659
425.286 0.134390
425.680 0.178960
426.074 0.272599
426.271 0.364253
426.468 0.527981
426.567 0.663349
426.665 0.865868
426.764 1.18888
426.862 1.75068
426.961 2.85919
427.010 3.87027
427.059 5.53314
427.109 8.55801
427.133 11.0757
427.158 14.8572
427.183 20.8917
427.207 31.1096
427.232 49.8095
427.244 64.8613
427.256 85.6367
427.267 109.752
427.278 137.073
427.300 171.403
427.322 137.075
427.344 85.6354
427.367 51.0647
427.391 32.4568
427.414 22.0524
427.438 15.8288
427.461 11.8654
427.484 9.20549
427.531 5.98899
427.578 4.20266
427.625 3.11301
427.718 1.91111
427.812 1.29940
427.906 0.946842
427.999 0.725499
428.093 0.577710
428.280 0.398550
428.467 0.298472
428.841 0.196756
429.216 0.148990
429.590 0.123091
430.339 0.0980541
431.836 0.0831983
433.333 0.0823448
436.328 0.0957999
439.323 0.128249
442.317 0.200763
443.815 0.273410
445.312 0.405795
446.061 0.517226
446.810 0.687258
447.558 0.965682
448.307 1.46905
448.681 1.88973
449.056 2.52670
449.430 3.55903
449.524 3.91775
449.617 4.33418
449.711 4.82136
449.804 5.39561
449.898 6.08050
449.991 6.90546
450.085 7.91136
450.179 9.15517
450.272 10.7181
450.366 12.7190
450.459 15.3376
450.553 18.8512
450.647 23.7286
450.740 30.7639
450.834 41.4302
450.927 58.6604
451.021 89.0966
451.068 113.758
451.114 149.771
451.161 204.806
451.208 293.404
451.255 443.692
451.302 703.790
451.351 1126.74
451.400 1409.31
451.449 1128.18
451.499 705.566
451.548 432.314
451.598 280.317
451.647 192.996
451.697 139.757
451.747 105.389
451.796 82.0913
451.895 53.6338
451.995 37.6616
452.094 27.8667
452.292 16.9962
452.491 11.4296
452.689 8.21132
452.888 6.18452
453.086 4.82800
453.483 3.18120
453.880 2.25853
454.277 1.69053
454.674 1.31647
455.468 0.870571
456.261 0.625743
457.055 0.477736
457.849 0.382156
459.437 0.272469
461.024 0.217787
464.199 0.183459
467.375 0.216920
468.962 0.270603
470.550 0.378119
471.344 0.471647
472.137 0.616277
472.931 0.855167
473.725 1.28958
474.122 1.65358
474.519 2.20581
474.916 3.10204
475.114 3.77600
475.213 4.19968
475.313 4.69990
475.412 5.29689
475.511 6.01574
475.610 6.89286
475.660 7.40567
475.709 7.97826
475.809 9.34489
475.908 11.0948
476.007 13.3879
476.106 16.4735
476.206 20.7665
476.305 26.9701
476.404 36.4085
476.503 51.7520
476.553 63.2776
476.602 79.0362
476.652 101.312
476.702 134.086
476.751 184.673
476.801 267.236
476.850 409.972
476.900 663.683
476.950 1061.80
477.000 1327.15
477.050 1061.66
477.100 663.522
477.132 484.829
477.164 361.275
477.227 215.843
477.290 140.690
477.354 98.1901
477.417 72.0889
477.481 55.0723
477.608 35.0390
477.734 24.1905
477.861 17.6913
478.115 10.6324
478.369 7.09190
478.622 5.07256
478.876 3.81469
479.130 2.98066
479.637 1.98883
480.145 1.48348
480.398 1.37020
480.652 1.42874
480.779 1.63767
480.906 2.27124
480.969 3.07384
481.001 3.78603
481.033 4.91810
481.064 6.85499
481.096 10.5148
481.112 13.6577
481.128 18.3907
481.144 25.8449
481.160 37.4974
481.180 59.5187
481.200 74.0722
481.220 59.3694
481.241 37.4525
481.253 27.6293
481.266 20.8425
481.291 12.8054
481.317 8.61638
481.342 6.24170
481.368 4.77336
481.393 3.81414
481.444 2.67624
481.495 2.05155
481.546 1.67177
481.647 1.24660
481.851 0.882548
482.054 0.719633
482.461 0.556283
482.868 0.464537
483.682 0.353040
484.495 0.283953
486.123 0.202146
487.750 0.156965
491.005 0.115423
492.633 0.117498
493.039 0.128502
493.446 0.162378
493.650 0.209029
493.751 0.254264
493.853 0.333735
493.955 0.492505
494.006 0.639052
494.057 0.883081
494.107 1.33516
494.133 1.71863
494.158 2.30561
494.184 3.26720
494.209 4.95878
494.235 8.23469
494.247 11.0164
494.260 15.0223
494.280 23.9990
494.300 29.9423
494.320 23.9522
494.340 15.0233
494.362 8.84186
494.384 5.59406
494.407 3.80238
494.429 2.74056
494.451 2.06876
494.473 1.62003
494.517 1.07993
494.561 0.780797
494.606 0.599339
494.694 0.399617
494.782 0.298029
494.871 0.239572
495.048 0.178263
495.401 0.131633
495.755 0.114443
497.170 0.0979176
500.000 0.102237
503.897 0.140137
505.845 0.183668
507.794 0.266141
508.768 0.336709
509.742 0.445232
510.717 0.624026
511.691 0.949010
512.178 1.22151
512.665 1.63538
513.152 2.30821
513.396 2.81501
513.517 3.13413
513.639 3.51092
513.761 3.96093
513.883 4.50395
514.005 5.16746
514.065 5.55583
514.126 5.98909
514.187 6.47608
514.248 7.02512
514.370 8.35585
514.492 10.1043
514.613 12.4623
514.735 15.7548
514.857 20.5416
514.979 27.8754
515.100 39.9024
515.161 49.0287
515.222 61.6169
515.283 79.6127
515.344 106.485
515.405 148.805
515.466 219.844
515.527 347.626
515.557 448.638
515.588 586.231
515.644 938.185
515.700 1171.99
515.756 937.003
515.813 585.780
515.877 336.287
515.942 208.194
516.007 138.861
516.072 98.4165
516.136 73.0427
516.201 56.2443
516.331 36.1559
516.460 25.1291
516.590 18.4548
516.848 11.1471
517.107 7.45025
517.366 5.32825
517.625 3.99956
517.884 3.11346
518.402 2.04159
518.920 1.44317
519.438 1.07545
519.956 0.833464
520.992 0.544821
522.028 0.385783
523.064 0.288891
524.099 0.225508
526.171 0.150291
528.243 0.108998
530.315 0.0838757
532.386 0.0674469
536.530 0.0480073
540.673 0.0376432
