17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
2.253390e-02 5.14415903e+01
2.265000e-02 5.13518310e+01
2.292910e-02 5.11360589e+01
2.305500e-02 5.10386236e+01
2.332420e-02 5.08375734e+01
2.371940e-02 5.05424969e+01
2.411450e-02 5.02575724e+01
2.450970e-02 4.99820419e+01
2.464740e-02 4.98860169e+01
2.530000e-02 4.94430271e+01
2.604130e-02 4.89626933e+01
2.678260e-02 4.85023600e+01
2.752380e-02 4.80606640e+01
2.826510e-02 4.76363925e+01
2.838750e-02 4.75692054e+01
2.900640e-02 4.72292428e+01
2.904750e-02 4.72066698e+01
2.974770e-02 4.68358057e+01
3.048890e-02 4.64575207e+01
3.123020e-02 4.60927208e+01
3.147500e-02 4.59766807e+01
3.197150e-02 4.57414796e+01
3.201340e-02 4.57216516e+01
3.271280e-02 4.54036831e+01
3.294260e-02 4.52992132e+01
3.345400e-02 4.50726294e+01
3.419530e-02 4.47549092e+01
3.456250e-02 4.46024554e+01
3.493660e-02 4.44472652e+01
3.567790e-02 4.41492427e+01
3.641910e-02 4.38603115e+01
3.716040e-02 4.35800925e+01
3.765000e-02 4.34004326e+01
3.790170e-02 4.33081523e+01
3.864300e-02 4.30442032e+01
3.938420e-02 4.27878301e+01
4.012550e-02 4.25404725e+01
4.044170e-02 4.24350262e+01
4.073750e-02 4.23398263e+01
4.086680e-02 4.22982665e+01
4.160810e-02 4.20598485e+01
4.234930e-02 4.18315824e+01
4.262250e-02 4.17474643e+01
4.309060e-02 4.16083164e+01
4.382500e-02 4.13899054e+01
4.383190e-02 4.13878535e+01
4.457320e-02 4.11772394e+01
4.510590e-02 4.10259104e+01
4.531440e-02 4.09685952e+01
4.605570e-02 4.07649511e+01
4.753830e-02 4.03741027e+01
4.902080e-02 4.00010580e+01
5.000000e-02 3.97661330e+01
5.050340e-02 3.96455087e+01
5.060000e-02 3.96224168e+01
5.198590e-02 3.93037299e+01
5.346850e-02 3.89771030e+01
5.495100e-02 3.86638099e+01
