Ta-181(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
103.491 121.935
103.506 193.582
103.520 241.291
103.534 193.573
103.549 121.938
103.564 73.6540
103.579 47.6590
103.595 33.1286
103.610 24.4872
103.640 15.2532
103.671 10.7792
103.701 8.30170
103.732 6.81045
103.793 5.20302
103.915 4.04134
104.037 3.77848
104.281 4.18942
104.525 5.56949
104.647 6.82623
104.770 8.77307
104.892 11.9587
105.014 17.6371
105.075 22.2952
105.136 29.1923
105.197 40.0569
105.227 47.9688
105.258 58.5232
105.289 73.0859
105.319 93.7939
105.350 124.707
105.380 173.646
105.411 257.325
105.426 323.241
105.441 415.953
105.456 552.877
105.472 760.147
105.487 1088.96
105.502 1606.66
105.521 2556.58
105.540 3184.04
105.559 2555.86
105.578 1605.86
105.597 1003.79
105.615 659.751
105.634 458.514
105.652 334.803
105.670 253.698
105.689 198.619
105.726 130.625
105.763 92.1381
105.800 68.4711
105.873 42.0823
105.947 28.4994
106.021 20.6303
106.095 15.6639
106.169 12.3306
106.316 8.27103
106.464 5.98875
106.612 4.57650
106.759 3.64246
107.055 2.51959
107.350 1.89499
107.941 1.26064
108.531 0.966176
109.122 0.816093
110.303 0.727259
111.484 0.856359
112.075 1.05055
112.666 1.43638
112.961 1.77075
113.256 2.28584
113.552 3.13264
113.847 4.66218
113.995 5.93577
114.142 7.85407
114.290 10.9418
114.437 16.3725
114.511 20.7922
114.585 27.2964
114.659 37.4425
114.733 54.5309
114.807 86.6566
114.844 114.370
114.880 157.520
114.917 229.571
114.954 361.322
114.973 470.866
114.991 631.105
115.010 873.984
115.028 1238.26
115.054 1982.44
115.080 2478.87
115.106 1981.67
115.132 1237.45
115.157 778.960
115.181 514.967
115.206 359.413
115.231 262.818
115.280 156.356
115.330 103.048
115.379 72.7762
115.428 54.0985
115.527 33.2116
115.626 22.4495
115.724 16.2096
115.823 12.2727
115.922 9.63296
116.119 6.42710
116.317 4.63701
116.514 3.54467
116.712 2.83995
117.106 2.07201
117.501 1.89332
117.699 2.14048
117.797 2.47106
117.896 3.11697
117.995 4.49971
118.044 5.82912
118.094 8.11471
118.143 12.5316
118.168 16.4464
118.192 22.6699
118.217 33.4793
118.242 54.3644
118.254 72.7715
118.266 101.154
118.279 146.988
118.291 221.876
118.298 284.076
118.306 355.193
118.320 443.339
118.335 354.161
118.349 221.798
118.365 131.478
118.381 83.5608
