In-113(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
107.238 12.1297
107.261 9.92160
107.285 8.82986
107.308 8.24933
107.331 7.90858
107.378 7.54036
107.424 7.34682
107.518 7.13595
107.611 7.00830
107.983 6.69376
108.729 6.29772
110.219 5.81854
111.710 5.52248
113.200 5.31049
114.691 5.14130
116.181 4.99311
117.672 4.85329
118.417 4.79137
118.790 4.79077
118.883 4.81446
118.976 4.88551
119.023 4.97327
119.069 5.16628
119.093 5.35785
119.116 5.69561
119.139 6.34597
119.163 7.67023
119.181 9.45117
119.200 10.6292
119.219 9.43823
119.238 7.66402
119.260 6.34706
119.283 5.69424
119.306 5.35011
119.329 5.15254
119.375 4.94728
119.420 4.84861
119.512 4.75788
119.603 4.71593
119.969 4.64873
120.700 4.60801
121.066 4.63378
121.431 4.73996
121.797 5.05809
121.980 5.43813
122.071 5.82759
122.117 6.24321
122.163 7.37938
122.200 8.99432
122.238 7.74282
122.266 7.16668
122.295 7.04102
122.352 7.25640
122.467 8.41583
122.582 10.5418
122.696 14.5139
122.811 22.8740
122.868 30.8615
122.926 44.4941
122.954 55.1991
122.983 70.3736
123.012 92.7700
123.040 127.382
123.069 184.793
123.098 287.259
123.112 370.798
123.126 490.000
123.141 664.250
123.155 918.427
123.178 1497.18
123.200 1906.17
123.223 1546.03
123.245 979.256
123.266 628.244
123.287 424.330
123.308 302.549
123.330 226.018
123.372 140.276
123.414 96.5922
123.456 71.3688
123.499 55.5683
123.583 37.5219
123.668 27.9596
123.752 22.2525
123.837 18.5538
123.921 16.0072
124.090 12.7982
124.259 10.9067
124.428 9.68465
124.597 8.84190
124.935 7.77004
125.273 7.12734
125.611 6.70320
125.949 6.40390
126.625 6.00992
127.301 5.76112
127.977 5.58769
128.652 5.45784
130.004 5.27071
130.680 5.19975
131.356 5.14239
132.032 5.11071
132.370 5.12016
132.708 5.17662
132.877 5.24352
133.046 5.36369
133.215 5.58694
133.384 6.03221
133.468 6.42569
133.553 7.04056
133.637 8.06059
133.722 9.89954
133.806 13.6457
133.849 17.1291
133.891 22.9184
133.933 33.5283
133.954 42.3701
133.975 55.6215
133.997 76.5320
134.018 111.614
134.039 174.468
134.049 224.286
134.060 291.326
134.080 470.219
134.100 595.363
134.120 484.096
134.140 308.665
134.156 212.410
134.172 151.388
134.189 112.460
134.205 86.9010
134.237 56.7802
134.269 40.6853
134.301 31.1320
134.333 25.0472
134.397 17.9959
134.462 14.2051
134.526 11.9312
134.590 10.4519
134.654 9.43151
134.783 8.14402
134.911 7.38592
135.040 6.89697
135.168 6.56040
135.425 6.13302
135.682 5.87701
135.939 5.70781
136.196 5.58801
136.710 5.42906
137.224 5.32721
138.251 5.20039
139.279 5.12050
140.307 5.06262
141.335 5.01768
141.849 5.00175
141.977 5.00093
142.106 5.00635
142.170 5.01631
142.234 5.04222
142.266 5.07112
142.298 5.12813
142.330 5.25765
142.347 5.38670
142.363 5.59776
142.381 5.97040
142.400 6.21687
142.419 5.96710
142.438 5.59531
142.458 5.34355
142.478 5.20837
142.518 5.08657
142.558 5.03706
142.598 5.01236
142.678 4.98874
142.758 4.97731
143.078 4.95705
143.719 4.93417
144.359 4.91478
145.000 4.89744
145.640 4.88430
145.961 4.88222
146.281 4.88876
146.601 4.91961
146.761 4.95940
146.922 5.04112
147.002 5.11435
147.082 5.22963
147.162 5.42202
147.242 5.77000
147.322 6.48242
147.362 7.14457
147.402 8.24881
147.442 10.2761
147.462 11.9674
147.482 14.5045
147.502 18.5118
147.522 25.2425
147.542 37.3166
147.562 59.7933
147.581 94.1062
147.600 118.132
147.619 96.9166
147.638 63.3077
147.650 48.1835
147.662 37.5516
147.686 24.8460
147.709 18.1712
147.733 14.3336
147.757 11.9496
147.781 10.3742
147.828 8.49091
147.876 7.45057
147.924 6.81438
148.019 6.10542
148.114 5.73578
148.209 5.51682
148.304 5.37516
148.399 5.27749
148.590 5.15326
148.780 5.07873
149.161 4.99424
149.541 4.94722
149.922 4.91654
150.683 4.87690
151.445 4.85035
152.206 4.82983
153.729 4.79751
156.774 4.74766
159.819 4.70605
165.910 4.63216
172.000 4.56083
178.091 4.48353
184.181 4.38887
187.226 4.32843
190.272 4.25186
191.794 4.20409
193.317 4.14706
194.078 4.11480
194.840 4.08389
195.220 4.07684
195.411 4.08215
195.601 4.10396
195.791 4.17006
195.886 4.24535
195.982 4.38981
196.077 4.70129
