Se-76(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
5267.53 0.0619554
5270.27 0.0647541
5273.02 0.0677531
5275.76 0.0709717
5278.51 0.0744318
5284.00 0.0821777
5289.50 0.0912299
5294.99 0.101892
5300.48 0.114570
5305.97 0.129792
5311.47 0.148285
5316.96 0.171031
5322.45 0.199420
5327.94 0.235434
5333.43 0.281992
5338.93 0.343460
5344.42 0.426648
5349.91 0.542354
5355.40 0.708364
5360.90 0.954125
5366.39 1.32765
5371.88 1.89608
5379.44 3.03027
5387.00 3.78096
5394.56 3.01929
5402.12 1.88551
5410.13 1.12853
5418.15 0.719154
5426.16 0.489425
5434.18 0.351683
5442.19 0.263806
5450.20 0.204764
5466.23 0.133303
5482.26 0.0935869
5498.29 0.0693589
5530.34 0.0426468
5562.40 0.0290743
5594.45 0.0212755
5626.51 0.0164029
5658.56 0.0131709
5722.67 0.00932903
5786.78 0.00728979
5915.00 0.00562642
6043.22 0.00583073
6107.33 0.00674371
6171.44 0.00871799
6235.55 0.0131455
6267.61 0.0175375
6299.66 0.0253738
6331.72 0.0413718
6347.74 0.0564669
6355.76 0.0675174
6363.77 0.0823117
6367.78 0.0916635
6371.78 0.102746
6373.79 0.109073
6375.79 0.116011
6377.80 0.123645
6379.80 0.132065
6381.80 0.141389
6383.81 0.151741
6385.81 0.163287
6387.81 0.176202
6391.82 0.207111
6395.83 0.246896
6399.83 0.299258
6403.84 0.369929
6407.85 0.468205
6411.85 0.609755
6415.86 0.822150
6419.87 1.15573
6423.87 1.70294
6427.88 2.61375
6432.44 4.17969
6437.00 5.22020
6441.56 4.17207
6446.12 2.60643
6451.51 1.47580
6456.91 0.904937
6462.30 0.600405
6467.69 0.424092
6473.09 0.314321
6478.48 0.241881
6489.27 0.155728
6500.06 0.108661
6510.84 0.0802721
6532.42 0.0493071
6553.99 0.0337382
6575.56 0.0248643
6618.71 0.0157488
6661.86 0.0115373
6705.01 0.00942478
6791.30 0.00819359
6877.60 0.00983629
6920.74 0.0122625
6963.89 0.0169729
7007.04 0.0269798
7028.61 0.0365762
7050.19 0.0531568
7060.97 0.0663518
7066.37 0.0749495
7071.76 0.0853825
7074.46 0.0914552
7077.15 0.0982114
7079.85 0.105756
7082.55 0.114213
7085.24 0.123740
7087.94 0.134518
7090.64 0.146774
7093.33 0.160780
7096.03 0.176893
7098.73 0.195540
7101.42 0.217270
7104.12 0.242774
7109.51 0.309048
7114.91 0.405570
7120.30 0.552602
7125.69 0.788167
7128.39 0.959978
7131.09 1.18521
7133.78 1.48188
7136.48 1.86867
7142.24 2.98789
7148.00 3.73110
7150.88 3.50954
7153.76 2.98165
7159.52 1.86263
7164.67 1.20373
7169.83 0.811898
7174.98 0.574845
7180.13 0.424812
7190.44 0.256349
7200.74 0.170402
7211.05 0.121191
7221.35 0.0905485
7241.96 0.0560930
7262.57 0.0382317
7283.18 0.0278115
7303.79 0.0212091
7324.40 0.0167642
7365.62 0.0113329
7406.84 0.00826267
7448.06 0.00635586
7489.27 0.00508866
7571.71 0.00355793
7654.15 0.00270205
7819.03 0.00183882
7983.90 0.00148362
8148.78 0.00148326
8231.22 0.00174695
8272.44 0.00206102
8313.66 0.00267009
8354.88 0.00401562
8375.49 0.00537275
8396.10 0.00785884
8406.40 0.00995756
8416.71 0.0131647
8427.01 0.0184206
8437.32 0.0279239
8442.47 0.0358607
8447.62 0.0478683
8452.77 0.0672981
8457.93 0.101784
8460.50 0.130067
8463.08 0.172083
8465.65 0.238397
8468.23 0.351976
8470.81 0.570700
8471.45 0.657220
8472.09 0.764793
8472.74 0.900736
8473.38 1.07578
8474.03 1.30613
8474.35 1.44943
8474.67 1.61704
8474.99 1.81461
8475.31 2.04943
8475.96 2.67222
8476.60 3.60671
8477.25 5.07428
8477.57 6.12484
8477.89 7.48153
8478.21 9.23772
8478.53 11.4892
8479.27 18.3812
8480.00 22.9738
8480.37 21.6177
8480.73 18.3772
8481.47 11.4854
8481.97 8.17092
8482.48 5.95186
8482.99 4.46161
8483.49 3.44209
8484.51 2.19987
8485.52 1.51483
8486.53 1.10229
8487.54 0.836326
8489.57 0.527292
8491.60 0.361966
8493.62 0.263651
8495.65 0.200506
8497.67 0.157625
8501.72 0.104786
8505.77 0.0747320
8509.82 0.0560308
8513.88 0.0436119
8521.98 0.0286655
8530.08 0.0203578
8538.18 0.0152690
8546.28 0.0119279
8562.49 0.00795190
8578.69 0.00576591
8594.90 0.00443608
8611.10 0.00356682
8643.51 0.00253592
8675.92 0.00197005
8740.73 0.00140011
8805.55 0.00113259
8870.37 0.000987202
9000.00 0.000851393
9000.00 0.212853
10000.0 0.201000
12500.0 0.175262
15000.0 0.155698
17000.0 0.143847
20000.0 0.129102
25000.0 0.110074
30000.0 0.0967873
35000.0 0.0872119
40000.0 0.0795103
50000.0 0.0684328
60000.0 0.0607691
70000.0 0.0557378
80000.0 0.0518916
99999.9 0.0467293
100000 0.0468343
150000 0.0407644
200000 0.0386452
250000 0.0381103
300000 0.0383134
500000 0.0409597
566528 0.0418931
633264 0.0287595
700000 0.0205023
750000 0.0195689
800000 0.0187342
850000 0.0184500
900000 0.0181860
950000 0.0182136
1.00000E+06 0.0182399
1.06861E+06 0.0186403
1.13721E+06 0.0190238
1.13721E+06 0.0190238
1.18474E+06 0.0191020
1.23226E+06 0.0191774
1.25000E+06 0.0181152
1.29929E+06 0.0172890
1.34858E+06 0.0165291
1.34858E+06 0.0165290
1.42429E+06 0.0149959
1.50000E+06 0.0136738
1.55286E+06 0.0136012
1.60572E+06 0.0135313
1.65858E+06 0.0134641
1.71144E+06 0.0133993
1.71144E+06 0.0133993
1.75000E+06 0.0130701
1.81135E+06 0.0128876
1.81135E+06 0.0128876
1.85851E+06 0.0126447
1.90568E+06 0.0124123
1.95284E+06 0.0121897
2.00000E+06 0.0119763
2.05292E+06 0.0119686
2.10419E+06 0.0118151
2.15546E+06 0.0116671
2.15546E+06 0.0116671
2.19934E+06 0.0114388
2.21518E+06 0.0113953
2.21519E+06 0.0113953
2.29236E+06 0.0111898
2.39429E+06 0.0111619
2.39430E+06 0.0111619
2.46137E+06 0.0110771
2.46137E+06 0.0110771
2.52166E+06 0.0108365
2.52167E+06 0.0108365
2.54811E+06 0.0106652
2.54811E+06 0.0106652
2.60415E+06 0.0103513
2.64032E+06 0.0101512
2.65319E+06 0.0100624
2.66585E+06 0.00996720
2.66586E+06 0.00996717
2.69058E+06 0.00980176
2.70537E+06 0.00968812
2.70537E+06 0.00968810
2.77357E+06 0.00917968
2.84176E+06 0.00870934
2.84176E+06 0.00870933
2.84987E+06 0.00865631
2.85412E+06 0.00862096
2.85412E+06 0.00862093
2.86233E+06 0.00855504
2.86233E+06 0.00855503
2.89769E+06 0.00833076
2.89770E+06 0.00833073
2.90793E+06 0.00826335
2.94968E+06 0.00798702
2.95880E+06 0.00792871
2.98980E+06 0.00772857
2.98980E+06 0.00772855
3.00000E+06 0.00766101
3.00784E+06 0.00761693
3.02334E+06 0.00756459
3.03885E+06 0.00751288
3.05435E+06 0.00746177
3.06985E+06 0.00741128
3.08535E+06 0.00736137
3.10086E+06 0.00731205
3.11636E+06 0.00726330
3.13186E+06 0.00721512
3.14736E+06 0.00716750
3.16287E+06 0.00712042
3.17837E+06 0.00707387
3.19387E+06 0.00702786
3.20937E+06 0.00698236
3.22488E+06 0.00693738
3.24038E+06 0.00689290
3.25588E+06 0.00684891
3.27138E+06 0.00680542
3.28689E+06 0.00676240
3.30239E+06 0.00671985
3.31789E+06 0.00667778
3.33339E+06 0.00663615
3.34890E+06 0.00659498
3.36440E+06 0.00655425
3.37990E+06 0.00651397
3.39540E+06 0.00647410
3.41091E+06 0.00643467
3.42641E+06 0.00639565
3.44191E+06 0.00635704
3.45741E+06 0.00631884
3.47292E+06 0.00628104
3.48842E+06 0.00624363
3.50392E+06 0.00620660
3.51942E+06 0.00616996
