Sr-84(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2250.83 269.780
2251.02 206.989
2251.20 164.459
2251.56 112.483
2251.93 83.4299
2252.29 65.5401
2252.66 53.6928
2253.39 39.3502
2254.12 31.1842
2254.85 26.0289
2255.58 22.5145
2256.31 19.9920
2257.77 16.6350
2259.22 14.5278
2260.68 13.0918
2262.14 12.0548
2265.06 10.6634
2267.98 9.77678
2270.90 9.16364
2273.82 8.71504
2279.65 8.10230
2285.49 7.70291
2291.33 7.42117
2297.16 7.21110
2308.84 6.91667
2320.51 6.71786
2332.18 6.57246
2343.86 6.45988
2367.21 6.29264
2390.55 6.16936
2437.25 5.98527
2483.94 5.83764
2530.64 5.70152
2624.02 5.41464
2717.41 5.03774
2764.11 4.77497
2810.80 4.41699
2834.15 4.18029
2857.50 3.88385
2880.84 3.49925
2904.19 2.97792
2915.87 2.64119
2927.54 2.23394
2939.21 1.73781
2950.89 1.14267
2956.72 0.819333
2962.56 0.511385
2965.48 0.384862
2966.94 0.335817
2968.40 0.300807
2969.86 0.284624
2971.32 0.293610
2972.77 0.336233
2974.23 0.423908
2975.69 0.572332
2977.15 0.802818
2978.61 1.14559
2980.07 1.64363
2981.53 2.35998
2982.99 3.38658
2984.45 4.86548
2985.91 7.01940
2987.37 10.2138
2988.83 15.0615
2990.29 22.6666
2991.74 35.1231
2993.20 56.7055
2994.66 96.8959
2995.39 130.163
2996.12 178.432
2996.85 249.801
2997.58 354.855
2998.79 618.719
3000.00 839.616
3001.21 726.333
3002.42 489.477
3003.77 309.943
3005.12 209.806
3006.47 152.092
3007.82 116.521
3009.16 93.1353
3010.51 76.9477
3013.21 56.5077
3015.91 44.4503
3018.61 36.6639
3024.00 27.3921
3029.39 22.1678
3034.79 18.8630
3040.18 16.6010
3045.58 14.9625
3056.37 12.7533
3067.16 11.3333
3077.95 10.3395
3088.74 9.59980
3110.31 8.55341
3131.89 7.82002
3153.47 7.24378
3175.05 6.74411
3196.63 6.26908
3218.21 5.77531
3239.79 5.21408
3261.37 4.51475
3272.16 4.07820
3282.94 3.55422
3293.73 2.91020
3304.52 2.10800
3309.92 1.64122
3315.31 1.14410
3320.71 0.669454
3323.41 0.485719
3324.75 0.424114
3326.10 0.394193
3327.45 0.408682
3328.80 0.485509
3330.15 0.650063
3330.82 0.775987
3331.50 0.938659
3332.85 1.40538
3334.19 2.12985
3335.54 3.23667
3336.89 4.91937
3338.24 7.50023
3339.59 11.5238
3340.94 17.9671
3342.29 28.6744
3343.64 47.4319
3344.98 82.5005
3345.66 111.538
3346.33 153.553
3347.01 215.297
3347.68 305.831
3348.84 543.845
3350.00 751.474
3351.16 660.960
3352.32 452.272
3353.07 348.566
3353.81 273.453
3355.30 180.691
3356.79 129.908
3358.28 99.5657
3359.77 80.0160
3361.26 66.6400
3364.24 49.8891
3367.22 40.0542
3370.20 33.6968
3376.16 26.0927
3382.12 21.7722
3388.08 19.0152
3394.04 17.1133
3400.00 15.7265
3400.00 10.2419
4000.00 9.99235
5000.00 9.68862
6000.00 9.47136
7200.00 9.27974
8000.00 9.17997
10000.0 8.99344
12000.0 8.86437
14000.0 8.77044
16000.0 8.69961
18000.0 8.64481
20000.0 8.60158
22000.0 8.56695
24000.0 8.53889
26000.0 8.51593
28000.0 8.49702
30000.0 8.48135
32000.0 8.46831
34000.0 8.45743
36000.0 8.44834
38000.0 8.44074
40000.0 8.43439
42000.0 8.42909
44000.0 8.42469
46000.0 8.42104
48000.0 8.41804
50000.0 8.41560
60000.0 8.40932
72000.0 8.40921
85000.0 8.41271
100000 8.41777
113346 8.42108
125000 8.42397
150000 8.42503
170000 8.42183
200000 8.41053
250000 8.37635
300000 8.32589
350000 8.26187
364348 8.24020
400000 8.18635
500000 8.00703
582539 7.83451
586061 7.82715
591830 7.81509
600000 7.79801
653765 7.67376
664088 7.64990
684126 7.60359
693639 7.58161
700000 7.56691
723190 7.50961
734828 7.48086
740799 7.46611
799496 7.32109
800000 7.31985
802740 7.31290
802740 7.21930
802836 7.21866
802836 7.21866
825606 7.06612
839977 6.96985
890578 6.63087
919926 6.43426
955347 6.19698
990000 5.96484
990000 5.96484
1.00000E+06 5.89785
1.01404E+06 5.86541
1.05351E+06 5.77424
1.06566E+06 5.74618
1.08185E+06 5.70878
1.11525E+06 5.63163
1.13245E+06 5.59190
1.47169E+06 4.80829
1.47169E+06 4.80828
1.50000E+06 4.74289
1.52005E+06 4.72289
1.52006E+06 4.72289
1.78917E+06 4.45445
1.78917E+06 4.45445
2.00000E+06 4.24415
2.08143E+06 4.20845
2.08143E+06 4.20845
2.09994E+06 4.20034
2.09994E+06 4.20033
2.32585E+06 4.10130
2.32585E+06 4.10130
2.41873E+06 4.06058
2.47774E+06 4.03470
2.50000E+06 4.02495
3.00000E+06 3.90644
3.50000E+06 3.83733
4.00000E+06 3.80288
5.00000E+06 3.83488
5.23822E+06 3.86644
6.00000E+06 3.96734
6.47491E+06 4.03923
7.00000E+06 4.11872
8.00000E+06 4.21463
8.96650E+06 4.22876
9.00000E+06 4.22926
1.00000E+07 4.17708
1.10000E+07 4.07506
1.20000E+07 3.93501
1.20613E+07 3.92505
1.20613E+07 3.92504
1.30000E+07 3.77232
1.40000E+07 3.60849
1.50000E+07 3.44940
1.60000E+07 3.29831
1.70000E+07 3.16104
1.80000E+07 3.04554
1.90000E+07 2.94706
2.00000E+07 2.86974
