80-Hg_n-g
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
2.107030e+02 7.70649286e+01
2.109020e+02 4.77657147e+01
2.111000e+02 3.12356851e+01
2.112990e+02 2.16507198e+01
2.114970e+02 1.57674943e+01
2.116960e+02 1.19509537e+01
2.118940e+02 9.35439837e+00
2.122910e+02 6.17083740e+00
2.126880e+02 4.37857040e+00
2.127540e+02 4.19511372e+00
2.130850e+02 3.27506299e+00
2.138790e+02 2.04666806e+00
2.146730e+02 1.41502664e+00
2.149930e+02 1.26703490e+00
2.154670e+02 1.04782262e+00
2.159350e+02 9.10683582e-01
2.162610e+02 8.15958276e-01
2.170550e+02 6.60842156e-01
2.186430e+02 4.71098840e-01
2.202310e+02 3.63144014e-01
2.218180e+02 2.95240441e-01
2.234060e+02 2.49223707e-01
2.239020e+02 2.40172698e-01
2.255070e+02 2.12924393e-01
2.265820e+02 1.94746746e-01
2.297580e+02 1.63689036e-01
2.318700e+02 1.50274328e-01
2.329340e+02 1.44436272e-01
2.361100e+02 1.32892787e-01
2.382610e+02 1.28162874e-01
2.398370e+02 1.24918322e-01
2.424610e+02 1.22205297e-01
2.430290e+02 1.22167431e-01
2.478040e+02 1.21852508e-01
2.488130e+02 1.23547095e-01
2.500190e+02 1.26366003e-01
2.510150e+02 1.28695317e-01
2.517880e+02 1.30666769e-01
2.557720e+02 1.57570497e-01
2.573910e+02 1.86153481e-01
2.577640e+02 1.92840852e-01
2.587600e+02 2.27145828e-01
2.597550e+02 2.88096484e-01
2.607510e+02 4.14104418e-01
2.612490e+02 5.35664998e-01
2.615160e+02 6.50452261e-01
2.617470e+02 7.49900156e-01
2.622450e+02 1.18232726e+00
2.624940e+02 1.58629379e+00
2.627430e+02 2.27082023e+00
2.629920e+02 3.56940454e+00
2.631170e+02 4.70342295e+00
2.632410e+02 6.49017432e+00
2.633660e+02 9.52510433e+00
