Mo-92(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
9147.73 0.170239
9149.42 0.133229
9152.80 0.0881111
9156.17 0.0627286
9159.55 0.0470415
9162.92 0.0366707
9169.67 0.0242329
9176.42 0.0173333
9183.17 0.0131036
9189.92 0.0103190
9203.43 0.00698234
9216.93 0.00512286
9243.93 0.00320498
9270.93 0.00226636
9297.93 0.00172622
9351.94 0.00114426
9405.94 0.000843911
9459.95 0.000664464
9567.96 0.000466038
9675.97 0.000364256
9783.98 0.000307222
10000.0 0.000261613
10147.4 0.000269951
10294.9 0.000336164
10368.6 0.000435267
10442.3 0.000714448
10516.0 0.00218889
10552.9 0.00800034
10562.1 0.0139721
10571.3 0.0308086
10575.9 0.0540402
10580.5 0.118621
10582.8 0.206628
10584.0 0.292345
10585.1 0.444987
10586.3 0.757615
10586.8 1.05745
10587.4 1.56506
10588.0 2.57049
10588.3 3.47710
10588.6 4.88898
10588.8 7.46608
10589.0 9.65470
10589.1 12.6542
10589.3 17.6125
10589.4 25.1251
10589.6 37.7636
10589.7 59.4643
10589.9 95.0524
10590.0 118.739
10590.2 95.0513
10590.3 59.2665
10590.4 38.9578
10590.6 26.5441
10590.7 18.9286
10590.8 14.3639
10591.1 8.67991
10591.3 5.85021
10591.6 4.14504
10591.8 3.11768
10592.3 1.92657
10592.9 1.30577
10593.4 0.942459
10594.4 0.556565
10595.4 0.366857
10596.4 0.259868
10598.5 0.150268
10602.5 0.0685420
10606.6 0.0391814
10614.8 0.0177810
10622.9 0.0101836
10639.2 0.00470934
10655.5 0.00278368
10720.7 0.000937212
10785.9 0.000628532
10851.1 0.000566707
10916.3 0.000611024
10981.4 0.000793969
11014.0 0.00102927
11046.6 0.00164483
11079.2 0.00475116
11095.5 0.0168029
11099.6 0.0291241
11103.7 0.0635950
11105.7 0.110858
11107.7 0.240199
11108.8 0.413499
11109.3 0.580643
11109.8 0.874066
11110.3 1.46149
11110.5 2.01851
11110.8 2.91599
11111.1 4.65927
11111.2 6.17104
11111.3 8.30803
11111.4 12.1014
11111.6 18.2943
11111.6 24.1643
11111.7 31.4620
11111.7 41.9625
11111.8 59.8140
11111.9 93.7541
11112.0 119.321
11112.1 93.7530
11112.2 59.5020
11112.3 36.2295
11112.4 23.1790
11112.5 15.8094
11112.6 11.3722
11112.7 8.53364
11112.8 6.62246
11113.0 4.38908
11113.2 3.06255
11113.4 2.25496
11113.8 1.38128
11114.2 0.922833
11114.6 0.664750
11115.3 0.391756
11116.9 0.182033
11118.5 0.104925
11121.6 0.0480778
11124.8 0.0276901
11131.1 0.0128947
11137.3 0.00767759
11162.5 0.00267156
11187.6 0.00184120
11212.8 0.00166187
11263.0 0.00188369
11313.3 0.00264013
11338.4 0.00332277
11363.6 0.00437819
11388.7 0.00610918
11413.9 0.00921657
11426.4 0.0117883
11439.0 0.0156419
11451.6 0.0217909
11464.1 0.0324882
11476.7 0.0535971
11479.9 0.0621366
11483.0 0.0728450
11486.1 0.0865619
11489.3 0.104515
11490.9 0.115715
11492.4 0.128705
11494.0 0.143979
11495.6 0.162095
11497.1 0.183788
11498.7 0.210040
11500.3 0.242184
11501.8 0.282058
11503.4 0.332239
11505.0 0.396409
11506.6 0.479912
11508.1 0.590629
11509.7 0.740272
11511.3 0.946090
11512.8 1.23227
11514.4 1.62743
11517.2 2.60896
