Mg-24(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
409554 6.54753
409670 6.57458
409999 6.64711
410071 6.66490
410258 6.71158
410445 6.75924
410587 6.79305
410784 6.84095
411104 6.92853
411221 6.96154
411569 7.05316
411621 7.06847
411809 7.12456
411996 7.18180
412138 7.22209
412354 7.28492
412655 7.38317
412771 7.42195
413139 7.53779
413172 7.54936
413266 7.58238
413359 7.61574
413546 7.68342
413689 7.73191
413925 7.81366
414206 7.92239
414321 7.96770
414710 8.11332
414723 8.11871
414770 8.13819
414817 8.15773
414910 8.19711
415097 8.27697
415100 8.27816
415109 8.28166
415118 8.28511
415135 8.29207
415170 8.30604
415240 8.33412
415495 8.43834
415498 8.43969
415506 8.44333
415514 8.44698
415530 8.45429
415563 8.46894
415628 8.49832
415757 8.55770
415872 8.61102
416015 8.67286
416274 8.78801
416280 8.79070
416296 8.79836
416312 8.80598
416343 8.82130
416406 8.85208
416532 8.91418
416647 8.97178
416791 9.03950
417049 9.16288
417065 9.17067
417126 9.20257
417187 9.23459
417308 9.29921
417422 9.36019
417566 9.43304
417825 9.56693
417851 9.58050
417909 9.61301
417967 9.64568
418083 9.71151
418197 9.77684
418341 9.85492
418600 9.99848
418636 10.0186
418747 10.0851
418858 10.1522
418972 10.2219
419117 10.3064
419375 10.4584
419421 10.4860
419528 10.5539
419634 10.6223
419748 10.6962
419892 10.7846
420151 10.9472
420206 10.9820
420409 11.1213
420523 11.2007
420668 11.2975
420926 11.4716
421055 11.5596
421185 11.6496
421298 11.7277
421314 11.7382
421379 11.7805
421443 11.8230
421572 11.9083
421702 11.9957
421777 12.0459
421831 12.0853
421960 12.1797
422089 12.2745
422219 12.3713
422348 12.4670
422477 12.5631
422606 12.6595
422735 12.7562
422848 12.8414
422865 12.8541
422930 12.9008
422994 12.9476
423123 13.0411
423252 13.1347
423382 13.2298
423511 13.3235
423640 13.4168
423740 13.4891
423769 13.5117
423834 13.5625
423899 13.6134
424028 13.7130
424092 13.7618
424157 13.8120
424222 13.8620
424286 13.9101
424351 13.9597
424399 13.9961
424415 14.0074
424480 14.0564
424545 14.1050
424626 14.1643
424708 14.2243
424789 14.2820
424871 14.3402
424917 14.3722
424960 14.4068
425048 14.4755
425137 14.5441
425174 14.5718
425226 14.6115
425270 14.6439
425314 14.6756
425359 14.7082
425403 14.7386
425447 14.7681
425492 14.7983
425506 14.8071
425536 14.8320
425581 14.8692
425625 14.9035
425669 14.9366
425714 14.9703
425758 15.0009
425802 15.0301
425847 15.0594
425891 15.0852
425899 15.0896
425917 15.1045
425935 15.1194
425949 15.1312
425980 15.1568
426024 15.1905
426068 15.2222
426113 15.2535
426157 15.2804
426193 15.3015
426202 15.3103
426224 15.3299
426246 15.3494
426290 15.3860
426335 15.4225
426379 15.4540
426468 15.5126
426556 15.5614
426616 15.5932
426645 15.6098
426689 15.6344
426724 15.6561
426734 15.6630
426756 15.6778
426778 15.6926
426823 15.7275
426867 15.7638
426872 15.7685
426892 15.7767
426911 15.7850
426956 15.8111
427000 15.8412
427044 15.8779
427064 15.8982
427089 15.9068
427133 15.9280
427177 15.9559
427222 15.9914
427256 16.0225
427266 16.0269
427289 16.0395
427311 16.0520
427355 16.0809
427384 16.1027
427399 16.1093
427444 16.1324
427499 16.1650
427532 16.1863
427621 16.2486
427710 16.3120
427798 16.3731
427843 16.4028
427887 16.4309
427932 16.4584
427976 16.4840
428020 16.5084
428065 16.5318
428109 16.5535
428153 16.5738
428188 16.5889
428198 16.5955
428220 16.6094
428242 16.6232
428274 16.6424
428286 16.6504
428331 16.6792
428375 16.7062
428419 16.7319
428464 16.7573
428508 16.7809
428553 16.8040
428597 16.8256
428641 16.8461
428670 16.8591
428686 16.8690
428730 16.8946
428774 16.9201
428863 16.9688
428952 17.0142
429040 17.0560
429050 17.0607
429090 17.0815
429129 17.1021
429210 17.1424
429290 17.1798
429371 17.2160
429452 17.2502
429494 17.2671
429515 17.2754
429567 17.2948
429619 17.3140
429635 17.3196
429669 17.3346
429703 17.3496
429787 17.3846
429825 17.3995
429879 17.4250
429971 17.4659
430000 17.4781
430064 17.5047
430156 17.5394
430179 17.5476
430248 17.5706
430294 17.5849
430340 17.5980
430386 17.6101
430407 17.6151
430432 17.6251
430479 17.6433
430525 17.6593
430571 17.6739
430600 17.6821
430617 17.6886
430663 17.7044
430709 17.7185
430755 17.7307
430801 17.7408
430817 17.7437
430847 17.7575
430893 17.7764
430940 17.7938
430986 17.8074
431032 17.8182
431078 17.8259
431124 17.8303
431142 17.8306
431170 17.8438
431216 17.8619
431262 17.8762
431308 17.8865
431355 17.8942
431375 17.8944
431401 17.8988
431447 17.9014
431468 17.9010
431493 17.9102
431539 17.9236
431631 17.9414
431677 17.9469
431723 17.9513
431769 17.9555
431816 17.9624
431862 17.9695
431908 17.9797
431933 17.9877
431954 17.9838
432000 17.9801
432046 17.9826
432092 17.9922
432133 18.0074
432138 18.0062
432150 18.0052
432184 18.0059
432231 18.0150
432266 18.0272
432277 18.0258
432300 18.0264
432323 18.0270
432369 18.0347
432399 18.0434
432415 18.0404
432461 18.0367
432553 18.0414
432645 18.0577
432669 18.0635
432738 18.0642
432830 18.0686
432876 18.0707
432922 18.0727
432926 18.0723
432937 18.0737
432947 18.0751
432968 18.0779
433014 18.0826
433060 18.0866
433107 18.0887
433153 18.0905
433199 18.0913
433245 18.0909
433291 18.0892
433337 18.0863
433383 18.0823
433429 18.0772
433475 18.0709
433488 18.0688
433521 18.0694
433568 18.0686
433614 18.0673
433660 18.0649
433701 18.0619
433706 18.0620
433718 18.0619
433729 18.0618
433752 18.0615
