Au-197(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
489.606 24.2425
489.668 18.6465
489.791 12.0357
489.914 8.45060
490.037 6.30421
490.282 3.98549
490.528 2.84435
490.774 2.22294
491.266 1.69849
491.758 1.74563
492.003 2.02018
492.249 2.61946
492.495 3.95180
492.618 5.24692
492.741 7.49430
492.864 11.8659
492.925 15.7754
492.987 22.0638
493.048 33.1070
493.110 54.8313
493.140 74.3556
493.171 105.278
493.187 127.721
493.202 156.756
493.217 194.938
493.233 244.022
493.249 312.337
493.266 390.403
493.300 487.588
493.317 458.837
493.334 389.898
493.368 243.965
493.394 167.286
493.419 118.360
493.445 86.8444
493.471 65.9103
493.523 41.2513
493.575 28.0786
493.627 20.2975
493.679 15.3637
493.782 9.70447
493.886 6.71201
493.989 4.94546
494.197 3.04839
494.404 2.10238
494.611 1.56162
495.026 0.994395
495.440 0.714407
495.855 0.553392
496.684 0.380549
497.513 0.291411
498.342 0.237671
500.000 0.176340
502.083 0.136024
504.165 0.112774
508.330 0.0878667
512.495 0.0764701
516.660 0.0729618
520.825 0.0777582
524.990 0.101225
527.072 0.135698
528.113 0.170089
529.155 0.232525
530.196 0.364650
530.716 0.494809
531.237 0.729281
531.497 0.924513
531.758 1.21926
532.018 1.69481
532.278 2.53597
532.408 3.22349
532.539 4.24106
532.669 5.84135
532.799 8.56303
532.929 13.7581
532.994 18.3222
533.059 25.5435
533.124 37.9313
533.157 47.6902
533.189 61.4939
533.222 81.8656
533.254 112.935
533.287 162.131
533.319 240.649
533.360 384.983
533.400 481.189
533.420 452.744
533.440 384.945
533.481 240.606
533.509 170.931
533.537 124.295
533.565 93.1012
533.593 71.7532
533.649 45.8175
533.705 31.5586
533.761 22.9628
533.817 17.4260
533.928 11.0004
534.040 7.56409
534.152 5.52261
534.376 3.32176
534.600 2.22577
534.824 1.60286
535.048 1.21563
535.272 0.958798
535.720 0.650484
536.167 0.480068
537.063 0.309687
537.959 0.232800
538.854 0.194624
540.645 0.171420
542.436 0.196340
543.332 0.234865
544.228 0.311026
545.123 0.477688
545.571 0.643154
546.019 0.940959
546.243 1.18802
546.467 1.55924
