Cr-53(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
53532.9 2.16263
53552.5 2.99652
53562.3 3.74186
53572.1 4.91551
53581.9 6.84473
53591.7 10.0481
53603.2 15.7344
53614.6 19.5860
53626.1 15.9748
53637.6 10.4799
53650.2 6.67373
53662.9 4.63078
53675.5 3.48662
53688.1 2.79912
53700.7 2.35762
53713.4 2.05885
53738.6 1.69193
53763.9 1.48317
53789.1 1.35230
53839.6 1.20142
53890.1 1.11880
53940.6 1.06697
54041.6 1.00467
54142.6 0.967060
54243.6 0.940765
54445.6 0.905559
54647.6 0.886758
54849.6 0.890940
54950.6 0.912249
55051.6 0.969514
55102.1 1.03301
55127.4 1.08514
55152.6 1.16363
55177.9 1.29227
55190.5 1.39167
55203.1 1.53322
55215.8 1.74783
55228.4 2.10057
55234.7 2.37142
55241.0 2.74848
55247.3 3.29021
55253.6 4.07938
55269.4 6.49318
55273.4 6.10137
55277.4 5.04938
55285.3 2.73803
55289.6 1.91191
55294.0 1.38010
55298.3 1.04374
55302.6 0.831666
55311.3 0.609345
55320.0 0.517575
55337.4 0.471458
55354.8 0.480789
55424.3 0.566511
55493.8 0.631190
55563.3 0.689550
55632.8 0.764473
55667.5 0.819751
55702.3 0.900522
55737.1 1.03180
55754.4 1.13338
55771.8 1.27851
55789.2 1.49899
55806.6 1.86065
55823.9 2.51531
55832.6 3.05032
55841.3 3.80809
55865.8 6.36011
55871.9 5.98405
55878.1 4.99855
55890.3 2.83963
55896.7 2.07460
55903.0 1.54700
55915.7 0.943717
55928.4 0.656436
55941.1 0.511742
55953.7 0.435213
55966.4 0.393624
55991.8 0.358861
56042.6 0.352160
56093.3 0.362241
56194.8 0.380539
56296.3 0.389860
56499.3 0.391582
56702.2 0.382119
57514.2 0.316083
58326.1 0.259524
59138.0 0.248463
59544.0 0.272758
59949.9 0.326959
60355.9 0.422038
60761.8 0.573233
61167.8 0.801955
61573.8 1.13858
61979.7 1.62667
62182.7 1.94680
62284.2 2.13195
62334.9 2.23601
62360.3 2.30366
62373.0 2.37947
62379.3 2.53912
62382.5 2.92867
62384.1 3.71032
62384.9 4.78812
62385.7 7.42178
62386.2 10.3752
62386.7 12.3075
62387.6 7.21423
62388.5 4.45130
62389.3 3.41680
62391.0 2.74493
62394.4 2.45930
62401.2 2.38191
62414.8 2.38936
62442.0 2.44578
62496.4 2.57257
62523.6 2.64284
62550.8 2.72707
62564.4 2.78577
62578.0 2.88603
62584.8 2.98623
62591.6 3.20418
62595.0 3.44090
62598.4 3.93103
62600.1 4.40160
62601.8 5.21320
62603.5 6.73989
62604.4 8.00378
62605.2 9.76453
62606.6 13.9168
62608.0 16.7140
62609.4 13.9535
62610.8 9.77084
62611.8 7.77011
62612.7 6.42562
62614.7 4.91251
62616.6 4.16133
62618.5 3.75197
62622.3 3.35140
62626.1 3.17532
62633.8 3.03787
62641.5 2.99530
62656.8 2.98728
62672.1 3.01004
62733.4 3.15917
62794.6 3.33101
62855.9 3.51418
63100.9 4.35354
63591.0 6.64368
64194.5 10.9125
64496.3 13.7037
64647.2 15.2378
64684.9 15.6354
64722.6 16.0457
64741.5 16.2644
64760.4 16.5177
64769.8 16.6877
64779.2 16.9664
64783.9 17.2334
64788.7 17.7818
64791.0 18.3404
64793.4 19.4038
64794.6 20.3344
64795.7 21.7870
64796.9 24.1584
64798.1 28.0519
64799.4 34.8443
64800.8 39.4308
64802.1 34.9766
64803.5 28.2122
64805.0 23.3611
64806.6 20.8897
64808.1 19.5691
64809.7 18.8115
64812.8 18.0371
64815.9 17.6867
64822.1 17.4157
