28-Ni_n-g
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
1.677560e+03 1.81224900e-02
1.700000e+03 1.80734484e-02
1.710710e+03 1.80500422e-02
1.800000e+03 1.79207881e-02
1.838780e+03 1.78646511e-02
1.900000e+03 1.77801358e-02
2.000000e+03 1.76420839e-02
2.052850e+03 1.77175997e-02
2.100000e+03 1.77965376e-02
2.126450e+03 1.78408198e-02
2.189680e+03 1.83370310e-02
2.200000e+03 1.86453363e-02
2.205490e+03 1.88093475e-02
2.213390e+03 1.92762498e-02
2.221290e+03 2.01268471e-02
2.229200e+03 2.19449262e-02
2.233150e+03 2.37561235e-02
2.237100e+03 2.70568134e-02
2.241050e+03 3.40813267e-02
2.243030e+03 4.10303093e-02
2.245000e+03 5.35764498e-02
2.245990e+03 6.40480635e-02
2.246980e+03 7.98822808e-02
2.247970e+03 1.05472765e-01
2.248950e+03 1.50833808e-01
2.249450e+03 1.87961639e-01
2.249940e+03 2.43050379e-01
2.250440e+03 3.29810483e-01
2.250930e+03 4.77939476e-01
2.251420e+03 7.61777739e-01
2.251670e+03 1.01230205e+00
2.251920e+03 1.41140064e+00
2.252170e+03 2.10014537e+00
2.252410e+03 3.42489487e+00
2.252540e+03 4.58715081e+00
2.252660e+03 6.37128519e+00
2.252780e+03 9.23549249e+00
2.252910e+03 1.38822869e+01
2.253050e+03 2.22370660e+01
2.253200e+03 2.77593677e+01
2.253350e+03 2.21776712e+01
2.253500e+03 1.38835987e+01
2.253660e+03 8.02401703e+00
2.253830e+03 4.99096013e+00
2.254000e+03 3.34397235e+00
2.254170e+03 2.38298874e+00
2.254330e+03 1.77526826e+00
2.254500e+03 1.37174366e+00
2.254840e+03 8.89996041e-01
2.255170e+03 6.24207923e-01
2.255510e+03 4.63602892e-01
2.256180e+03 2.87343074e-01
