Pb-206(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
36167.0 0.0892673
36174.9 0.122952
36182.7 0.176143
36190.5 0.260676
36200.3 0.417138
36210.0 0.523852
36219.8 0.421779
36229.5 0.264350
36238.9 0.165320
36248.3 0.108734
36257.8 0.0755708
36267.2 0.0551056
36276.6 0.0417548
36286.0 0.0326516
36304.8 0.0214518
36323.6 0.0151235
36342.5 0.0112205
36380.1 0.00687173
36417.8 0.00463633
36455.4 0.00334035
36493.1 0.00252300
36530.7 0.00197525
36606.1 0.00131010
36681.4 0.000938015
36756.7 0.000710313
36832.0 0.000562514
36982.6 0.000397453
37133.2 0.000346074
37283.8 0.000550203
37359.2 0.00158174
37396.8 0.00571782
37406.2 0.00994546
37415.6 0.0217511
37420.4 0.0378335
37425.1 0.0816588
37427.4 0.139854
37429.8 0.291362
37430.9 0.481453
37432.1 0.932923
37432.7 1.44307
37433.3 2.50093
37433.6 3.52451
37433.9 5.19283
37434.2 8.18592
37434.5 13.9242
37434.7 22.2737
37435.0 28.3431
37435.3 22.9097
37435.5 14.4201
37435.7 10.0685
37435.9 7.27036
37436.1 5.33617
37436.3 4.10004
37436.7 2.57888
37437.1 1.75706
37437.9 0.957532
37438.6 0.602220
37440.2 0.299083
37441.7 0.178023
37444.8 0.0838122
37447.9 0.0485688
37454.1 0.0222927
37460.3 0.0127842
37485.1 0.00337291
37534.7 0.000952298
37633.9 0.000326330
37832.4 0.000150134
38229.2 8.57449E-05
38626.0 6.96009E-05
38824.4 8.50809E-05
38923.6 0.000169255
38973.2 0.000512991
38998.0 0.00187771
39010.4 0.00722607
39016.6 0.0277458
39019.7 0.103243
39021.2 0.358933
39022.0 1.10906
39022.4 2.78979
39022.6 5.25809
39022.8 11.7559
39022.9 18.8437
39023.0 23.6746
39023.1 19.0198
39023.2 11.8933
39023.4 5.11281
39023.6 2.65209
39024.0 1.05275
39024.8 0.340729
39026.4 0.0980440
39029.6 0.0263605
39036.0 0.00685848
39048.7 0.00178253
39074.2 0.000487297
39125.1 0.000159421
39227.0 7.56291E-05
39430.8 5.25428E-05
39838.4 4.51315E-05
40246.1 4.92639E-05
40449.9 7.41585E-05
40551.8 0.000173034
40602.7 0.000564146
40628.2 0.00210422
40640.9 0.00807939
40647.3 0.0305645
40650.5 0.109856
40651.3 0.182794
40652.1 0.357577
40652.5 0.559055
40652.9 0.986575
40653.3 2.12195
40653.5 3.47949
40653.7 6.09129
40653.8 9.69773
40654.0 12.2471
40654.2 9.78072
40654.3 6.15595
40654.5 3.70939
40654.7 2.40189
40655.0 1.17525
40655.4 0.683224
40655.7 0.448524
40656.4 0.232526
40657.1 0.141569
40658.5 0.0681951
40659.9 0.0399609
40665.4 0.0106316
40676.4 0.00277228
40698.6 0.000735565
40742.8 0.000217829
40831.2 8.83167E-05
41008.1 5.91764E-05
41361.8 7.00595E-05
41715.5 0.000174707
41892.4 0.000597989
41980.8 0.00227572
42025.0 0.00885509
42047.1 0.0341375
42052.7 0.0593137
42058.2 0.127337
42061.0 0.216571
42063.7 0.444987
42065.1 0.723623
42066.5 1.37019
42067.2 2.06727
42067.9 3.43707
42068.2 4.68305
42068.6 6.60185
42068.9 9.89071
42069.2 15.3721
42069.6 24.6157
42070.0 31.1458
42070.4 25.1517
42070.8 15.7700
42071.1 10.3972
42071.4 7.05182
42071.7 5.00931
42072.1 3.70861
42072.7 2.24090
42073.4 1.49735
42074.7 0.794807
42076.0 0.490057
42078.6 0.239147
42081.2 0.141038
42086.5 0.0657492
42091.7 0.0378898
42112.7 0.00984307
42154.6 0.00252988
42238.5 0.000663169
42406.2 0.000191625
42741.6 7.38710E-05
43412.4 4.76395E-05
44754.0 6.05586E-05
45424.9 8.91928E-05
45760.3 0.000118455
46095.7 0.000171931
46263.4 0.000216831
46431.1 0.000285012
46598.8 0.000395746
46766.5 0.000593242
46850.4 0.000755868
46934.2 0.000998492
47018.1 0.00138347
47101.9 0.00204781
47185.8 0.00334203
47227.7 0.00450483
47269.6 0.00639187
47311.5 0.00974072
47332.5 0.0124679
47353.5 0.0164711
47374.4 0.0226350
47395.4 0.0326506
47416.3 0.0498732
47437.3 0.0803070
47458.7 0.128616
47480.0 0.161569
47501.4 0.129970
47522.7 0.0813831
47542.1 0.0522996
47561.4 0.0351094
47580.8 0.0247654
47600.1 0.0182504
47638.8 0.0109672
47677.5 0.00726763
47716.3 0.00515525
47755.0 0.00384247
47832.4 0.00236910
47909.8 0.00160669
47987.2 0.00116263
48064.6 0.000881673
48142.0 0.000692838
48296.9 0.000462705
48451.7 0.000333192
48606.5 0.000253185
48761.4 0.000200335
49071.0 0.000137083
49380.7 0.000102157
50000.0 6.70654E-05
50487.1 5.35091E-05
50974.2 4.55099E-05
51948.4 3.80810E-05
52435.6 3.76821E-05
52922.7 4.17523E-05
53166.2 4.91002E-05
53409.8 7.11957E-05
53531.6 0.000102394
53653.3 0.000191010
53714.2 0.000313632
53744.7 0.000435579
53775.1 0.000657036
53805.6 0.00112546
53820.8 0.00158539
53836.0 0.00240948
53851.2 0.00411407
53858.8 0.00574854
53866.4 0.00859924
53874.0 0.0142483
53877.9 0.0194267
53881.7 0.0279825
53885.5 0.0436816
53887.4 0.0568543
53889.3 0.0768151
53891.2 0.109127
53893.1 0.164859
53895.0 0.270054
53895.9 0.357491
53896.9 0.481826
53900.0 1.00181
53901.6 0.826683
53903.1 0.521589
53904.4 0.354023
