Cl-37(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
128312 0.00360773
128326 0.00293482
128354 0.00213610
128409 0.00139485
128465 0.00104601
128576 0.000699132
128687 0.000520013
128909 0.000333809
129131 0.000239745
129353 0.000185010
129576 0.000150563
130020 0.000112312
130464 9.43869E-05
130909 8.68106E-05
131797 8.99061E-05
132686 0.000114841
133130 0.000139371
133575 0.000178036
134019 0.000241700
134241 0.000289714
134463 0.000355778
134686 0.000451409
134908 0.000603738
135019 0.000725207
135130 0.000921130
135241 0.00133620
135297 0.00179708
135352 0.00273449
135434 0.00467529
135516 0.00296340
135553 0.00236979
135590 0.00204579
135676 0.00178861
135763 0.00180311
135935 0.00205949
136280 0.00241990
136455 0.00223973
136630 0.00188435
136980 0.00117467
137381 0.000685767
137782 0.000435396
138183 0.000300546
138584 0.000222716
138985 0.000175334
139386 0.000145784
140188 0.000118102
140989 0.000120987
141390 0.000136493
141791 0.000168710
142192 0.000233985
142393 0.000291077
142593 0.000379163
142794 0.000522993
142994 0.000775194
143195 0.00125749
143295 0.00166121
143395 0.00223592
143558 0.00355333
143721 0.00444349
143885 0.00360820
144048 0.00241365
144114 0.00214824
144179 0.00214018
144212 0.00234875
144245 0.00292184
144261 0.00350914
144277 0.00450646
144294 0.00630152
144310 0.00956143
144326 0.0146545
144342 0.0180966
144358 0.0146997
144374 0.00953001
144385 0.00703503
144396 0.00534748
144418 0.00341697
144440 0.00244011
144462 0.00188554
144506 0.00130577
144550 0.00101418
144638 0.000718737
144726 0.000563461
144902 0.000393001
145077 0.000297696
145429 0.000194008
145781 0.000140281
146132 0.000108765
146484 8.89599E-05
147187 6.78961E-05
147890 6.19803E-05
148242 6.48110E-05
148594 7.43072E-05
148945 9.81494E-05
149297 0.000164808
149473 0.000249306
149648 0.000453712
149736 0.000686354
149780 0.000882774
149824 0.00118180
149868 0.00167123
149912 0.00254528
149934 0.00326499
149956 0.00433033
149978 0.00598601
150000 0.00869050
150020 0.0127668
150039 0.0194914
150062 0.0312029
150084 0.0390387
150107 0.0312769
150130 0.0196019
150146 0.0136184
150163 0.00973255
150180 0.00720301
150197 0.00551830
150230 0.00351191
150264 0.00243722
150297 0.00180690
150331 0.00141720
150398 0.00101310
150465 0.000909304
150532 0.00116591
150565 0.00165521
150599 0.00304367
150616 0.00484858
150632 0.00928428
150641 0.0144515
150649 0.0256103
150653 0.0366633
150658 0.0562595
150662 0.0944848
150664 0.127171
150666 0.171862
150669 0.276733
150672 0.348494
150676 0.282365
150679 0.178967
150682 0.107975
150686 0.0699431
150689 0.0476419
150692 0.0345632
150699 0.0202521
150706 0.0133243
150719 0.00700597
150732 0.00434186
150759 0.00218545
150785 0.00134864
150892 0.000453928
151105 0.000178577
151530 8.00341E-05
151956 5.28881E-05
152382 4.08958E-05
153233 3.08777E-05
154084 2.79605E-05
154935 2.95580E-05
155361 3.28493E-05
155787 3.96408E-05
156212 5.46201E-05
156425 6.93514E-05
156638 9.54293E-05
156851 0.000148002
156957 0.000196909
157063 0.000279319
157170 0.000433998
157223 0.000567558
157276 0.000775503
157329 0.00112271
157383 0.00175767
157409 0.00228407
157436 0.00305876
157462 0.00422798
157489 0.00599590
157526 0.00957630
