Zr-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
52105.3 0.000145492
52526.3 0.000175607
52736.9 0.000224850
52842.1 0.000275612
52947.4 0.000369059
53052.6 0.000567767
53105.3 0.000762902
53157.9 0.00111174
53184.2 0.00139966
53210.5 0.00183013
53236.9 0.00251593
53263.2 0.00370606
53289.5 0.00605050
53302.6 0.00818356
53315.8 0.0116934
53329.0 0.0180673
53342.1 0.0313817
53348.7 0.0441030
53352.0 0.0534108
53355.3 0.0657740
53358.6 0.0825202
53360.2 0.0931549
53361.9 0.105613
53363.5 0.120421
53365.1 0.137814
53368.4 0.182239
53371.3 0.233223
53374.2 0.291262
53380.0 0.363907
53382.9 0.342503
53385.8 0.291154
53391.6 0.182366
53395.2 0.134066
53398.9 0.100560
53406.1 0.0611095
53413.4 0.0410253
53420.6 0.0303279
53427.9 0.0253566
53435.2 0.0269592
53442.4 0.0563161
53446.1 0.172691
53447.9 0.557981
53448.8 1.60714
53449.2 3.66390
53449.5 6.45810
53449.7 12.4151
53449.8 19.8584
53450.0 24.8205
53450.2 19.8582
53450.3 12.4149
53450.5 6.82451
53450.7 4.19852
53451.1 1.94532
53451.9 0.707865
53453.4 0.222994
53456.5 0.0676631
53462.7 0.0227138
53469.0 0.0132178
53475.2 0.00940384
53487.6 0.00604889
53500.0 0.00445744
53500.0 0.0115917
54000.0 0.0115317
59000.0 0.0109802
64000.0 0.0105015
69000.0 0.0100791
74000.0 0.00970145
79000.0 0.00936032
84000.0 0.00904952
89000.0 0.00876436
94000.0 0.00850124
99000.0 0.00825727
99999.9 0.00821057
100000 0.00769620
105000 0.00757824
110000 0.00748897
115000 0.00739970
120000 0.00733089
125000 0.00726208
130000 0.00720935
135000 0.00715662
140000 0.00710389
150000 0.00701586
155000 0.00697185
160000 0.00693481
165000 0.00701185
166325 0.00700658
170000 0.00699197
175000 0.00697209
180000 0.00695221
185000 0.00693233
190000 0.00691246
195000 0.00689258
200000 0.00687270
210000 0.00683294
230000 0.00675342
240000 0.00671366
250000 0.00667391
260000 0.00663415
270000 0.00659439
280000 0.00656482
290000 0.00653526
300000 0.00650569
310000 0.00648751
320000 0.00646933
330000 0.00645115
340000 0.00643297
350000 0.00642319
360000 0.00641340
370000 0.00640362
380000 0.00639383
390000 0.00638405
400000 0.00638287
410000 0.00636818
420000 0.00635348
430000 0.00634697
440000 0.00634046
450000 0.00633395
460000 0.00632744
470000 0.00632093
480000 0.00631442
490000 0.00630791
500000 0.00630140
520000 0.00628838
530000 0.00628747
540000 0.00628656
550000 0.00628565
560000 0.00628474
570000 0.00628383
580000 0.00628292
600000 0.00629112
620000 0.00629932
640000 0.00630752
660000 0.00632605
680000 0.00634458
700000 0.00637673
720000 0.00640887
740000 0.00644102
760000 0.00647317
770000 0.00648924
780000 0.00650869
800000 0.00657166
820000 0.00662215
840000 0.00667265
860000 0.00672314
880000 0.00678772
940000 0.00698147
960000 0.00704605
1.00000E+06 0.00719912
1.05000E+06 0.00741638
1.10000E+06 0.00763363
1.15000E+06 0.00788938
1.18800E+06 0.00808374
1.18800E+06 0.00808375
1.20000E+06 0.00814512
1.21830E+06 0.00824811
1.25000E+06 0.00842651
1.30000E+06 0.00873253
1.31400E+06 0.00881822
1.35000E+06 0.00903855
1.39500E+06 0.00934300
1.40000E+06 0.00937683
1.45000E+06 0.00973465
1.47610E+06 0.00992143
1.50000E+06 0.0101130
1.51481E+06 0.0102317
1.53000E+06 0.0103534
1.60000E+06 0.0108672
1.71958E+06 0.0119724
1.78046E+06 0.0125351
1.78047E+06 0.0125352
1.80000E+06 0.0127157
1.90000E+06 0.0134380
2.00000E+06 0.0143688
2.07300E+06 0.0150483
2.20412E+06 0.0143321
2.21080E+06 0.0142957
2.21080E+06 0.0142956
2.28600E+06 0.0138849
2.30000E+06 0.0137735
2.30012E+06 0.0137668
2.34502E+06 0.0112502
2.34502E+06 0.0112501
2.40000E+06 0.00816835
2.47902E+06 0.00732947
2.50000E+06 0.00710674
2.57342E+06 0.00688564
2.60000E+06 0.00680559
2.71784E+06 0.00635413
2.73999E+06 0.00626927
2.77003E+06 0.00615419
2.77003E+06 0.00615417
2.77871E+06 0.00612093
2.82757E+06 0.00593375
2.90000E+06 0.00565626
2.90133E+06 0.00565404
2.94729E+06 0.00557735
3.00000E+06 0.00548939
3.09423E+06 0.00530742
3.11145E+06 0.00527416
3.11145E+06 0.00527416
3.20000E+06 0.00510316
3.34592E+06 0.00485075
3.34592E+06 0.00485074
3.40000E+06 0.00475720
3.48692E+06 0.00465994
3.48692E+06 0.00465994
3.59691E+06 0.00453686
3.59691E+06 0.00453686
3.60000E+06 0.00453340
3.80000E+06 0.00455718
4.00000E+06 0.00460553
4.20000E+06 0.00424990
4.40000E+06 0.00392782
4.50000E+06 0.00371233
4.60000E+06 0.00356289
4.80000E+06 0.00331173
5.00000E+06 0.00318943
5.20000E+06 0.00301618
5.40000E+06 0.00300818
5.50000E+06 0.00306938
5.60000E+06 0.00301443
5.80000E+06 0.00304425
6.00000E+06 0.00301659
6.19979E+06 0.00290372
6.74584E+06 0.00259525
6.80000E+06 0.00256465
7.00000E+06 0.00236000
7.11898E+06 0.00225406
7.11899E+06 0.00225406
7.27000E+06 0.00211960
7.74998E+06 0.00189402
7.74999E+06 0.00189401
8.00000E+06 0.00177651
8.31232E+06 0.00171804
8.60000E+06 0.00166418
9.00000E+06 0.00151852
9.50000E+06 0.00133645
1.00000E+07 0.00122312
1.02000E+07 0.00118025
1.10000E+07 0.00106856
1.14773E+07 0.000994229
1.16000E+07 0.000975121
1.20000E+07 0.000967267
