Ge-73(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1820.16 15.7137
1822.37 13.3778
1824.58 11.7941
1826.79 10.6550
1831.21 9.12907
1835.64 8.15126
1844.48 6.95046
1853.33 6.21027
1862.17 5.67756
1879.86 4.87477
1897.56 4.16910
1906.40 3.79220
1915.25 3.36367
1924.09 2.84208
1928.52 2.52865
1932.94 2.17349
1937.36 1.80027
1939.57 1.65000
1941.78 1.61545
1943.99 1.95076
1945.10 2.49109
1946.21 3.64297
1946.76 4.66516
1947.31 6.23095
1947.86 8.72815
1948.42 12.9461
1948.97 20.7748
1949.25 27.4239
1949.52 37.5495
1949.80 54.1521
1950.08 83.6780
1950.21 107.706
1950.35 142.599
1950.49 194.503
1950.63 271.433
1950.81 414.148
1951.00 487.950
1951.19 363.896
1951.37 210.494
1951.50 140.391
1951.63 96.1146
1951.77 67.9130
1951.90 50.1419
1952.03 38.8740
1952.16 32.2063
1952.29 28.8742
1952.42 28.3591
1952.55 30.4891
1952.68 35.4102
1952.81 43.7331
1952.94 56.2895
1953.07 74.8260
1953.20 101.394
1953.33 139.785
1953.46 193.703
1953.73 367.373
1954.00 533.747
1954.14 538.502
1954.27 488.681
1954.54 345.009
1954.72 268.118
1954.90 211.698
1955.25 141.343
1955.61 102.231
1955.96 78.5377
1956.32 63.0441
1956.67 52.3597
1957.38 38.7962
1958.09 30.7005
1958.80 25.4152
1960.22 19.0192
1961.64 15.3422
1963.06 12.9784
1965.91 10.1345
1968.75 8.48246
1971.59 7.39478
1977.27 6.02411
1982.95 5.18179
1988.64 4.65430
1994.32 4.48198
2000.00 5.09046
2004.27 7.05378
2006.41 9.32306
2008.55 13.5924
2010.68 22.2812
2011.75 30.0659
2012.82 42.3348
2013.89 62.7376
2014.95 98.9927
2016.02 168.426
2016.56 226.236
2017.09 308.198
2018.05 523.183
2019.00 694.452
2019.96 590.487
2020.91 392.498
2021.85 258.291
2022.79 179.184
2023.74 131.639
2024.68 101.507
2025.62 81.3716
2026.56 67.2819
2028.45 49.3385
2030.33 38.7107
2032.21 31.8456
2035.98 23.7008
2039.75 19.1404
2043.52 16.2723
2047.29 14.3179
2051.05 12.9063
2058.59 11.0051
2066.12 9.78019
2081.19 8.27036
2096.26 7.34142
2111.33 6.67816
2141.48 5.69465
2171.62 4.84344
2186.69 4.38882
2201.76 3.86905
2216.83 3.23240
2224.36 2.84839
2231.90 2.41125
2239.44 1.94324
2243.20 1.74173
2246.97 1.65921
2250.74 1.97780
2252.62 2.55930
2254.51 3.86536
2255.45 5.06410
2256.39 6.94642
2257.33 10.0246
2258.27 15.3590
2259.22 25.4036
2259.69 33.9142
2260.16 46.7471
2260.63 67.0264
2261.10 100.887
2261.57 160.760
2262.04 269.542
2262.52 449.444
2263.00 584.708
2263.48 485.768
2263.96 314.866
2264.35 217.701
2264.74 155.598
2265.13 115.699
2265.52 89.1743
2266.30 57.7096
2267.08 40.6228
2267.86 30.2876
2268.64 23.5318
2270.20 15.4157
2271.76 10.7736
2273.32 7.76577
2276.44 4.02071
2278.00 2.77852
2279.55 1.87636
2280.33 1.58078
2281.11 1.43117
2281.50 1.42887
2281.89 1.48889
2282.28 1.62577
2282.67 1.85790
2283.06 2.21171
2283.45 2.72056
2283.84 3.43013
2284.23 4.40296
2284.62 5.72593
2285.01 7.52182
2285.40 9.96744
2285.79 13.3128
2286.18 17.9661
2286.57 24.5259
2286.96 33.9573
2287.35 47.8023
2287.74 68.8061
2288.13 101.564
2288.52 153.996
2288.91 238.071
2289.46 425.914
2290.00 592.227
2290.55 525.071
2291.10 362.312
2291.73 233.361
2292.37 162.960
2293.00 124.431
2293.63 104.171
2294.26 97.1953
2294.90 105.376
2295.21 118.493
2295.53 141.896
2295.84 182.065
2296.16 248.994
2296.58 389.461
2297.00 501.655
2297.43 429.901
2297.85 294.696
2298.13 227.722
2298.42 180.418
2298.98 123.392
2299.55 92.5823
2300.11 74.1337
2300.68 62.1033
2301.24 53.7198
2302.37 42.8708
2303.50 36.1646
2304.63 31.5959
2306.89 25.7316
2309.15 22.0930
