S-32(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
426203 0.000158519
426335 9.92722E-05
426599 5.62728E-05
426863 4.09673E-05
427391 2.97393E-05
427920 2.55740E-05
430033 2.06480E-05
434259 1.78250E-05
442712 1.55588E-05
446938 1.56705E-05
451164 1.80629E-05
453277 2.20743E-05
454334 2.61791E-05
455390 3.36706E-05
456447 4.94834E-05
456975 6.49953E-05
457503 9.28600E-05
458032 0.000151146
458296 0.000208024
458560 0.000309522
458824 0.000519097
458956 0.000720045
459088 0.00107060
459220 0.00176762
459286 0.00240715
459352 0.00347027
459418 0.00542993
459484 0.00960865
459550 0.0208440
459583 0.0344963
459600 0.0459363
459616 0.0622343
459630 0.0796388
459643 0.0995218
459670 0.124359
459683 0.117048
459697 0.0995075
459724 0.0622211
459771 0.0275816
459794 0.0196439
459817 0.0145783
459864 0.00884585
459911 0.00589945
459958 0.00420459
460005 0.00314613
460098 0.00195307
460192 0.00133397
460285 0.000973220
460473 0.000593168
460660 0.000410058
460847 0.000311190
461221 0.000225853
461596 0.000224186
461970 0.000333439
462158 0.000506726
462251 0.000677951
462345 0.000979644
462438 0.00158002
462485 0.00212946
462532 0.00303779
462579 0.00469255
462602 0.00607697
462626 0.00816354
462649 0.0114915
462672 0.0171793
462696 0.0276816
462719 0.0480472
462740 0.0769913
462760 0.0961796
462781 0.0768235
462801 0.0480369
462819 0.0311138
462837 0.0210242
462856 0.0149092
462874 0.0110492
462910 0.00668037
462946 0.00445300
462983 0.00317199
463019 0.00237560
463092 0.00147815
463164 0.00101131
463237 0.000738831
463382 0.000448997
463673 0.000224782
463963 0.000140258
464545 7.54539E-05
465126 5.06232E-05
466288 3.08380E-05
467451 2.28462E-05
469776 1.61657E-05
472101 1.33442E-05
476751 1.08742E-05
481401 9.75957E-06
490700 8.75948E-06
500000 8.63813E-06
506658 1.02014E-05
508323 1.19492E-05
509987 1.69462E-05
510820 2.39096E-05
511652 4.36607E-05
512068 7.10784E-05
512484 0.000148390
512692 0.000254897
512900 0.000551406
513004 0.000953651
513108 0.00204529
513160 0.00347678
513212 0.00717322
513264 0.0223848
513290 0.0573227
513303 0.112671
513316 0.273424
513323 0.436824
513330 0.546826
513337 0.436810
513344 0.273410
513363 0.0801371
513382 0.0348999
513420 0.0120744
513459 0.00602053
513497 0.00359227
513573 0.00169701
513650 0.000986380
513803 0.000455795
513956 0.000263602
514263 0.000123274
514569 7.33226E-05
515182 3.72716E-05
515795 2.45684E-05
517021 1.54960E-05
518246 1.23733E-05
520697 1.03364E-05
523149 9.99529E-06
525600 1.05730E-05
528051 1.29479E-05
529277 1.63900E-05
530502 2.62007E-05
531115 3.98336E-05
531728 7.83514E-05
532034 0.000131539
532341 0.000280345
532494 0.000483159
532647 0.00103899
532724 0.00177655
532800 0.00371587
532839 0.00615596
532877 0.0120778
532915 0.0330173
532935 0.0704148
532954 0.200561
532962 0.320732
532970 0.401102
532978 0.320720
532986 0.200549
533007 0.0645592
533028 0.0292590
533049 0.0163804
533070 0.0104067
533113 0.00523835
533155 0.00314471
533239 0.00149430
533323 0.000872014
533491 0.000404767
533659 0.000235081
533995 0.000110882
534332 6.66076E-05
535004 3.46337E-05
535677 2.33723E-05
537022 1.53506E-05
538367 1.26131E-05
541057 1.08539E-05
543748 1.04970E-05
554509 1.23953E-05
559889 1.49342E-05
565270 1.96869E-05
570650 3.02256E-05
573341 4.25469E-05
574686 5.96428E-05
575022 7.17230E-05
575358 0.000101847
575527 0.000141334
575695 0.000249399
575863 0.000794346
575947 0.00271305
575989 0.00868589
576031 0.141335
576036 0.226821
576040 0.282657
576045 0.226817
576049 0.141330
576068 0.0263726
576088 0.00995542
576126 0.00315168
576203 0.000926872
576281 0.000460826
576358 0.000290662
576512 0.000166585
576667 0.000123309
576975 9.43441E-05
577284 8.68221E-05
578519 9.64567E-05
579754 0.000127258
580989 0.000182937
582224 0.000291978
582841 0.000390155
583459 0.000550665
584076 0.000842006
584385 0.00108833
584694 0.00147001
585002 0.00212107
585311 0.00342626
585465 0.00469660
585620 0.00704647
585774 0.0123520
585851 0.0178788
585928 0.0276275
586004 0.0424971
586080 0.0526085
586156 0.0435180
586232 0.0296971
586236 0.0290475
586246 0.0276335
586256 0.0263253
586276 0.0240200
586317 0.0204460
586397 0.0162341
586558 0.0135225
586880 0.0131070
587524 0.00618042
587751 0.00438669
587977 0.00319813
588203 0.00240563
588430 0.00186364
588883 0.00120327
589336 0.000837616
589788 0.000616153
590241 0.000472609
591147 0.000304548
592053 0.000213937
592958 0.000159692
594770 0.000100906
596581 7.15674E-05
598393 5.49960E-05
602015 3.83437E-05
605638 3.11587E-05
609261 2.81613E-05
616507 2.87443E-05
623752 3.68880E-05
627375 4.54568E-05
630998 5.99544E-05
634621 8.64484E-05
636432 0.000108574
638244 0.000141928
