47-Ag_n-g
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
6.424000e+01 3.24928224e+00
6.427580e+01 2.71854651e+00
6.431150e+01 1.91940896e+00
6.435610e+01 1.32685936e+00
6.440080e+01 1.05015983e+00
6.444540e+01 9.23228645e-01
6.449000e+01 8.75883805e-01
6.453460e+01 8.86361222e-01
6.457930e+01 9.62899375e-01
6.462390e+01 1.15219594e+00
6.466850e+01 1.57117038e+00
6.470430e+01 2.14140689e+00
6.474000e+01 2.52095341e+00
6.477580e+01 2.12973717e+00
6.481150e+01 1.54628614e+00
6.484400e+01 1.19721281e+00
6.487660e+01 9.90681402e-01
6.490910e+01 8.66171508e-01
6.494160e+01 7.87501286e-01
6.500670e+01 6.99303925e-01
6.507170e+01 6.54589930e-01
6.520180e+01 6.14256807e-01
6.528720e+01 6.04082896e-01
6.533190e+01 6.02606930e-01
6.585240e+01 6.42924532e-01
6.622710e+01 6.88142980e-01
6.689330e+01 8.55264370e-01
6.716710e+01 9.26762560e-01
6.763700e+01 1.14042874e+00
6.810700e+01 1.47090849e+00
6.857690e+01 2.01631727e+00
6.897500e+01 2.85420043e+00
6.904690e+01 3.00586110e+00
6.928190e+01 3.83306938e+00
6.951680e+01 5.08289571e+00
6.975180e+01 7.09999856e+00
6.998680e+01 1.06672595e+01
7.010430e+01 1.35806026e+01
7.022180e+01 1.78941304e+01
7.033930e+01 2.46684926e+01
7.039800e+01 2.96059766e+01
7.045680e+01 3.61897475e+01
7.051550e+01 4.52389287e+01
7.057420e+01 5.81376186e+01
7.063300e+01 7.73945232e+01
7.069170e+01 1.07874868e+02
7.075050e+01 1.60013214e+02
7.077990e+01 2.00934516e+02
7.080920e+01 2.58897590e+02
7.083860e+01 3.43989754e+02
7.086800e+01 4.73810483e+02
7.089730e+01 6.78796086e+02
7.092670e+01 1.00486037e+03
7.096340e+01 1.60681491e+03
7.100000e+01 2.00745646e+03
7.103670e+01 1.60574539e+03
7.105680e+01 1.27507634e+03
7.107330e+01 1.00363176e+03
7.110200e+01 6.83587624e+02
7.113070e+01 4.80323803e+02
7.115940e+01 3.50421225e+02
7.118810e+01 2.64675542e+02
7.124550e+01 1.64317010e+02
7.130280e+01 1.11067159e+02
7.136020e+01 7.97960621e+01
7.141760e+01 5.99920997e+01
7.153240e+01 3.73609275e+01
7.164720e+01 2.54568957e+01
7.176190e+01 1.84502108e+01
7.187670e+01 1.39864755e+01
7.199150e+01 1.09712786e+01
7.209760e+01 9.26435023e+00
7.222100e+01 7.28271488e+00
7.235790e+01 6.04190235e+00
7.245050e+01 5.20831244e+00
7.261810e+01 4.28014974e+00
7.268010e+01 3.94580600e+00
7.274820e+01 3.70822002e+00
7.281320e+01 3.49397813e+00
7.287830e+01 3.29672925e+00
7.290960e+01 3.21848198e+00
7.294340e+01 3.18449109e+00
7.300840e+01 3.19715641e+00
7.304090e+01 3.26608311e+00
7.307350e+01 3.41805102e+00
7.310600e+01 3.71996914e+00
7.313850e+01 4.28226937e+00
7.317430e+01 5.26575309e+00
7.321000e+01 5.89531712e+00
7.324580e+01 5.10698010e+00
7.328150e+01 3.96368662e+00
7.332130e+01 3.13685603e+00
7.336120e+01 2.66020754e+00
7.336870e+01 2.60335590e+00
7.340100e+01 2.39076567e+00
7.344080e+01 2.21585058e+00
7.352050e+01 1.98489358e+00
7.360020e+01 1.82252838e+00
7.367980e+01 1.68871080e+00
7.375950e+01 1.56851715e+00
7.382780e+01 1.47372226e+00
7.391880e+01 1.39129615e+00
7.423750e+01 1.13073844e+00
7.428680e+01 1.09222470e+00
7.455610e+01 9.52249164e-01
7.474590e+01 8.56809064e-01
7.566410e+01 5.80593116e-01
7.583080e+01 5.52785789e-01
7.658220e+01 4.31670226e-01
7.750040e+01 3.44879866e-01
7.795940e+01 3.21439768e-01
7.818900e+01 3.29299039e-01
7.830370e+01 3.64645834e-01
7.836110e+01 4.16227077e-01
7.838000e+01 4.55390942e-01
