53-I_n-g
>  53-I-127:1.000000
2.051250e+02 5.70147000e+00
2.053220e+02 7.85534000e+00
2.055190e+02 1.15951000e+01
2.057160e+02 1.89423000e+01
2.058140e+02 2.56037000e+01
2.059130e+02 3.65044000e+01
2.060120e+02 5.61288000e+01
2.060610e+02 7.23408000e+01
2.061100e+02 9.64118000e+01
2.061590e+02 1.34212000e+02
2.062090e+02 1.97096000e+02
2.062580e+02 3.09344000e+02
2.062820e+02 3.97300000e+02
2.063070e+02 5.16349000e+02
2.063540e+02 8.26551000e+02
2.064000e+02 1.03350000e+03
2.064470e+02 8.26313000e+02
2.064930e+02 5.16073000e+02
2.065230e+02 3.74554000e+02
2.065530e+02 2.77557000e+02
2.066140e+02 1.64551000e+02
2.066740e+02 1.06828000e+02
2.067340e+02 7.43406000e+01
2.067940e+02 5.45068000e+01
2.068540e+02 4.15948000e+01
2.069750e+02 2.64440000e+01
2.070950e+02 1.82646000e+01
2.072160e+02 1.33741000e+01
2.074560e+02 8.07152000e+00
2.076970e+02 5.41316000e+00
2.079380e+02 3.89560000e+00
2.081790e+02 2.94795000e+00
2.084200e+02 2.31655000e+00
2.089010e+02 1.55294000e+00
2.093830e+02 1.12558000e+00
2.098650e+02 8.61707000e-01
2.103460e+02 6.87007000e-01
2.113100e+02 4.76327000e-01
2.122730e+02 3.58181000e-01
2.142000e+02 2.36219000e-01
2.161260e+02 1.77696000e-01
2.180530e+02 1.46102000e-01
2.219060e+02 1.20950000e-01
2.257590e+02 1.29775000e-01
2.276860e+02 1.51467000e-01
2.296130e+02 1.97294000e-01
2.315390e+02 3.00756000e-01
2.325030e+02 4.05109000e-01
2.334660e+02 5.95492000e-01
2.339480e+02 7.55569000e-01
2.344290e+02 9.99287000e-01
2.349110e+02 1.39719000e+00
2.353920e+02 2.11302000e+00
2.356330e+02 2.70844000e+00
2.358740e+02 3.60556000e+00
2.361150e+02 5.04953000e+00
2.363560e+02 7.59475000e+00
2.364760e+02 9.66882000e+00
2.365970e+02 1.27284000e+01
