Zr-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
19585.9 9.84369
19604.5 10.0782
19613.7 10.2801
19623.0 10.5868
19632.3 11.0771
19641.5 11.9197
19650.8 13.5288
19655.4 14.9359
19660.1 17.1400
19664.7 20.8619
19669.3 27.7265
19671.7 33.4813
19674.0 41.9741
19676.3 54.9505
19678.6 74.6330
19681.8 114.317
19685.0 141.108
19688.2 115.142
19691.4 75.6942
19693.8 55.2207
19696.2 42.0170
19698.6 33.4295
19701.1 27.6799
19705.9 20.8468
19710.7 17.1599
19715.5 14.9639
19720.3 13.5615
19730.0 11.9370
19739.6 11.0655
19749.3 10.5427
19758.9 10.2022
19768.6 9.96617
19787.8 9.66446
19807.1 9.48109
19826.4 9.35712
19845.7 9.26638
19884.3 9.13799
19922.9 9.04634
19961.4 8.97339
20000.0 8.91130
20101.1 8.77643
20202.2 8.66351
20303.3 8.56335
20404.3 8.47226
20606.5 8.31023
20808.7 8.16887
21213.0 7.93157
21617.3 7.73862
22426.0 7.44067
23234.7 7.21819
24043.3 7.04287
24852.0 6.89884
25256.3 6.83556
25458.5 6.80585
25660.6 6.77756
25862.8 6.75121
25963.9 6.73928
26065.0 6.72902
26166.1 6.72235
26216.6 6.72195
26267.1 6.72581
26317.7 6.73880
26343.0 6.75251
26368.2 6.77615
26393.5 6.82009
26406.1 6.85752
26418.8 6.91586
26431.4 7.01733
26437.7 7.10173
26444.0 7.23341
26450.4 7.46796
26453.5 7.66935
26456.7 7.99435
26459.8 8.59460
26461.4 9.12355
26463.0 9.98889
26464.6 11.5904
26465.4 12.9831
26466.2 15.2016
26466.9 19.0910
26467.3 22.3020
26467.7 26.9220
26468.1 34.3192
26468.5 46.3425
26468.9 67.7515
26469.3 107.698
26469.7 162.507
26470.0 194.710
26470.4 151.486
26470.7 93.8136
26471.0 64.4547
26471.3 45.6736
26471.5 34.0354
26471.8 26.5632
26472.4 18.1201
26472.9 13.8394
26473.5 11.4320
26474.1 9.97028
26475.2 8.40750
26476.3 7.64844
26477.4 7.24778
26479.6 6.88414
26481.9 6.75676
26484.1 6.71934
26488.5 6.74668
26497.5 6.94668
26506.4 7.30430
26510.8 7.58974
26515.3 8.00977
26519.8 8.66948
26524.2 9.79575
26528.7 11.9517
26530.9 13.8476
26533.1 16.8482
26535.4 21.9637
26537.6 31.5848
26538.7 39.8167
26539.8 52.1104
26541.0 71.3776
26542.1 101.163
26543.5 159.378
26545.0 199.374
26546.5 162.244
26547.9 104.766
26549.1 74.8153
26550.2 55.5059
26551.3 42.7926
26552.4 34.3369
26554.6 24.2029
26556.8 18.7163
26559.0 15.4452
26561.2 13.3469
26565.6 10.9172
26570.0 9.61191
26574.5 8.83152
26578.9 8.32723
26583.3 7.98267
26592.1 7.55219
26601.0 7.30341
26609.8 7.14588
26618.6 7.03943
26636.3 6.90803
26654.0 6.83235
26671.6 6.78423
26689.3 6.75136
26724.6 6.70966
26760.0 6.68424
26795.3 6.66680
26830.6 6.65377
26901.3 6.63460
26972.0 6.62012
27113.3 6.59706
27254.6 6.57736
27396.0 6.55915
27678.6 6.52484
27961.3 6.49197
28244.0 6.45988
28526.6 6.42842
28668.0 6.41429
28738.7 6.41507
28756.3 6.42287
28774.0 6.44981
28782.8 6.48989
28791.7 6.60538
28796.1 6.76448
28798.3 6.92058
28800.5 7.19709
28802.7 7.76327
28803.8 8.29993
28804.9 9.20806
28806.0 10.9630
28806.6 12.4955
28807.1 14.9243
28807.7 19.0815
28808.2 26.9713
28808.5 33.9123
28808.8 44.1192
28809.0 60.8455
28809.3 86.7185
28809.7 135.680
28810.0 167.480
28810.3 136.109
28810.7 87.1451
28811.1 53.1868
28811.5 35.2608
28811.9 25.6206
28812.3 20.1174
28812.7 16.5713
28813.1 14.2267
28813.9 11.4579
28814.7 9.91686
28815.5 8.99505
28817.0 7.97567
28818.6 7.45863
28820.2 7.16079
28823.4 6.84819
28826.6 6.69566
28829.8 6.60970
28836.1 6.52099
28848.8 6.45357
28861.5 6.42789
28887.0 6.40682
28912.4 6.39719
28963.3 6.38634
29014.1 6.37871
29217.5 6.35402
29624.4 6.30817
30438.1 6.21501
32065.5 5.99703
32879.3 5.84702
33693.0 5.61753
34099.8 5.42718
34506.7 5.09431
34710.1 4.79389
34811.8 4.56839
34913.6 4.24931
35015.3 3.75988
35066.1 3.40162
35117.0 2.91385
35167.8 2.21836
35193.3 1.75537
35218.7 1.19521
35244.1 0.555314
35256.8 0.251521
35263.2 0.129848
35269.6 0.0516709
35275.9 0.0480498
35282.3 0.170953
35285.5 0.305132
35288.6 0.507757
35291.8 0.799837
35295.0 1.20776
35298.2 1.77125
35301.3 2.53916
35304.5 3.57870
35307.7 4.97519
35314.1 9.38319
35320.4 17.2024
35325.3 26.7998
35330.2 40.0703
35340.0 68.7236
35344.9 74.4769
35349.8 72.2133
35359.6 57.3713
35367.8 45.6903
35375.9 37.1755
35384.1 31.1553
35392.3 26.8419
35408.6 21.2449
35424.9 17.8726
35441.2 15.6565
35457.6 14.1046
35490.2 12.0927
35522.9 10.8542
35555.5 10.0193
35620.8 8.96789
35686.1 8.33351
35751.5 7.90864
35882.1 7.37293
36012.7 7.04565
36143.3 6.82196
36404.5 6.52844
36927.0 6.19249
37449.4 5.97473
37971.9 5.79688
38494.3 5.63430
39016.8 5.48785
39278.0 5.43988
39408.6 5.45153
39441.3 5.47197
39473.9 5.52063
39490.3 5.57462
39498.4 5.62045
39506.6 5.69300
39514.7 5.82325
39518.8 5.93498
39522.9 6.11439
39527.0 6.44233
39529.0 6.72822
39531.1 7.19161
39533.1 8.04128
39534.1 8.77658
39535.1 9.94732
39536.2 12.0099
39536.7 13.7035
39537.2 16.2354
39537.7 20.2695
39538.2 27.2377
39538.7 40.4911
39539.0 51.8878
39539.2 68.1118
39539.6 100.801
39540.0 119.353
39540.4 91.5963
39540.8 56.6002
39541.2 35.1073
39541.6 23.4779
39541.9 17.0340
39542.3 13.3134
39542.7 10.9162
39543.1 9.37937
39543.9 7.55427
39544.6 6.59613
39545.4 6.04809
39546.9 5.50296
39550.0 5.16176
39553.1 5.08792
39565.4 5.12264
39577.8 5.17815
39590.1 5.21499
39614.8 5.25858
39639.4 5.28386
39738.1 5.33921
39935.3 5.49991
40034.0 5.71704
40132.6 6.27368
40181.9 6.94259
40231.3 8.46689
40255.9 10.0797
40280.6 13.1770
40292.9 15.8763
40305.2 20.0452
40317.6 26.7322
40329.9 37.5776
40345.0 57.5491
40360.0 71.3924
40375.1 58.7661
40390.1 39.1757
40403.3 27.7160
40416.5 20.7981
40429.7 16.5663
40442.9 13.8678
40469.3 10.8285
40495.7 9.29406
40548.5 7.95252
40601.3 7.51496
40706.9 7.65083
40812.5 8.65619
40918.0 10.8709
40970.8 12.8021
41023.6 15.7281
41076.4 20.3509
41129.2 28.0432
41182.0 41.5853
41234.8 66.1047
41287.4 104.670
41340.0 130.391
41392.6 104.164
41445.2 65.4523
41487.7 44.4674
41530.2 31.2944
41572.6 22.9074
41615.1 17.3479
41700.1 10.7054
41785.0 7.01926
41870.0 4.85206
41954.9 3.99479
41997.4 4.33040
42039.9 5.62818
42082.3 8.65461
42124.8 14.8060
42156.1 22.5204
42187.4 33.5868
42250.0 58.9053
42281.3 64.8610
42312.6 63.9304
42375.2 52.3889
42446.5 39.7099
42517.8 31.3480
42589.2 25.9545
42660.5 22.3204
42803.1 17.8518
42945.8 15.2588
43231.0 12.4095
43516.3 10.8847
43801.6 9.94355
43944.2 9.61205
44086.9 9.37437
44229.5 9.29326
44300.8 9.37923
44372.1 9.66156
44443.5 10.4009
44479.1 11.1535
44514.8 12.4510
44550.4 14.8468
44586.1 19.7407
44603.9 24.1861
44621.8 31.2609
44639.6 42.9778
44657.4 62.6461
44678.7 99.5521
44700.0 127.853
44721.3 108.324
44742.6 73.6590
44763.1 50.9831
44783.7 37.5996
44804.2 29.5414
44824.8 24.4325
44865.8 18.6269
44906.9 15.5859
44948.0 13.7841
44989.1 12.6186
45071.2 11.2273
45153.3 10.4369
45235.5 9.92905
45399.8 9.30851
45564.1 8.93388
45728.4 8.67505
46057.0 8.32550
46714.1 7.90999
47371.3 7.64946
48685.7 7.31311
50000.0 7.08105
51684.2 6.79244
52105.3 6.68178
52526.3 6.49944
52736.9 6.33662
52842.1 6.21310
52947.4 6.03495
53052.6 5.75171
53105.3 5.53506
53157.9 5.22437
53184.2 5.01210
53210.5 4.74093
53236.9 4.38249
53263.2 3.88851
53289.5 3.16975
53302.6 2.67856
53315.8 2.06285
53329.0 1.29997
53342.1 0.469161
53348.7 0.198195
53352.0 0.203768
53355.3 0.406604
53358.6 0.957418
53360.2 1.44135
53361.9 2.12103
53363.5 3.06955
53365.1 4.35895
53368.4 8.41836
53371.3 14.3690
53374.2 23.1090
53380.0 44.3739
53382.9 50.2757
53385.8 50.6469
53391.6 42.8419
53395.2 37.2218
53398.9 32.5151
53406.1 25.8097
53413.4 21.5775
53420.6 18.7714
53427.9 16.8077
53435.2 15.3672
53442.4 14.2792
53446.1 13.9312
53447.9 14.2422
53448.8 15.8085
53449.2 19.2889
53449.5 24.2590
53449.7 35.2556
53449.8 49.5650
53450.0 60.1503
53450.2 52.0545
53450.3 38.3429
53450.5 27.6305
53450.7 22.4422
53451.1 17.8265
53451.9 15.0967
53453.4 13.8074
53456.5 13.1030
53462.7 12.4589
53469.0 12.0022
53475.2 11.6259
53487.6 11.0246
53500.0 10.5603
53500.0 8.99932
54000.0 9.00047
59000.0 9.01264
64000.0 9.02555
69000.0 9.03873
74000.0 9.05184
79000.0 9.06467
84000.0 9.07705
89000.0 9.08890
94000.0 9.10013
99000.0 9.11071
99999.9 9.11274
100000 9.40065
105000 9.34340
110000 9.23750
115000 9.08328
120000 8.92905
125000 8.87447
130000 8.86972
135000 8.91461
140000 9.05828
150000 9.54314
155000 9.68762
160000 9.83209
165000 9.87870
166325 9.89105
170000 9.92531
175000 9.62843
180000 9.38079
185000 9.03546
190000 8.78872
195000 8.39483
200000 8.14856
210000 8.39270
230000 9.47057
240000 9.32400
250000 8.93115
260000 8.14642
270000 8.09787
280000 8.44181
290000 8.53955
300000 7.90194
310000 7.36260
320000 7.46121
330000 7.85474
340000 8.29709
350000 8.64108
360000 8.69057
370000 8.54573
380000 8.25136
390000 8.54630
400000 9.08677
410000 9.28425
420000 9.28435
430000 8.98957
440000 8.94034
450000 8.94017
460000 8.84185
470000 8.64516
480000 8.15370
490000 7.71124
500000 7.56352
520000 8.31626
530000 8.54436
540000 8.54379
550000 8.15027
560000 7.99933
570000 7.80211
580000 7.65413
600000 7.57393
620000 7.64088
640000 7.74682
660000 7.82326
680000 7.87986
700000 7.86749
720000 7.74506
740000 7.42985
760000 7.05382
770000 6.88167
780000 6.70951
800000 6.44389
820000 6.69010
840000 7.12986
860000 7.10935
880000 6.95193
940000 6.53908
960000 6.41120
1.00000E+06 6.26312
1.05000E+06 6.17321
1.10000E+06 6.13332
1.15000E+06 6.04486
1.18800E+06 5.96327
1.18800E+06 5.96327
1.20000E+06 5.93751
1.21830E+06 5.88126
1.25000E+06 5.78381
1.30000E+06 5.63011
1.31400E+06 5.58707
1.35000E+06 5.48000
1.39500E+06 5.35721
1.40000E+06 5.34357
1.45000E+06 5.27046
1.47610E+06 5.23230
1.50000E+06 5.19735
1.51481E+06 5.18229
1.53000E+06 5.16685
1.60000E+06 5.09567
1.71958E+06 4.93413
1.78046E+06 4.85189
1.78047E+06 4.85187
1.80000E+06 4.82549
1.90000E+06 4.66628
2.00000E+06 4.56149
2.07300E+06 4.48499
2.20412E+06 4.38790
2.21080E+06 4.38295
2.21080E+06 4.38296
2.28600E+06 4.32727
2.30000E+06 4.32045
2.30012E+06 4.32039
2.34502E+06 4.29853
2.34502E+06 4.29853
2.40000E+06 4.27175
2.47902E+06 4.24234
2.50000E+06 4.23453
2.57342E+06 4.20720
2.60000E+06 4.19730
2.71784E+06 4.15343
2.73999E+06 4.14519
2.77003E+06 4.13401
2.77003E+06 4.13400
2.77871E+06 4.13077
2.82757E+06 4.11259
2.90000E+06 4.08563
2.90133E+06 4.08513
2.94729E+06 4.06802
3.00000E+06 4.04840
3.09423E+06 4.02044
3.11145E+06 4.01533
3.11145E+06 4.01533
3.20000E+06 3.98906
3.34592E+06 3.95923
3.34592E+06 3.95922
3.40000E+06 3.94817
3.48692E+06 3.91839
3.48692E+06 3.91839
3.59691E+06 3.88070
3.59691E+06 3.88070
3.60000E+06 3.87964
3.80000E+06 3.82517
4.00000E+06 3.79260
4.20000E+06 3.77657
4.40000E+06 3.77434
4.50000E+06 3.77887
4.60000E+06 3.78340
4.80000E+06 3.80104
5.00000E+06 3.82744
5.20000E+06 3.83765
5.40000E+06 3.88237
5.50000E+06 3.90473
5.60000E+06 3.92709
5.80000E+06 3.94994
6.00000E+06 3.98427
6.19979E+06 4.01856
6.74584E+06 4.11227
6.80000E+06 4.12157
7.00000E+06 4.14665
7.11898E+06 4.16156
7.11899E+06 4.16157
7.27000E+06 4.18050
7.74998E+06 4.22409
7.74999E+06 4.22409
8.00000E+06 4.24679
8.31232E+06 4.26204
8.60000E+06 4.27608
9.00000E+06 4.27546
9.50000E+06 4.25958
1.00000E+07 4.22807
1.02000E+07 4.21547
1.10000E+07 4.14939
1.14773E+07 4.09784
1.16000E+07 4.08459
1.20000E+07 4.04139
1.21043E+07 4.03012
1.24000E+07 3.99819
1.26987E+07 3.96285
1.26989E+07 3.96284
1.30000E+07 3.93339
1.35000E+07 3.87610
1.40000E+07 3.81881
1.45000E+07 3.76152
1.50000E+07 3.70425
1.60000E+07 3.58988
1.70000E+07 3.48697
1.80000E+07 3.40058
1.90000E+07 3.33655
2.00000E+07 3.27347
