Se-76(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
5019.02 27.8684
5019.18 40.2298
5019.33 60.1981
5019.48 93.9498
5019.63 151.914
5019.82 264.412
5020.00 358.951
5020.18 311.312
5020.37 210.542
5020.54 143.227
5020.71 102.005
5020.88 76.4715
5021.05 59.9937
5021.40 40.6987
5021.74 30.3607
5022.08 24.1103
5022.43 20.0310
5023.11 15.1200
5023.80 12.3289
5024.49 10.5612
5025.17 9.34930
5025.86 8.47359
5027.23 7.29603
5028.61 6.54419
5029.98 6.02304
5031.35 5.64001
5034.10 5.11188
5036.84 4.76131
5042.34 4.31291
5047.83 4.02517
5053.32 3.81409
5064.31 3.50126
5086.28 3.04244
5108.25 2.64930
5152.18 1.87320
5196.12 1.04445
5240.06 0.260594
5251.05 0.127592
5256.54 0.0839090
5262.03 0.0615936
5267.53 0.0669157
5270.27 0.0823937
5273.02 0.108007
5275.76 0.145164
5278.51 0.195482
5284.00 0.343322
5289.50 0.570165
5294.99 0.900915
5300.48 1.36969
5305.97 2.02320
5311.47 2.92734
5316.96 4.17531
5322.45 5.90302
5327.94 8.31201
5333.43 11.7095
5338.93 16.5731
5344.42 23.6758
5349.91 34.2964
5355.40 50.6364
5360.90 76.5480
5366.39 118.782
5371.88 188.087
5379.44 343.588
5387.00 485.777
5394.56 436.187
5402.12 304.192
5410.13 203.303
5418.15 143.766
5426.16 107.965
5434.18 85.1688
5442.19 69.8109
5450.20 58.9575
5466.23 44.9154
5482.26 36.4026
5498.29 30.7772
5530.34 23.8949
5562.40 19.8874
5594.45 17.2753
5626.51 15.4351
5658.56 14.0620
5722.67 12.1241
5786.78 10.7822
5915.00 8.89113
6043.22 7.34856
6107.33 6.53843
6171.44 5.59742
6235.55 4.38591
6267.61 3.60278
6299.66 2.63762
6331.72 1.44976
6347.74 0.803537
6355.76 0.500832
6363.77 0.251051
6367.78 0.164142
6371.78 0.118303
6373.79 0.116147
6375.79 0.131549
6377.80 0.168019
6379.80 0.229732
6381.80 0.321855
6383.81 0.450500
