Rh-103(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
271.488 40.0619
271.608 58.4184
271.668 72.5813
271.728 92.3417
271.788 120.900
271.847 163.978
271.907 232.445
271.967 348.278
272.027 557.952
272.057 725.028
272.087 952.890
272.144 1559.09
272.200 1993.20
272.257 1627.98
272.313 1038.91
272.347 781.992
272.381 598.548
272.449 374.926
272.517 254.875
272.585 184.774
272.653 140.722
272.721 111.346
272.857 75.8764
272.993 56.0625
273.129 43.8384
273.401 30.0745
273.673 22.8237
273.945 18.4914
274.217 15.6699
274.489 13.7144
275.033 11.2193
275.577 9.72093
276.121 8.73298
276.665 8.03706
277.753 7.12431
278.840 6.55047
279.928 6.15150
281.016 5.85253
283.192 5.41588
284.280 5.24437
285.368 5.09821
286.456 5.00136
287.000 5.00513
287.543 5.11036
287.815 5.24799
288.087 5.50378
288.359 5.98863
288.631 6.96536
288.767 7.82887
288.903 9.17283
289.039 11.3822
289.175 15.2949
289.311 23.0282
289.379 29.9595
289.447 41.0629
289.481 49.2430
289.515 60.1973
289.549 75.2429
289.583 96.5150
289.617 127.582
289.651 174.528
289.685 247.583
289.719 361.391
289.765 589.436
289.810 752.704
289.833 716.735
289.856 616.973
289.901 396.473
289.946 253.159
289.990 170.759
290.035 122.229
290.080 92.0238
290.124 72.1748
290.169 58.5042
290.258 41.4763
290.348 31.6588
290.437 25.4838
290.616 18.4121
290.795 14.6304
290.973 12.3525
291.152 10.8598
291.331 9.82147
291.688 8.49136
292.046 7.68873
292.403 7.15733
292.761 6.78129
293.476 6.28444
294.191 5.96881
295.621 5.58072
297.051 5.33863
298.481 5.16211
301.341 4.89509
304.200 4.67041
307.060 4.44717
309.920 4.20324
311.350 4.08279
312.065 4.06758
312.244 4.09739
312.423 4.18726
312.512 4.29138
312.601 4.49719
312.691 4.95825
312.735 5.40527
312.780 6.12172
312.835 7.43512
312.890 8.30892
312.945 7.42570
313.000 6.10260
313.051 5.29557
313.103 4.82458
313.205 4.36453
313.308 4.16361
313.410 4.05850
313.820 3.90236
314.640 3.83382
315.459 3.89305
316.279 4.20496
316.689 4.57704
317.099 5.25530
317.509 6.53509
317.919 9.12232
318.124 11.4221
318.328 15.0171
318.533 20.9646
318.636 25.4539
318.738 31.5757
318.841 40.1874
318.943 52.7331
319.046 71.8489
319.148 102.661
319.251 156.321
319.302 198.852
319.353 259.460
319.404 349.071
319.456 486.009
319.507 702.606
319.558 1047.88
319.624 1720.63
319.690 2207.05
319.756 1808.05
319.822 1157.04
319.878 778.724
319.935 545.131
319.991 398.848
320.047 303.891
320.160 193.864
320.272 135.759
320.384 101.475
320.497 79.5854
320.722 54.2185
320.947 40.6172
321.172 32.6855
321.397 28.8110
321.509 30.1653
321.565 34.1988
321.594 38.5492
321.622 45.8318
321.656 59.2900
321.690 68.1258
